,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.38,0.93,6.31,1.0,1.0,83.0,103.37,Stephen Curry,2017,2017
72,200768.0,3.26,1.8,5.06,2.0,11.0,24.0,103.37,Kyle Lowry,2017,2017
19,2544.0,4.48,0.56,5.04,3.0,2.0,132.0,103.37,LeBron James,2017,2017
247,203109.0,3.13,1.79,4.92,4.0,13.0,25.0,103.37,Jae Crowder,2017,2017
285,203497.0,1.15,3.66,4.82,5.0,75.0,1.0,103.37,Rudy Gobert,2017,2017
47,101108.0,2.47,1.97,4.43,6.0,27.0,19.0,103.37,Chris Paul,2017,2017
213,202710.0,2.09,2.26,4.35,7.0,32.0,12.0,103.37,Jimmy Butler,2017,2017
116,201580.0,3.83,0.46,4.29,8.0,3.0,144.0,103.37,JaVale McGee,2017,2017
172,202335.0,2.58,1.63,4.21,9.0,21.0,32.0,103.37,Patrick Patterson,2017,2017
347,203999.0,3.29,0.83,4.12,11.0,9.0,94.0,103.37,Nikola Jokic,2017,2017
153,201976.0,3.11,1.01,4.12,10.0,14.0,76.0,103.37,Patrick Beverley,2017,2017
248,203110.0,1.42,2.38,3.8,12.0,57.0,7.0,103.37,Draymond Green,2017,2017
227,203078.0,3.24,0.55,3.79,13.0,12.0,133.0,103.37,Bradley Beal,2017,2017
105,201566.0,3.67,-0.01,3.67,14.0,6.0,234.0,103.37,Russell Westbrook,2017,2017
199,202691.0,2.13,1.21,3.33,15.0,30.0,64.0,103.37,Klay Thompson,2017,2017
486,101161202738.0,2.49,0.73,3.22,16.0,26.0,111.0,103.37,Isaiah Thomas,2017,2017
485,101161202738.0,2.49,0.73,3.22,16.0,26.0,111.0,103.37,Amir Johnson,2017,2017
156,201988.0,1.65,1.53,3.18,17.0,45.0,39.0,103.37,Patty Mills,2017,2017
271,203469.0,0.67,2.45,3.12,18.0,118.0,5.0,103.37,Cody Zeller,2017,2017
288,203501.0,2.78,0.25,3.03,20.0,16.0,181.0,103.37,Tim Hardaway Jr.,2017,2017
106,201567.0,1.86,1.18,3.03,19.0,39.0,67.0,103.37,Kevin Love,2017,2017
77,200794.0,1.0,1.99,2.99,21.0,83.0,17.0,103.37,Paul Millsap,2017,2017
81,201144.0,2.55,0.33,2.89,22.0,24.0,165.0,103.37,Mike Conley,2017,2017
123,201588.0,1.34,1.51,2.85,23.0,64.0,41.0,103.37,George Hill,2017,2017
262,203382.0,0.37,2.32,2.69,24.0,154.0,9.0,103.37,Aron Baynes,2017,2017
203,202695.0,3.44,-0.76,2.68,25.0,8.0,375.0,103.37,Kawhi Leonard,2017,2017
79,201142.0,2.73,-0.05,2.68,26.0,18.0,243.0,103.37,Kevin Durant,2017,2017
291,203506.0,-0.78,3.34,2.56,27.0,365.0,2.0,103.37,Victor Oladipo,2017,2017
125,201599.0,1.27,1.24,2.51,28.0,68.0,62.0,103.37,DeAndre Jordan,2017,2017
68,200752.0,0.58,1.9,2.49,29.0,130.0,22.0,103.37,Rudy Gay,2017,2017
198,202689.0,2.86,-0.39,2.47,30.0,15.0,317.0,103.37,Kemba Walker,2017,2017
299,203526.0,0.76,1.65,2.41,31.0,109.0,29.0,103.37,Raul Neto,2017,2017
168,202330.0,1.67,0.73,2.4,32.0,44.0,112.0,103.37,Gordon Hayward,2017,2017
118,201583.0,1.6,0.78,2.39,33.0,46.0,103.0,103.37,Ryan Anderson,2017,2017
209,202703.0,1.49,0.86,2.36,34.0,53.0,90.0,103.37,Nikola Mirotic,2017,2017
167,202329.0,0.21,2.14,2.35,35.0,178.0,14.0,103.37,Al-Farouq Aminu,2017,2017
166,202328.0,2.73,-0.4,2.34,36.0,17.0,319.0,103.37,Greg Monroe,2017,2017
127,201601.0,0.01,2.29,2.3,37.0,215.0,10.0,103.37,Luc Mbah a Moute,2017,2017
59,101150.0,2.56,-0.28,2.28,38.0,22.0,297.0,103.37,Lou Williams,2017,2017
0,1713.0,1.26,1.01,2.27,39.0,70.0,75.0,103.37,Vince Carter,2017,2017
169,202331.0,2.0,0.26,2.26,40.0,34.0,175.0,103.37,Paul George,2017,2017
131,201933.0,2.22,-0.05,2.17,41.0,29.0,245.0,103.37,Blake Griffin,2017,2017
416,1627736.0,0.72,1.42,2.15,42.0,114.0,51.0,103.37,Malik Beasley,2017,2017
107,201568.0,1.57,0.58,2.14,43.0,48.0,129.0,103.37,Danilo Gallinari,2017,2017
191,202681.0,3.75,-1.63,2.12,44.0,4.0,463.0,103.37,Kyrie Irving,2017,2017
33,2734.0,0.53,1.49,2.03,45.0,133.0,43.0,103.37,Devin Harris,2017,2017
270,203468.0,2.03,-0.02,2.01,46.0,33.0,239.0,103.37,CJ McCollum,2017,2017
256,203141.0,0.36,1.61,1.98,50.0,155.0,33.0,103.37,Mirza Teletovic,2017,2017
266,203460.0,0.43,1.55,1.98,49.0,149.0,37.0,103.37,Andre Roberson,2017,2017
