,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.39,0.93,6.32,1.0,1.0,83.0,103.2,Stephen Curry,2017,2017
72,200768.0,3.29,1.77,5.06,2.0,11.0,26.0,103.2,Kyle Lowry,2017,2017
19,2544.0,4.49,0.55,5.03,3.0,2.0,134.0,103.2,LeBron James,2017,2017
285,203497.0,1.17,3.66,4.83,4.0,74.0,1.0,103.2,Rudy Gobert,2017,2017
47,101108.0,2.49,1.94,4.43,5.0,26.0,20.0,103.2,Chris Paul,2017,2017
247,203109.0,2.56,1.82,4.38,6.0,24.0,25.0,103.2,Jae Crowder,2017,2017
213,202710.0,2.11,2.24,4.35,7.0,30.0,14.0,103.2,Jimmy Butler,2017,2017
105,201566.0,3.68,0.6,4.29,8.0,7.0,124.0,103.2,Russell Westbrook,2017,2017
116,201580.0,3.84,0.44,4.28,9.0,4.0,143.0,103.2,JaVale McGee,2017,2017
172,202335.0,2.58,1.62,4.2,10.0,20.0,33.0,103.2,Patrick Patterson,2017,2017
347,203999.0,3.3,0.83,4.13,11.0,9.0,92.0,103.2,Nikola Jokic,2017,2017
153,201976.0,3.13,0.98,4.11,12.0,13.0,78.0,103.2,Patrick Beverley,2017,2017
60,101161.0,1.28,2.76,4.04,13.0,68.0,4.0,103.2,Amir Johnson,2017,2017
248,203110.0,1.43,2.37,3.8,14.0,56.0,8.0,103.2,Draymond Green,2017,2017
227,203078.0,3.26,0.53,3.79,15.0,12.0,136.0,103.2,Bradley Beal,2017,2017
199,202691.0,2.14,1.19,3.33,16.0,29.0,64.0,103.2,Klay Thompson,2017,2017
156,201988.0,1.67,1.52,3.18,17.0,44.0,39.0,103.2,Patty Mills,2017,2017
271,203469.0,0.69,2.45,3.13,18.0,116.0,6.0,103.2,Cody Zeller,2017,2017
106,201567.0,1.87,1.17,3.04,19.0,38.0,66.0,103.2,Kevin Love,2017,2017
288,203501.0,2.8,0.22,3.03,20.0,15.0,185.0,103.2,Tim Hardaway Jr.,2017,2017
