,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.39,0.95,6.34,1.0,1.0,81.0,103.42,Stephen Curry,2017,2017
72,200768.0,3.27,1.81,5.07,2.0,12.0,26.0,103.42,Kyle Lowry,2017,2017
19,2544.0,4.48,0.58,5.06,3.0,2.0,130.0,103.42,LeBron James,2017,2017
285,203497.0,1.15,3.69,4.85,4.0,72.0,1.0,103.42,Rudy Gobert,2017,2017
47,101108.0,2.47,1.97,4.44,5.0,25.0,20.0,103.42,Chris Paul,2017,2017
247,203109.0,2.55,1.85,4.4,6.0,24.0,24.0,103.42,Jae Crowder,2017,2017
213,202710.0,2.09,2.3,4.39,7.0,30.0,12.0,103.42,Jimmy Butler,2017,2017
116,201580.0,3.83,0.45,4.28,8.0,4.0,143.0,103.42,JaVale McGee,2017,2017
172,202335.0,2.57,1.64,4.21,9.0,21.0,31.0,103.42,Patrick Patterson,2017,2017
347,203999.0,3.3,0.85,4.15,10.0,10.0,91.0,103.42,Nikola Jokic,2017,2017
153,201976.0,3.13,1.0,4.13,11.0,14.0,76.0,103.42,Patrick Beverley,2017,2017
60,101161.0,1.27,2.78,4.05,12.0,67.0,4.0,103.42,Amir Johnson,2017,2017
248,203110.0,1.42,2.4,3.82,13.0,56.0,8.0,103.42,Draymond Green,2017,2017
227,203078.0,3.25,0.56,3.81,14.0,13.0,133.0,103.42,Bradley Beal,2017,2017
105,201566.0,3.68,0.01,3.69,15.0,7.0,232.0,103.42,Russell Westbrook,2017,2017
199,202691.0,2.13,1.22,3.35,16.0,28.0,64.0,103.42,Klay Thompson,2017,2017
156,201988.0,1.66,1.53,3.19,17.0,43.0,40.0,103.42,Patty Mills,2017,2017
271,203469.0,0.68,2.46,3.14,18.0,114.0,6.0,103.42,Cody Zeller,2017,2017
106,201567.0,1.85,1.2,3.05,19.0,37.0,65.0,103.42,Kevin Love,2017,2017
288,203501.0,2.78,0.26,3.04,20.0,16.0,177.0,103.42,Tim Hardaway Jr.,2017,2017
77,200794.0,1.01,2.01,3.02,21.0,83.0,19.0,103.42,Paul Millsap,2017,2017
81,201144.0,2.56,0.33,2.89,22.0,22.0,164.0,103.42,Mike Conley,2017,2017
