,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.4,0.94,6.34,1.0,1.0,81.0,103.22,Stephen Curry,2017,2017
72,200768.0,3.29,1.78,5.06,2.0,11.0,27.0,103.22,Kyle Lowry,2017,2017
19,2544.0,4.49,0.55,5.05,3.0,2.0,131.0,103.22,LeBron James,2017,2017
285,203497.0,1.17,3.66,4.83,4.0,74.0,1.0,103.22,Rudy Gobert,2017,2017
47,101108.0,2.48,1.95,4.43,5.0,26.0,21.0,103.22,Chris Paul,2017,2017
247,203109.0,2.57,1.82,4.39,6.0,24.0,26.0,103.22,Jae Crowder,2017,2017
213,202710.0,2.11,2.27,4.38,7.0,31.0,13.0,103.22,Jimmy Butler,2017,2017
116,201580.0,3.85,0.45,4.3,8.0,4.0,140.0,103.22,JaVale McGee,2017,2017
172,202335.0,2.59,1.62,4.21,9.0,20.0,33.0,103.22,Patrick Patterson,2017,2017
347,203999.0,3.31,0.83,4.14,10.0,9.0,91.0,103.22,Nikola Jokic,2017,2017
153,201976.0,3.14,0.99,4.12,11.0,13.0,77.0,103.22,Patrick Beverley,2017,2017
60,101161.0,1.27,2.76,4.04,12.0,69.0,4.0,103.22,Amir Johnson,2017,2017
248,203110.0,1.42,2.38,3.8,13.0,56.0,9.0,103.22,Draymond Green,2017,2017
227,203078.0,3.26,0.54,3.8,14.0,12.0,133.0,103.22,Bradley Beal,2017,2017
105,201566.0,3.69,-0.02,3.68,15.0,7.0,233.0,103.22,Russell Westbrook,2017,2017
199,202691.0,2.15,1.2,3.34,16.0,29.0,63.0,103.22,Klay Thompson,2017,2017
156,201988.0,1.67,1.52,3.18,17.0,44.0,40.0,103.22,Patty Mills,2017,2017
271,203469.0,0.69,2.45,3.14,18.0,115.0,6.0,103.22,Cody Zeller,2017,2017
106,201567.0,1.87,1.18,3.05,19.0,38.0,65.0,103.22,Kevin Love,2017,2017
288,203501.0,2.81,0.23,3.04,20.0,15.0,183.0,103.22,Tim Hardaway Jr.,2017,2017
77,200794.0,1.02,1.99,3.01,21.0,84.0,20.0,103.22,Paul Millsap,2017,2017
81,201144.0,2.58,0.31,2.89,22.0,22.0,165.0,103.22,Mike Conley,2017,2017
123,201588.0,1.36,1.5,2.87,23.0,62.0,42.0,103.22,George Hill,2017,2017
203,202695.0,3.46,-0.78,2.69,25.0,8.0,375.0,103.22,Kawhi Leonard,2017,2017
262,203382.0,0.38,2.3,2.69,24.0,152.0,11.0,103.22,Aron Baynes,2017,2017
79,201142.0,2.74,-0.07,2.67,26.0,17.0,249.0,103.22,Kevin Durant,2017,2017
291,203506.0,-0.76,3.33,2.56,27.0,363.0,2.0,103.22,Victor Oladipo,2017,2017
125,201599.0,1.28,1.23,2.51,28.0,68.0,61.0,103.22,DeAndre Jordan,2017,2017
68,200752.0,0.6,1.89,2.49,29.0,128.0,24.0,103.22,Rudy Gay,2017,2017
198,202689.0,2.87,-0.4,2.47,30.0,14.0,314.0,103.22,Kemba Walker,2017,2017
485,203076203524.0,0.03,2.43,2.46,31.0,213.0,7.0,103.22,Solomon Hill,2017,2017
486,203076203524.0,0.03,2.43,2.46,31.0,213.0,7.0,103.22,Anthony Davis,2017,2017
168,202330.0,1.69,0.73,2.41,32.0,43.0,111.0,103.22,Gordon Hayward,2017,2017
299,203526.0,0.76,1.64,2.4,33.0,107.0,30.0,103.22,Raul Neto,2017,2017
118,201583.0,1.62,0.77,2.39,34.0,45.0,103.0,103.22,Ryan Anderson,2017,2017
167,202329.0,0.24,2.13,2.37,35.0,174.0,17.0,103.22,Al-Farouq Aminu,2017,2017
209,202703.0,1.52,0.85,2.37,36.0,52.0,89.0,103.22,Nikola Mirotic,2017,2017
166,202328.0,2.75,-0.42,2.34,37.0,16.0,318.0,103.22,Greg Monroe,2017,2017
127,201601.0,0.02,2.29,2.31,38.0,216.0,12.0,103.22,Luc Mbah a Moute,2017,2017
59,101150.0,2.57,-0.3,2.28,39.0,23.0,298.0,103.22,Lou Williams,2017,2017
169,202331.0,2.02,0.24,2.26,41.0,33.0,180.0,103.22,Paul George,2017,2017
0,1713.0,1.27,0.99,2.26,40.0,70.0,75.0,103.22,Vince Carter,2017,2017
131,201933.0,2.24,-0.04,2.2,42.0,28.0,239.0,103.22,Blake Griffin,2017,2017
107,201568.0,1.58,0.58,2.16,43.0,47.0,127.0,103.22,Danilo Gallinari,2017,2017
191,202681.0,3.78,-1.64,2.14,45.0,5.0,464.0,103.22,Kyrie Irving,2017,2017
416,1627736.0,0.73,1.42,2.14,44.0,113.0,50.0,103.22,Malik Beasley,2017,2017
33,2734.0,0.55,1.48,2.03,46.0,132.0,44.0,103.22,Devin Harris,2017,2017
270,203468.0,2.05,-0.03,2.02,47.0,32.0,238.0,103.22,CJ McCollum,2017,2017
378,1626167.0,0.94,1.06,2.0,48.0,93.0,71.0,103.22,Myles Turner,2017,2017
477,1627855.0,1.55,0.44,1.99,49.0,50.0,143.0,103.22,Okaro White,2017,2017
266,203460.0,0.45,1.54,1.98,50.0,147.0,39.0,103.22,Andre Roberson,2017,2017
27,2585.0,0.65,1.32,1.97,52.0,124.0,55.0,103.22,Zaza Pachulia,2017,2017
256,203141.0,0.38,1.59,1.97,51.0,153.0,36.0,103.22,Mirza Teletovic,2017,2017
155,201980.0,0.12,1.83,1.94,53.0,191.0,25.0,103.22,Danny Green,2017,2017
76,200782.0,0.5,1.42,1.92,54.0,138.0,49.0,103.22,P.J. Tucker,2017,2017
295,203516.0,-0.14,2.0,1.86,55.0,253.0,19.0,103.22,James Ennis III,2017,2017
53,101133.0,-0.09,1.92,1.83,56.0,238.0,22.0,103.22,Ian Mahinmi,2017,2017
5,1938.0,1.46,0.34,1.8,57.0,54.0,161.0,103.22,Manu Ginobili,2017,2017
238,203090.0,2.0,-0.22,1.78,58.0,34.0,284.0,103.22,Maurice Harkless,2017,2017
330,203937.0,-0.36,2.13,1.77,59.0,295.0,16.0,103.22,Kyle Anderson,2017,2017
3,1891.0,0.08,1.65,1.73,60.0,202.0,29.0,103.22,Jason Terry,2017,2017
483,1627884.0,0.96,0.71,1.67,61.0,91.0,113.0,103.22,Derrick Jones Jr.,2017,2017
306,203613.0,-0.73,2.39,1.67,62.0,353.0,8.0,103.22,Jonathon Simmons,2017,2017
326,203932.0,1.8,-0.17,1.63,63.0,40.0,273.0,103.22,Aaron Gordon,2017,2017
35,2738.0,1.4,0.19,1.6,64.0,59.0,192.0,103.22,Andre Iguodala,2017,2017
161,202322.0,2.44,-0.85,1.59,65.0,27.0,393.0,103.22,John Wall,2017,2017
471,1627848.0,1.9,-0.31,1.58,66.0,36.0,302.0,103.22,Shawn Long,2017,2017
273,203473.0,-0.73,2.31,1.58,67.0,354.0,10.0,103.22,Dewayne Dedmon,2017,2017
40,2754.0,0.19,1.38,1.57,68.0,183.0,52.0,103.22,Tony Allen,2017,2017
42,2757.0,0.01,1.54,1.55,70.0,219.0,38.0,103.22,Beno Udrih,2017,2017
340,203954.0,-0.09,1.64,1.55,69.0,239.0,31.0,103.22,Joel Embiid,2017,2017
222,202732.0,0.26,1.28,1.54,71.0,168.0,58.0,103.22,DeAndre Liggins,2017,2017
441,1627763.0,1.7,-0.16,1.54,72.0,42.0,271.0,103.22,Malcolm Brogdon,2017,2017
181,202355.0,1.25,0.28,1.54,73.0,71.0,168.0,103.22,Hassan Whiteside,2017,2017
113,201577.0,0.65,0.87,1.53,74.0,120.0,87.0,103.22,Robin Lopez,2017,2017
230,203081.0,2.58,-1.06,1.52,75.0,21.0,425.0,103.22,Damian Lillard,2017,2017
293,203510.0,0.67,0.85,1.52,76.0,117.0,88.0,103.22,Pierre Jackson,2017,2017
69,200755.0,2.12,-0.62,1.5,77.0,30.0,348.0,103.22,JJ Redick,2017,2017
394,1626191.0,0.98,0.52,1.49,78.0,89.0,136.0,103.22,Chris McCullough,2017,2017
132,201935.0,3.29,-1.82,1.47,79.0,10.0,472.0,103.22,James Harden,2017,2017
329,203935.0,1.06,0.36,1.42,81.0,79.0,156.0,103.22,Marcus Smart,2017,2017
284,203496.0,-1.26,2.68,1.42,80.0,425.0,5.0,103.22,Robert Covington,2017,2017
430,1627750.0,1.28,0.12,1.4,82.0,67.0,206.0,103.22,Jamal Murray,2017,2017
348,204001.0,-0.17,1.55,1.39,84.0,256.0,37.0,103.22,Kristaps Porzingis,2017,2017
39,2749.0,0.99,0.4,1.39,83.0,87.0,151.0,103.22,Jameer Nelson,2017,2017
140,201949.0,-0.36,1.73,1.37,86.0,298.0,28.0,103.22,James Johnson,2017,2017
292,203507.0,0.26,1.11,1.37,85.0,170.0,69.0,103.22,Giannis Antetokounmpo,2017,2017
228,203079.0,0.9,0.44,1.34,87.0,96.0,141.0,103.22,Dion Waiters,2017,2017
224,202738.0,4.39,-3.07,1.32,88.0,3.0,485.0,103.22,Isaiah Thomas,2017,2017
344,203991.0,1.04,0.25,1.29,89.0,82.0,177.0,103.22,Clint Capela,2017,2017
186,202397.0,0.5,0.77,1.28,90.0,140.0,102.0,103.22,Ish Smith,2017,2017
121,201586.0,0.66,0.61,1.27,93.0,119.0,122.0,103.22,Serge Ibaka,2017,2017
165,202326.0,1.94,-0.67,1.27,91.0,35.0,355.0,103.22,DeMarcus Cousins,2017,2017
83,201147.0,0.37,0.9,1.27,92.0,155.0,84.0,103.22,Corey Brewer,2017,2017
