,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.39,0.95,6.34,1.0,1.0,82.0,103.41,Stephen Curry,2017,2017
72,200768.0,3.26,1.82,5.08,2.0,11.0,25.0,103.41,Kyle Lowry,2017,2017
19,2544.0,4.5,0.56,5.06,3.0,2.0,132.0,103.41,LeBron James,2017,2017
285,203497.0,1.16,3.68,4.84,4.0,74.0,1.0,103.41,Rudy Gobert,2017,2017
47,101108.0,2.48,1.96,4.44,5.0,26.0,20.0,103.41,Chris Paul,2017,2017
247,203109.0,3.01,1.41,4.41,6.0,14.0,51.0,103.41,Jae Crowder,2017,2017
213,202710.0,2.11,2.28,4.38,7.0,30.0,12.0,103.41,Jimmy Butler,2017,2017
116,201580.0,3.83,0.47,4.29,8.0,4.0,140.0,103.41,JaVale McGee,2017,2017
172,202335.0,2.56,1.65,4.21,9.0,22.0,30.0,103.41,Patrick Patterson,2017,2017
153,201976.0,3.12,1.01,4.13,11.0,13.0,76.0,103.41,Patrick Beverley,2017,2017
347,203999.0,3.29,0.84,4.13,10.0,9.0,93.0,103.41,Nikola Jokic,2017,2017
60,101161.0,1.74,2.35,4.09,12.0,42.0,8.0,103.41,Amir Johnson,2017,2017
227,203078.0,3.24,0.57,3.81,14.0,12.0,131.0,103.41,Bradley Beal,2017,2017
248,203110.0,1.42,2.39,3.81,13.0,58.0,7.0,103.41,Draymond Green,2017,2017
105,201566.0,3.68,0.01,3.69,15.0,7.0,232.0,103.41,Russell Westbrook,2017,2017
199,202691.0,2.13,1.21,3.35,16.0,29.0,64.0,103.41,Klay Thompson,2017,2017
156,201988.0,1.66,1.54,3.19,17.0,45.0,39.0,103.41,Patty Mills,2017,2017
271,203469.0,0.69,2.44,3.13,18.0,116.0,5.0,103.41,Cody Zeller,2017,2017
106,201567.0,1.87,1.18,3.05,19.0,38.0,67.0,103.41,Kevin Love,2017,2017
288,203501.0,2.79,0.25,3.04,20.0,16.0,180.0,103.41,Tim Hardaway Jr.,2017,2017
77,200794.0,1.0,2.02,3.02,21.0,86.0,17.0,103.41,Paul Millsap,2017,2017
81,201144.0,2.56,0.33,2.9,22.0,24.0,163.0,103.41,Mike Conley,2017,2017
123,201588.0,1.34,1.53,2.87,23.0,64.0,42.0,103.41,George Hill,2017,2017
203,202695.0,3.45,-0.75,2.7,24.0,8.0,371.0,103.41,Kawhi Leonard,2017,2017
