,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.4,0.94,6.34,1.0,1.0,83.0,103.28,Stephen Curry,2017,2017
72,200768.0,3.28,1.79,5.07,2.0,11.0,26.0,103.28,Kyle Lowry,2017,2017
19,2544.0,4.49,0.56,5.05,3.0,2.0,131.0,103.28,LeBron James,2017,2017
285,203497.0,1.17,3.67,4.84,4.0,73.0,1.0,103.28,Rudy Gobert,2017,2017
47,101108.0,2.48,1.96,4.44,5.0,26.0,20.0,103.28,Chris Paul,2017,2017
247,203109.0,2.56,1.83,4.39,6.0,24.0,25.0,103.28,Jae Crowder,2017,2017
213,202710.0,2.11,2.28,4.38,7.0,31.0,12.0,103.28,Jimmy Butler,2017,2017
116,201580.0,3.84,0.45,4.29,8.0,4.0,141.0,103.28,JaVale McGee,2017,2017
172,202335.0,2.58,1.63,4.21,9.0,20.0,34.0,103.28,Patrick Patterson,2017,2017
347,203999.0,3.3,0.83,4.14,10.0,9.0,92.0,103.28,Nikola Jokic,2017,2017
153,201976.0,3.13,0.99,4.13,11.0,13.0,78.0,103.28,Patrick Beverley,2017,2017
60,101161.0,1.27,2.77,4.04,12.0,69.0,4.0,103.28,Amir Johnson,2017,2017
248,203110.0,1.43,2.38,3.81,13.0,57.0,8.0,103.28,Draymond Green,2017,2017
227,203078.0,3.26,0.55,3.8,14.0,12.0,133.0,103.28,Bradley Beal,2017,2017
105,201566.0,3.69,-0.01,3.68,15.0,7.0,234.0,103.28,Russell Westbrook,2017,2017
199,202691.0,2.14,1.2,3.35,16.0,29.0,64.0,103.28,Klay Thompson,2017,2017
156,201988.0,1.67,1.53,3.19,17.0,44.0,40.0,103.28,Patty Mills,2017,2017
271,203469.0,0.68,2.45,3.14,18.0,115.0,6.0,103.28,Cody Zeller,2017,2017
106,201567.0,1.87,1.18,3.05,19.0,38.0,66.0,103.28,Kevin Love,2017,2017
288,203501.0,2.8,0.24,3.04,20.0,15.0,181.0,103.28,Tim Hardaway Jr.,2017,2017
77,200794.0,1.02,2.0,3.02,21.0,84.0,18.0,103.28,Paul Millsap,2017,2017
81,201144.0,2.57,0.32,2.89,22.0,23.0,163.0,103.28,Mike Conley,2017,2017
123,201588.0,1.35,1.5,2.86,23.0,63.0,43.0,103.28,George Hill,2017,2017
262,203382.0,0.38,2.31,2.69,25.0,153.0,10.0,103.28,Aron Baynes,2017,2017
203,202695.0,3.46,-0.77,2.69,24.0,8.0,374.0,103.28,Kawhi Leonard,2017,2017
79,201142.0,2.75,-0.06,2.69,26.0,17.0,245.0,103.28,Kevin Durant,2017,2017
291,203506.0,-0.77,3.34,2.56,27.0,364.0,2.0,103.28,Victor Oladipo,2017,2017
125,201599.0,1.28,1.24,2.52,28.0,68.0,62.0,103.28,DeAndre Jordan,2017,2017
68,200752.0,0.59,1.89,2.48,29.0,130.0,23.0,103.28,Rudy Gay,2017,2017
198,202689.0,2.87,-0.39,2.48,30.0,14.0,316.0,103.28,Kemba Walker,2017,2017
168,202330.0,1.68,0.73,2.42,31.0,43.0,112.0,103.28,Gordon Hayward,2017,2017
299,203526.0,0.77,1.65,2.41,32.0,106.0,31.0,103.28,Raul Neto,2017,2017
118,201583.0,1.62,0.78,2.4,33.0,45.0,104.0,103.28,Ryan Anderson,2017,2017
209,202703.0,1.51,0.86,2.37,34.0,52.0,89.0,103.28,Nikola Mirotic,2017,2017
167,202329.0,0.23,2.14,2.37,35.0,175.0,15.0,103.28,Al-Farouq Aminu,2017,2017
166,202328.0,2.75,-0.41,2.34,36.0,16.0,319.0,103.28,Greg Monroe,2017,2017
127,201601.0,0.02,2.29,2.31,37.0,215.0,11.0,103.28,Luc Mbah a Moute,2017,2017
59,101150.0,2.58,-0.29,2.29,38.0,22.0,298.0,103.28,Lou Williams,2017,2017
0,1713.0,1.27,1.0,2.27,39.0,70.0,75.0,103.28,Vince Carter,2017,2017
169,202331.0,2.02,0.24,2.26,40.0,33.0,179.0,103.28,Paul George,2017,2017
131,201933.0,2.23,-0.04,2.19,41.0,28.0,241.0,103.28,Blake Griffin,2017,2017
107,201568.0,1.58,0.58,2.16,42.0,46.0,129.0,103.28,Danilo Gallinari,2017,2017
416,1627736.0,0.73,1.42,2.15,43.0,113.0,51.0,103.28,Malik Beasley,2017,2017
191,202681.0,3.77,-1.63,2.14,44.0,5.0,463.0,103.28,Kyrie Irving,2017,2017
33,2734.0,0.55,1.49,2.04,45.0,132.0,44.0,103.28,Devin Harris,2017,2017
270,203468.0,2.05,-0.02,2.03,46.0,32.0,237.0,103.28,CJ McCollum,2017,2017
266,203460.0,0.45,1.54,1.99,48.0,147.0,39.0,103.28,Andre Roberson,2017,2017
378,1626167.0,0.93,1.06,1.99,47.0,93.0,72.0,103.28,Myles Turner,2017,2017
477,1627855.0,1.55,0.44,1.98,49.0,50.0,144.0,103.28,Okaro White,2017,2017
256,203141.0,0.38,1.6,1.98,50.0,154.0,37.0,103.28,Mirza Teletovic,2017,2017
27,2585.0,0.64,1.33,1.97,51.0,125.0,55.0,103.28,Zaza Pachulia,2017,2017
155,201980.0,0.11,1.83,1.94,52.0,193.0,24.0,103.28,Danny Green,2017,2017
76,200782.0,0.51,1.43,1.94,53.0,136.0,49.0,103.28,P.J. Tucker,2017,2017
295,203516.0,-0.14,2.01,1.87,54.0,253.0,17.0,103.28,James Ennis III,2017,2017
53,101133.0,-0.09,1.92,1.83,55.0,240.0,21.0,103.28,Ian Mahinmi,2017,2017
5,1938.0,1.45,0.35,1.8,56.0,55.0,160.0,103.28,Manu Ginobili,2017,2017
238,203090.0,2.0,-0.21,1.79,57.0,34.0,285.0,103.28,Maurice Harkless,2017,2017
330,203937.0,-0.36,2.14,1.78,58.0,295.0,14.0,103.28,Kyle Anderson,2017,2017
3,1891.0,0.07,1.66,1.73,59.0,206.0,30.0,103.28,Jason Terry,2017,2017
483,1627884.0,0.95,0.72,1.67,60.0,91.0,114.0,103.28,Derrick Jones Jr.,2017,2017
306,203613.0,-0.74,2.41,1.67,61.0,356.0,7.0,103.28,Jonathon Simmons,2017,2017
326,203932.0,1.8,-0.16,1.64,62.0,40.0,272.0,103.28,Aaron Gordon,2017,2017
35,2738.0,1.4,0.2,1.61,63.0,60.0,189.0,103.28,Andre Iguodala,2017,2017
161,202322.0,2.44,-0.85,1.59,64.0,27.0,392.0,103.28,John Wall,2017,2017
471,1627848.0,1.89,-0.31,1.58,66.0,36.0,304.0,103.28,Shawn Long,2017,2017
273,203473.0,-0.73,2.32,1.58,65.0,355.0,9.0,103.28,Dewayne Dedmon,2017,2017
40,2754.0,0.19,1.39,1.57,67.0,183.0,52.0,103.28,Tony Allen,2017,2017
225,203076.0,-0.44,2.0,1.56,68.0,306.0,19.0,103.28,Anthony Davis,2017,2017
42,2757.0,0.01,1.55,1.56,69.0,218.0,38.0,103.28,Beno Udrih,2017,2017
340,203954.0,-0.09,1.64,1.55,70.0,239.0,32.0,103.28,Joel Embiid,2017,2017
