,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.4,0.94,6.34,1.0,1.0,81.0,103.26,Stephen Curry,2017,2017
72,200768.0,3.28,1.78,5.06,2.0,10.0,25.0,103.26,Kyle Lowry,2017,2017
19,2544.0,4.49,0.55,5.04,3.0,2.0,130.0,103.26,LeBron James,2017,2017
285,203497.0,1.16,3.66,4.82,4.0,74.0,1.0,103.26,Rudy Gobert,2017,2017
247,203109.0,2.56,1.82,4.38,5.0,24.0,24.0,103.26,Jae Crowder,2017,2017
213,202710.0,2.1,2.26,4.36,6.0,30.0,13.0,103.26,Jimmy Butler,2017,2017
116,201580.0,3.85,0.45,4.3,7.0,4.0,140.0,103.26,JaVale McGee,2017,2017
172,202335.0,2.57,1.62,4.2,8.0,20.0,33.0,103.26,Patrick Patterson,2017,2017
153,201976.0,3.13,0.99,4.12,9.0,13.0,76.0,103.26,Patrick Beverley,2017,2017
347,203999.0,3.29,0.82,4.11,10.0,9.0,93.0,103.26,Nikola Jokic,2017,2017
60,101161.0,1.27,2.76,4.03,11.0,69.0,4.0,103.26,Amir Johnson,2017,2017
248,203110.0,1.41,2.37,3.78,13.0,59.0,9.0,103.26,Draymond Green,2017,2017
227,203078.0,3.25,0.54,3.78,12.0,12.0,132.0,103.26,Bradley Beal,2017,2017
485,101108201601.0,1.1,2.6,3.7,14.0,79.0,6.0,103.26,Luc Mbah a Moute,2017,2017
486,101108201601.0,1.1,2.6,3.7,14.0,79.0,6.0,103.26,Chris Paul,2017,2017
105,201566.0,3.68,-0.02,3.66,15.0,7.0,236.0,103.26,Russell Westbrook,2017,2017
125,201599.0,1.61,1.77,3.38,16.0,46.0,26.0,103.26,DeAndre Jordan,2017,2017
199,202691.0,2.14,1.2,3.34,17.0,29.0,63.0,103.26,Klay Thompson,2017,2017
156,201988.0,1.66,1.52,3.18,18.0,44.0,40.0,103.26,Patty Mills,2017,2017
271,203469.0,0.68,2.45,3.14,19.0,116.0,7.0,103.26,Cody Zeller,2017,2017
106,201567.0,1.87,1.18,3.05,20.0,38.0,65.0,103.26,Kevin Love,2017,2017
288,203501.0,2.8,0.23,3.04,21.0,15.0,182.0,103.26,Tim Hardaway Jr.,2017,2017
77,200794.0,1.02,1.99,3.01,22.0,84.0,18.0,103.26,Paul Millsap,2017,2017
81,201144.0,2.56,0.31,2.87,23.0,23.0,166.0,103.26,Mike Conley,2017,2017
123,201588.0,1.35,1.5,2.84,24.0,64.0,43.0,103.26,George Hill,2017,2017
131,201933.0,2.47,0.32,2.79,25.0,26.0,164.0,103.26,Blake Griffin,2017,2017
79,201142.0,2.76,-0.06,2.7,26.0,16.0,244.0,103.26,Kevin Durant,2017,2017
262,203382.0,0.38,2.31,2.69,27.0,153.0,11.0,103.26,Aron Baynes,2017,2017
203,202695.0,3.45,-0.79,2.66,28.0,8.0,374.0,103.26,Kawhi Leonard,2017,2017
291,203506.0,-0.78,3.33,2.55,29.0,365.0,2.0,103.26,Victor Oladipo,2017,2017
68,200752.0,0.58,1.89,2.47,30.0,131.0,22.0,103.26,Rudy Gay,2017,2017
198,202689.0,2.87,-0.4,2.46,31.0,14.0,317.0,103.26,Kemba Walker,2017,2017
168,202330.0,1.68,0.73,2.41,32.0,43.0,111.0,103.26,Gordon Hayward,2017,2017
299,203526.0,0.76,1.64,2.4,33.0,108.0,30.0,103.26,Raul Neto,2017,2017
118,201583.0,1.61,0.77,2.38,34.0,45.0,104.0,103.26,Ryan Anderson,2017,2017
209,202703.0,1.51,0.86,2.36,35.0,53.0,88.0,103.26,Nikola Mirotic,2017,2017
167,202329.0,0.22,2.13,2.36,36.0,176.0,15.0,103.26,Al-Farouq Aminu,2017,2017
166,202328.0,2.75,-0.42,2.33,37.0,17.0,320.0,103.26,Greg Monroe,2017,2017
59,101150.0,2.57,-0.29,2.28,38.0,21.0,298.0,103.26,Lou Williams,2017,2017
0,1713.0,1.27,1.0,2.27,39.0,70.0,74.0,103.26,Vince Carter,2017,2017
169,202331.0,2.01,0.24,2.25,40.0,32.0,181.0,103.26,Paul George,2017,2017
416,1627736.0,0.73,1.42,2.15,41.0,113.0,50.0,103.26,Malik Beasley,2017,2017
107,201568.0,1.57,0.57,2.14,42.0,48.0,129.0,103.26,Danilo Gallinari,2017,2017
191,202681.0,3.77,-1.63,2.13,43.0,5.0,463.0,103.26,Kyrie Irving,2017,2017
69,200755.0,2.36,-0.23,2.13,44.0,28.0,290.0,103.26,JJ Redick,2017,2017
47,101108.0,1.92,0.12,2.04,45.0,35.0,208.0,103.26,Chris Paul,2017,2017
33,2734.0,0.54,1.48,2.02,46.0,133.0,44.0,103.26,Devin Harris,2017,2017
270,203468.0,2.05,-0.04,2.01,47.0,31.0,240.0,103.26,CJ McCollum,2017,2017
378,1626167.0,0.93,1.06,1.99,48.0,94.0,71.0,103.26,Myles Turner,2017,2017
477,1627855.0,1.55,0.44,1.99,49.0,51.0,143.0,103.26,Okaro White,2017,2017
266,203460.0,0.44,1.53,1.98,50.0,148.0,39.0,103.26,Andre Roberson,2017,2017
256,203141.0,0.37,1.6,1.97,51.0,154.0,36.0,103.26,Mirza Teletovic,2017,2017
27,2585.0,0.63,1.32,1.95,52.0,127.0,55.0,103.26,Zaza Pachulia,2017,2017
76,200782.0,0.51,1.42,1.94,54.0,137.0,49.0,103.26,P.J. Tucker,2017,2017
155,201980.0,0.11,1.83,1.94,53.0,192.0,23.0,103.26,Danny Green,2017,2017
295,203516.0,-0.15,2.0,1.85,55.0,252.0,17.0,103.26,James Ennis III,2017,2017
53,101133.0,-0.09,1.92,1.82,56.0,239.0,20.0,103.26,Ian Mahinmi,2017,2017
5,1938.0,1.45,0.35,1.8,57.0,55.0,160.0,103.26,Manu Ginobili,2017,2017
238,203090.0,2.0,-0.22,1.78,58.0,33.0,286.0,103.26,Maurice Harkless,2017,2017
330,203937.0,-0.36,2.13,1.77,59.0,293.0,14.0,103.26,Kyle Anderson,2017,2017
3,1891.0,0.07,1.65,1.72,60.0,206.0,29.0,103.26,Jason Terry,2017,2017
483,1627884.0,0.95,0.72,1.67,61.0,93.0,113.0,103.26,Derrick Jones Jr.,2017,2017
306,203613.0,-0.75,2.4,1.65,62.0,359.0,8.0,103.26,Jonathon Simmons,2017,2017
326,203932.0,1.8,-0.17,1.62,63.0,40.0,274.0,103.26,Aaron Gordon,2017,2017
35,2738.0,1.41,0.2,1.61,64.0,58.0,189.0,103.26,Andre Iguodala,2017,2017
471,1627848.0,1.89,-0.31,1.58,65.0,36.0,305.0,103.26,Shawn Long,2017,2017
273,203473.0,-0.74,2.31,1.57,66.0,356.0,10.0,103.26,Dewayne Dedmon,2017,2017
161,202322.0,2.43,-0.86,1.57,67.0,27.0,392.0,103.26,John Wall,2017,2017
40,2754.0,0.18,1.38,1.56,68.0,184.0,52.0,103.26,Tony Allen,2017,2017
42,2757.0,0.01,1.54,1.55,69.0,216.0,38.0,103.26,Beno Udrih,2017,2017
