,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.4,0.96,6.35,1.0,1.0,80.0,103.31,Stephen Curry,2017,2017
72,200768.0,3.28,1.8,5.08,2.0,11.0,26.0,103.31,Kyle Lowry,2017,2017
19,2544.0,4.49,0.57,5.06,3.0,2.0,131.0,103.31,LeBron James,2017,2017
285,203497.0,1.17,3.68,4.85,4.0,74.0,1.0,103.31,Rudy Gobert,2017,2017
213,202710.0,2.11,2.29,4.4,5.0,31.0,12.0,103.31,Jimmy Butler,2017,2017
247,203109.0,2.56,1.83,4.4,6.0,24.0,25.0,103.31,Jae Crowder,2017,2017
47,101108.0,2.32,1.99,4.31,7.0,28.0,20.0,103.31,Chris Paul,2017,2017
116,201580.0,3.84,0.46,4.3,8.0,4.0,141.0,103.31,JaVale McGee,2017,2017
172,202335.0,2.58,1.63,4.21,9.0,21.0,33.0,103.31,Patrick Patterson,2017,2017
347,203999.0,3.3,0.85,4.15,10.0,9.0,93.0,103.31,Nikola Jokic,2017,2017
153,201976.0,3.13,1.01,4.14,11.0,13.0,77.0,103.31,Patrick Beverley,2017,2017
60,101161.0,1.28,2.77,4.05,12.0,69.0,4.0,103.31,Amir Johnson,2017,2017
227,203078.0,3.26,0.56,3.82,13.0,12.0,132.0,103.31,Bradley Beal,2017,2017
248,203110.0,1.43,2.39,3.81,14.0,57.0,8.0,103.31,Draymond Green,2017,2017
105,201566.0,3.7,0.0,3.7,15.0,7.0,233.0,103.31,Russell Westbrook,2017,2017
199,202691.0,2.14,1.22,3.36,16.0,30.0,61.0,103.31,Klay Thompson,2017,2017
156,201988.0,1.67,1.53,3.19,17.0,45.0,40.0,103.31,Patty Mills,2017,2017
271,203469.0,0.68,2.46,3.15,18.0,117.0,6.0,103.31,Cody Zeller,2017,2017
106,201567.0,1.87,1.19,3.06,19.0,39.0,65.0,103.31,Kevin Love,2017,2017
288,203501.0,2.8,0.24,3.04,20.0,15.0,182.0,103.31,Tim Hardaway Jr.,2017,2017
77,200794.0,1.02,2.01,3.03,21.0,86.0,18.0,103.31,Paul Millsap,2017,2017
81,201144.0,2.58,0.33,2.91,22.0,23.0,163.0,103.31,Mike Conley,2017,2017
123,201588.0,1.36,1.5,2.86,23.0,64.0,43.0,103.31,George Hill,2017,2017
79,201142.0,2.75,-0.05,2.7,24.0,17.0,240.0,103.31,Kevin Durant,2017,2017
203,202695.0,3.46,-0.76,2.7,25.0,8.0,373.0,103.31,Kawhi Leonard,2017,2017
262,203382.0,0.38,2.31,2.69,26.0,153.0,10.0,103.31,Aron Baynes,2017,2017
291,203506.0,-0.77,3.34,2.57,27.0,364.0,2.0,103.31,Victor Oladipo,2017,2017
68,200752.0,0.6,1.91,2.51,28.0,131.0,23.0,103.31,Rudy Gay,2017,2017
198,202689.0,2.88,-0.39,2.49,29.0,14.0,315.0,103.31,Kemba Walker,2017,2017
168,202330.0,1.69,0.74,2.43,30.0,44.0,111.0,103.31,Gordon Hayward,2017,2017
299,203526.0,0.77,1.66,2.42,31.0,108.0,30.0,103.31,Raul Neto,2017,2017
118,201583.0,1.62,0.79,2.41,32.0,46.0,103.0,103.31,Ryan Anderson,2017,2017
209,202703.0,1.51,0.87,2.38,34.0,53.0,89.0,103.31,Nikola Mirotic,2017,2017
127,201601.0,0.08,2.31,2.38,33.0,203.0,11.0,103.31,Luc Mbah a Moute,2017,2017
167,202329.0,0.23,2.14,2.37,35.0,176.0,14.0,103.31,Al-Farouq Aminu,2017,2017
166,202328.0,2.75,-0.4,2.35,36.0,16.0,318.0,103.31,Greg Monroe,2017,2017
125,201599.0,1.13,1.19,2.32,37.0,77.0,66.0,103.31,DeAndre Jordan,2017,2017
59,101150.0,2.58,-0.28,2.29,38.0,22.0,297.0,103.31,Lou Williams,2017,2017
0,1713.0,1.27,1.01,2.29,39.0,70.0,75.0,103.31,Vince Carter,2017,2017
169,202331.0,2.02,0.25,2.27,40.0,33.0,178.0,103.31,Paul George,2017,2017
107,201568.0,1.58,0.59,2.18,41.0,47.0,128.0,103.31,Danilo Gallinari,2017,2017
191,202681.0,3.77,-1.62,2.15,43.0,5.0,463.0,103.31,Kyrie Irving,2017,2017
416,1627736.0,0.73,1.42,2.15,42.0,115.0,51.0,103.31,Malik Beasley,2017,2017
131,201933.0,2.17,-0.07,2.09,44.0,29.0,251.0,103.31,Blake Griffin,2017,2017
33,2734.0,0.55,1.49,2.04,45.0,134.0,45.0,103.31,Devin Harris,2017,2017
270,203468.0,2.05,-0.02,2.04,46.0,32.0,235.0,103.31,CJ McCollum,2017,2017
378,1626167.0,0.93,1.07,2.01,47.0,94.0,72.0,103.31,Myles Turner,2017,2017
266,203460.0,0.45,1.55,2.0,48.0,148.0,38.0,103.31,Andre Roberson,2017,2017
477,1627855.0,1.55,0.44,1.99,49.0,51.0,146.0,103.31,Okaro White,2017,2017
256,203141.0,0.38,1.6,1.98,50.0,154.0,36.0,103.31,Mirza Teletovic,2017,2017
27,2585.0,0.64,1.33,1.97,51.0,127.0,55.0,103.31,Zaza Pachulia,2017,2017
76,200782.0,0.52,1.43,1.95,53.0,138.0,49.0,103.31,P.J. Tucker,2017,2017
155,201980.0,0.11,1.84,1.95,52.0,192.0,24.0,103.31,Danny Green,2017,2017
295,203516.0,-0.14,2.03,1.89,54.0,249.0,17.0,103.31,James Ennis III,2017,2017
53,101133.0,-0.09,1.93,1.84,55.0,238.0,21.0,103.31,Ian Mahinmi,2017,2017
238,203090.0,2.01,-0.2,1.81,57.0,34.0,283.0,103.31,Maurice Harkless,2017,2017
5,1938.0,1.46,0.35,1.81,56.0,55.0,160.0,103.31,Manu Ginobili,2017,2017
330,203937.0,-0.36,2.14,1.78,58.0,296.0,15.0,103.31,Kyle Anderson,2017,2017
3,1891.0,0.07,1.66,1.73,59.0,206.0,29.0,103.31,Jason Terry,2017,2017
483,1627884.0,0.95,0.72,1.67,60.0,93.0,113.0,103.31,Derrick Jones Jr.,2017,2017
306,203613.0,-0.74,2.41,1.67,61.0,357.0,7.0,103.31,Jonathon Simmons,2017,2017
326,203932.0,1.8,-0.16,1.64,62.0,41.0,272.0,103.31,Aaron Gordon,2017,2017
35,2738.0,1.41,0.21,1.62,63.0,60.0,188.0,103.31,Andre Iguodala,2017,2017
161,202322.0,2.44,-0.83,1.61,64.0,26.0,387.0,103.31,John Wall,2017,2017
225,203076.0,-0.43,2.01,1.58,68.0,306.0,19.0,103.31,Anthony Davis,2017,2017
40,2754.0,0.18,1.4,1.58,66.0,184.0,52.0,103.31,Tony Allen,2017,2017
471,1627848.0,1.89,-0.31,1.58,67.0,37.0,304.0,103.31,Shawn Long,2017,2017
273,203473.0,-0.73,2.32,1.58,65.0,356.0,9.0,103.31,Dewayne Dedmon,2017,2017
340,203954.0,-0.09,1.64,1.56,71.0,237.0,31.0,103.31,Joel Embiid,2017,2017
181,202355.0,1.26,0.3,1.56,70.0,71.0,167.0,103.31,Hassan Whiteside,2017,2017
441,1627763.0,1.7,-0.14,1.56,69.0,43.0,267.0,103.31,Malcolm Brogdon,2017,2017
222,202732.0,0.26,1.29,1.55,73.0,169.0,57.0,103.31,DeAndre Liggins,2017,2017
42,2757.0,0.01,1.54,1.55,72.0,218.0,39.0,103.31,Beno Udrih,2017,2017
230,203081.0,2.58,-1.04,1.54,74.0,20.0,422.0,103.31,Damian Lillard,2017,2017
113,201577.0,0.65,0.88,1.53,75.0,121.0,87.0,103.31,Robin Lopez,2017,2017
293,203510.0,0.67,0.86,1.52,76.0,119.0,91.0,103.31,Pierre Jackson,2017,2017
7,2037.0,2.36,-0.85,1.51,77.0,27.0,394.0,103.31,Jamal Crawford,2017,2017
394,1626191.0,0.98,0.52,1.5,78.0,90.0,136.0,103.31,Chris McCullough,2017,2017
132,201935.0,3.29,-1.8,1.49,79.0,10.0,472.0,103.31,James Harden,2017,2017
284,203496.0,-1.26,2.69,1.44,80.0,425.0,5.0,103.31,Robert Covington,2017,2017
329,203935.0,1.07,0.37,1.43,81.0,81.0,157.0,103.31,Marcus Smart,2017,2017
430,1627750.0,1.28,0.13,1.41,82.0,68.0,205.0,103.31,Jamal Murray,2017,2017
39,2749.0,0.98,0.42,1.4,83.0,91.0,151.0,103.31,Jameer Nelson,2017,2017
348,204001.0,-0.17,1.56,1.39,84.0,256.0,37.0,103.31,Kristaps Porzingis,2017,2017
69,200755.0,1.97,-0.58,1.39,85.0,35.0,342.0,103.31,JJ Redick,2017,2017
292,203507.0,0.25,1.13,1.39,86.0,172.0,69.0,103.31,Giannis Antetokounmpo,2017,2017
140,201949.0,-0.36,1.75,1.38,87.0,295.0,28.0,103.31,James Johnson,2017,2017
228,203079.0,0.89,0.45,1.35,88.0,97.0,143.0,103.31,Dion Waiters,2017,2017
224,202738.0,4.39,-3.05,1.34,89.0,3.0,485.0,103.31,Isaiah Thomas,2017,2017
344,203991.0,1.04,0.25,1.3,90.0,84.0,177.0,103.31,Clint Capela,2017,2017
186,202397.0,0.5,0.79,1.29,91.0,140.0,104.0,103.31,Ish Smith,2017,2017
455,1627785.0,0.42,0.86,1.28,92.0,152.0,90.0,103.31,Isaiah Whitehead,2017,2017
165,202326.0,1.97,-0.69,1.28,93.0,36.0,363.0,103.31,DeMarcus Cousins,2017,2017
304,203584.0,1.34,-0.08,1.27,96.0,67.0,253.0,103.31,Troy Daniels,2017,2017
121,201586.0,0.65,0.62,1.27,94.0,124.0,122.0,103.31,Serge Ibaka,2017,2017
83,201147.0,0.36,0.91,1.27,95.0,156.0,84.0,103.31,Corey Brewer,2017,2017
370,1626157.0,2.71,-1.45,1.26,97.0,18.0,451.0,103.31,Karl-Anthony Towns,2017,2017
468,1627832.0,-0.4,1.64,1.24,98.0,303.0,32.0,103.31,Fred VanVleet,2017,2017
206,202699.0,0.81,0.4,1.21,99.0,105.0,154.0,103.31,Tobias Harris,2017,2017
298,203524.0,-0.1,1.27,1.18,101.0,242.0,59.0,103.31,Solomon Hill,2017,2017
9,2200.0,1.35,-0.17,1.18,100.0,66.0,275.0,103.31,Pau Gasol,2017,2017
147,201960.0,0.42,0.75,1.17,102.0,151.0,109.0,103.31,DeMarre Carroll,2017,2017
13,2225.0,0.54,0.61,1.15,103.0,135.0,125.0,103.31,Tony Parker,2017,2017
260,203200.0,-0.2,1.34,1.14,104.0,267.0,54.0,103.31,Justin Holiday,2017,2017
