,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.37,0.94,6.31,1.0,1.0,83.0,103.39,Stephen Curry,2017,2017
72,200768.0,3.26,1.79,5.05,2.0,11.0,26.0,103.39,Kyle Lowry,2017,2017
19,2544.0,4.47,0.57,5.04,3.0,2.0,131.0,103.39,LeBron James,2017,2017
285,203497.0,1.15,3.67,4.82,4.0,74.0,1.0,103.39,Rudy Gobert,2017,2017
47,101108.0,2.47,1.96,4.43,5.0,25.0,20.0,103.39,Chris Paul,2017,2017
247,203109.0,2.54,1.83,4.37,7.0,23.0,25.0,103.39,Jae Crowder,2017,2017
213,202710.0,2.08,2.29,4.37,6.0,32.0,11.0,103.39,Jimmy Butler,2017,2017
116,201580.0,3.83,0.45,4.28,8.0,4.0,141.0,103.39,JaVale McGee,2017,2017
172,202335.0,2.57,1.63,4.2,9.0,20.0,33.0,103.39,Patrick Patterson,2017,2017
347,203999.0,3.28,0.83,4.11,10.0,10.0,94.0,103.39,Nikola Jokic,2017,2017
60,101161.0,1.26,2.78,4.04,11.0,69.0,4.0,103.39,Amir Johnson,2017,2017
248,203110.0,1.41,2.38,3.8,12.0,57.0,8.0,103.39,Draymond Green,2017,2017
227,203078.0,3.24,0.55,3.79,13.0,12.0,133.0,103.39,Bradley Beal,2017,2017
105,201566.0,3.67,-0.01,3.66,14.0,7.0,233.0,103.39,Russell Westbrook,2017,2017
199,202691.0,2.12,1.2,3.32,15.0,30.0,65.0,103.39,Klay Thompson,2017,2017
156,201988.0,1.65,1.53,3.18,16.0,46.0,41.0,103.39,Patty Mills,2017,2017
271,203469.0,0.67,2.46,3.14,17.0,118.0,6.0,103.39,Cody Zeller,2017,2017
106,201567.0,1.85,1.19,3.05,18.0,39.0,67.0,103.39,Kevin Love,2017,2017
288,203501.0,2.78,0.24,3.02,19.0,14.0,179.0,103.39,Tim Hardaway Jr.,2017,2017
77,200794.0,1.0,2.0,3.0,20.0,82.0,19.0,103.39,Paul Millsap,2017,2017
118,201583.0,2.26,0.7,2.96,21.0,27.0,116.0,103.39,Ryan Anderson,2017,2017
81,201144.0,2.56,0.32,2.87,22.0,22.0,165.0,103.39,Mike Conley,2017,2017
486,201935201976.0,3.51,-0.65,2.86,23.0,8.0,350.0,103.39,James Harden,2017,2017
485,201935201976.0,3.51,-0.65,2.86,23.0,8.0,350.0,103.39,Patrick Beverley,2017,2017
123,201588.0,1.34,1.52,2.86,24.0,62.0,42.0,103.39,George Hill,2017,2017
79,201142.0,2.73,-0.05,2.68,26.0,17.0,242.0,103.39,Kevin Durant,2017,2017
203,202695.0,3.45,-0.77,2.68,27.0,9.0,374.0,103.39,Kawhi Leonard,2017,2017
262,203382.0,0.37,2.32,2.68,25.0,155.0,10.0,103.39,Aron Baynes,2017,2017
291,203506.0,-0.79,3.33,2.54,28.0,365.0,2.0,103.39,Victor Oladipo,2017,2017
125,201599.0,1.26,1.24,2.5,29.0,67.0,63.0,103.39,DeAndre Jordan,2017,2017
68,200752.0,0.58,1.9,2.49,30.0,131.0,23.0,103.39,Rudy Gay,2017,2017
198,202689.0,2.85,-0.39,2.46,31.0,13.0,315.0,103.39,Kemba Walker,2017,2017
153,201976.0,0.83,1.61,2.45,32.0,100.0,36.0,103.39,Patrick Beverley,2017,2017
59,101150.0,2.73,-0.32,2.41,33.0,16.0,304.0,103.39,Lou Williams,2017,2017
299,203526.0,0.76,1.64,2.4,34.0,110.0,30.0,103.39,Raul Neto,2017,2017
168,202330.0,1.67,0.73,2.39,35.0,45.0,110.0,103.39,Gordon Hayward,2017,2017
167,202329.0,0.21,2.15,2.36,37.0,178.0,15.0,103.39,Al-Farouq Aminu,2017,2017
209,202703.0,1.49,0.87,2.36,36.0,54.0,87.0,103.39,Nikola Mirotic,2017,2017
166,202328.0,2.74,-0.41,2.33,38.0,15.0,318.0,103.39,Greg Monroe,2017,2017
127,201601.0,0.01,2.29,2.3,39.0,215.0,12.0,103.39,Luc Mbah a Moute,2017,2017
0,1713.0,1.26,1.0,2.26,40.0,70.0,77.0,103.39,Vince Carter,2017,2017
169,202331.0,2.0,0.25,2.25,41.0,34.0,177.0,103.39,Paul George,2017,2017
131,201933.0,2.21,-0.02,2.19,42.0,29.0,238.0,103.39,Blake Griffin,2017,2017
107,201568.0,1.56,0.58,2.15,44.0,48.0,130.0,103.39,Danilo Gallinari,2017,2017
416,1627736.0,0.72,1.43,2.15,43.0,115.0,52.0,103.39,Malik Beasley,2017,2017
191,202681.0,3.75,-1.62,2.13,45.0,5.0,464.0,103.39,Kyrie Irving,2017,2017
33,2734.0,0.54,1.49,2.03,46.0,135.0,45.0,103.39,Devin Harris,2017,2017
270,203468.0,2.03,-0.02,2.01,47.0,33.0,239.0,103.39,CJ McCollum,2017,2017
378,1626167.0,0.92,1.07,1.99,48.0,94.0,73.0,103.39,Myles Turner,2017,2017
477,1627855.0,1.54,0.44,1.98,49.0,51.0,144.0,103.39,Okaro White,2017,2017
256,203141.0,0.36,1.6,1.97,51.0,156.0,37.0,103.39,Mirza Teletovic,2017,2017
266,203460.0,0.43,1.54,1.97,50.0,150.0,40.0,103.39,Andre Roberson,2017,2017
27,2585.0,0.63,1.33,1.96,52.0,126.0,56.0,103.39,Zaza Pachulia,2017,2017
155,201980.0,0.1,1.83,1.93,53.0,196.0,24.0,103.39,Danny Green,2017,2017
76,200782.0,0.49,1.43,1.92,54.0,140.0,50.0,103.39,P.J. Tucker,2017,2017
295,203516.0,-0.15,2.02,1.87,55.0,253.0,17.0,103.39,James Ennis III,2017,2017
53,101133.0,-0.1,1.92,1.82,56.0,239.0,21.0,103.39,Ian Mahinmi,2017,2017
5,1938.0,1.44,0.35,1.79,57.0,56.0,161.0,103.39,Manu Ginobili,2017,2017
238,203090.0,1.99,-0.21,1.78,58.0,35.0,284.0,103.39,Maurice Harkless,2017,2017
330,203937.0,-0.38,2.15,1.77,59.0,297.0,14.0,103.39,Kyle Anderson,2017,2017
344,203991.0,1.52,0.2,1.72,60.0,52.0,189.0,103.39,Clint Capela,2017,2017
3,1891.0,0.06,1.66,1.72,61.0,208.0,29.0,103.39,Jason Terry,2017,2017
306,203613.0,-0.76,2.41,1.66,63.0,361.0,7.0,103.39,Jonathon Simmons,2017,2017
483,1627884.0,0.95,0.71,1.66,62.0,89.0,115.0,103.39,Derrick Jones Jr.,2017,2017
326,203932.0,1.78,-0.16,1.63,64.0,41.0,271.0,103.39,Aaron Gordon,2017,2017
35,2738.0,1.39,0.21,1.59,65.0,59.0,187.0,103.39,Andre Iguodala,2017,2017
161,202322.0,2.42,-0.84,1.58,66.0,26.0,390.0,103.39,John Wall,2017,2017
471,1627848.0,1.89,-0.31,1.58,67.0,37.0,303.0,103.39,Shawn Long,2017,2017
273,203473.0,-0.75,2.32,1.57,68.0,355.0,9.0,103.39,Dewayne Dedmon,2017,2017
40,2754.0,0.16,1.39,1.55,69.0,186.0,53.0,103.39,Tony Allen,2017,2017
222,202732.0,0.25,1.29,1.54,72.0,170.0,59.0,103.39,DeAndre Liggins,2017,2017
225,203076.0,-0.46,2.0,1.54,70.0,309.0,18.0,103.39,Anthony Davis,2017,2017
42,2757.0,0.0,1.54,1.54,73.0,217.0,39.0,103.39,Beno Udrih,2017,2017
340,203954.0,-0.1,1.64,1.54,71.0,238.0,32.0,103.39,Joel Embiid,2017,2017
293,203510.0,0.67,0.86,1.53,76.0,119.0,89.0,103.39,Pierre Jackson,2017,2017
441,1627763.0,1.68,-0.15,1.53,74.0,44.0,270.0,103.39,Malcolm Brogdon,2017,2017
181,202355.0,1.24,0.3,1.53,75.0,71.0,167.0,103.39,Hassan Whiteside,2017,2017
113,201577.0,0.63,0.88,1.51,77.0,123.0,86.0,103.39,Robin Lopez,2017,2017
230,203081.0,2.56,-1.06,1.5,78.0,21.0,422.0,103.39,Damian Lillard,2017,2017
394,1626191.0,0.97,0.52,1.49,79.0,86.0,136.0,103.39,Chris McCullough,2017,2017
69,200755.0,2.09,-0.6,1.49,80.0,31.0,346.0,103.39,JJ Redick,2017,2017
108,201569.0,0.76,0.68,1.44,81.0,109.0,117.0,103.39,Eric Gordon,2017,2017
329,203935.0,1.04,0.37,1.41,82.0,79.0,156.0,103.39,Marcus Smart,2017,2017
83,201147.0,0.56,0.84,1.4,84.0,134.0,91.0,103.39,Corey Brewer,2017,2017
284,203496.0,-1.28,2.68,1.4,83.0,425.0,5.0,103.39,Robert Covington,2017,2017
430,1627750.0,1.26,0.13,1.39,85.0,68.0,206.0,103.39,Jamal Murray,2017,2017
348,204001.0,-0.19,1.57,1.38,86.0,262.0,38.0,103.39,Kristaps Porzingis,2017,2017
292,203507.0,0.23,1.13,1.36,89.0,174.0,71.0,103.39,Giannis Antetokounmpo,2017,2017
140,201949.0,-0.38,1.74,1.36,87.0,299.0,28.0,103.39,James Johnson,2017,2017
39,2749.0,0.96,0.4,1.36,88.0,88.0,153.0,103.39,Jameer Nelson,2017,2017
228,203079.0,0.88,0.45,1.33,90.0,97.0,143.0,103.39,Dion Waiters,2017,2017
224,202738.0,4.37,-3.06,1.31,91.0,3.0,485.0,103.39,Isaiah Thomas,2017,2017
455,1627785.0,0.4,0.85,1.26,93.0,153.0,90.0,103.39,Isaiah Whitehead,2017,2017
186,202397.0,0.48,0.78,1.26,92.0,143.0,102.0,103.39,Ish Smith,2017,2017
121,201586.0,0.63,0.62,1.25,94.0,124.0,122.0,103.39,Serge Ibaka,2017,2017
165,202326.0,1.95,-0.7,1.25,96.0,36.0,364.0,103.39,DeMarcus Cousins,2017,2017
304,203584.0,1.33,-0.08,1.25,95.0,65.0,254.0,103.39,Troy Daniels,2017,2017
468,1627832.0,-0.41,1.64,1.24,97.0,304.0,31.0,103.39,Fred VanVleet,2017,2017
370,1626157.0,2.69,-1.46,1.22,98.0,18.0,456.0,103.39,Karl-Anthony Towns,2017,2017
206,202699.0,0.79,0.4,1.19,99.0,106.0,154.0,103.39,Tobias Harris,2017,2017
9,2200.0,1.33,-0.16,1.17,100.0,66.0,272.0,103.39,Pau Gasol,2017,2017
298,203524.0,-0.11,1.26,1.15,101.0,246.0,61.0,103.39,Solomon Hill,2017,2017
13,2225.0,0.53,0.61,1.14,103.0,136.0,124.0,103.39,Tony Parker,2017,2017
147,201960.0,0.4,0.74,1.14,102.0,152.0,108.0,103.39,DeMarre Carroll,2017,2017
260,203200.0,-0.22,1.35,1.13,104.0,270.0,55.0,103.39,Justin Holiday,2017,2017
1,1717.0,0.4,0.72,1.12,105.0,154.0,113.0,103.39,Dirk Nowitzki,2017,2017
44,2772.0,2.26,-1.14,1.12,106.0,28.0,431.0,103.39,Trevor Ariza,2017,2017
102,201229.0,1.57,-0.46,1.11,107.0,47.0,325.0,103.39,Anthony Tolliver,2017,2017
283,203493.0,0.49,0.59,1.08,108.0,142.0,127.0,103.39,Reggie Bullock,2017,2017
274,203476.0,-0.06,1.13,1.07,109.0,226.0,70.0,103.39,Gorgui Dieng,2017,2017
