,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.81,1.37,7.19,1.0,1.0,53.0,103.28,Stephen Curry,2017,2017
72,200768.0,3.27,1.77,5.04,2.0,11.0,26.0,103.28,Kyle Lowry,2017,2017
19,2544.0,4.48,0.55,5.03,3.0,2.0,131.0,103.28,LeBron James,2017,2017
285,203497.0,1.15,3.65,4.8,4.0,73.0,1.0,103.28,Rudy Gobert,2017,2017
486,202691203110.0,2.36,2.32,4.68,5.0,28.0,8.0,103.28,Klay Thompson,2017,2017
485,202691203110.0,2.36,2.32,4.68,5.0,28.0,8.0,103.28,Draymond Green,2017,2017
116,201580.0,3.92,0.53,4.44,6.0,4.0,136.0,103.28,JaVale McGee,2017,2017
47,101108.0,2.48,1.95,4.42,7.0,26.0,20.0,103.28,Chris Paul,2017,2017
247,203109.0,2.56,1.82,4.38,8.0,24.0,25.0,103.28,Jae Crowder,2017,2017
213,202710.0,2.1,2.27,4.36,9.0,31.0,12.0,103.28,Jimmy Butler,2017,2017
172,202335.0,2.57,1.62,4.19,10.0,20.0,33.0,103.28,Patrick Patterson,2017,2017
347,203999.0,3.29,0.82,4.12,11.0,9.0,95.0,103.28,Nikola Jokic,2017,2017
153,201976.0,3.12,0.98,4.1,12.0,13.0,79.0,103.28,Patrick Beverley,2017,2017
60,101161.0,1.27,2.76,4.03,13.0,68.0,4.0,103.28,Amir Johnson,2017,2017
227,203078.0,3.24,0.53,3.78,14.0,12.0,133.0,103.28,Bradley Beal,2017,2017
105,201566.0,3.68,-0.02,3.66,15.0,7.0,235.0,103.28,Russell Westbrook,2017,2017
79,201142.0,3.01,0.21,3.22,16.0,14.0,188.0,103.28,Kevin Durant,2017,2017
156,201988.0,1.66,1.52,3.18,17.0,45.0,41.0,103.28,Patty Mills,2017,2017
271,203469.0,0.68,2.45,3.13,18.0,114.0,6.0,103.28,Cody Zeller,2017,2017
106,201567.0,1.86,1.18,3.04,19.0,38.0,66.0,103.28,Kevin Love,2017,2017
288,203501.0,2.79,0.23,3.02,20.0,16.0,183.0,103.28,Tim Hardaway Jr.,2017,2017
77,200794.0,1.01,1.99,3.0,21.0,83.0,18.0,103.28,Paul Millsap,2017,2017
81,201144.0,2.56,0.31,2.87,22.0,22.0,166.0,103.28,Mike Conley,2017,2017
123,201588.0,1.35,1.5,2.85,23.0,61.0,44.0,103.28,George Hill,2017,2017
262,203382.0,0.37,2.31,2.68,24.0,152.0,10.0,103.28,Aron Baynes,2017,2017
203,202695.0,3.45,-0.78,2.67,25.0,8.0,374.0,103.28,Kawhi Leonard,2017,2017
291,203506.0,-0.79,3.32,2.54,26.0,367.0,2.0,103.28,Victor Oladipo,2017,2017
125,201599.0,1.27,1.23,2.5,27.0,67.0,63.0,103.28,DeAndre Jordan,2017,2017
68,200752.0,0.59,1.89,2.49,28.0,128.0,23.0,103.28,Rudy Gay,2017,2017
198,202689.0,2.86,-0.4,2.46,29.0,15.0,315.0,103.28,Kemba Walker,2017,2017
27,2585.0,0.88,1.57,2.45,30.0,96.0,37.0,103.28,Zaza Pachulia,2017,2017
299,203526.0,0.76,1.65,2.41,31.0,107.0,30.0,103.28,Raul Neto,2017,2017
118,201583.0,1.62,0.78,2.4,33.0,46.0,102.0,103.28,Ryan Anderson,2017,2017
168,202330.0,1.68,0.73,2.4,32.0,44.0,112.0,103.28,Gordon Hayward,2017,2017
209,202703.0,1.5,0.86,2.36,34.0,53.0,90.0,103.28,Nikola Mirotic,2017,2017
167,202329.0,0.22,2.12,2.34,35.0,177.0,15.0,103.28,Al-Farouq Aminu,2017,2017
166,202328.0,2.75,-0.41,2.33,36.0,17.0,319.0,103.28,Greg Monroe,2017,2017
127,201601.0,0.02,2.29,2.3,37.0,214.0,11.0,103.28,Luc Mbah a Moute,2017,2017
0,1713.0,1.26,1.0,2.26,38.0,69.0,75.0,103.28,Vince Carter,2017,2017
59,101150.0,2.56,-0.31,2.25,39.0,23.0,302.0,103.28,Lou Williams,2017,2017
169,202331.0,2.01,0.23,2.24,40.0,33.0,179.0,103.28,Paul George,2017,2017
35,2738.0,1.72,0.51,2.23,41.0,42.0,138.0,103.28,Andre Iguodala,2017,2017
131,201933.0,2.22,-0.05,2.17,42.0,29.0,241.0,103.28,Blake Griffin,2017,2017
107,201568.0,1.57,0.57,2.14,44.0,47.0,130.0,103.28,Danilo Gallinari,2017,2017
416,1627736.0,0.73,1.42,2.14,43.0,112.0,51.0,103.28,Malik Beasley,2017,2017
191,202681.0,3.76,-1.64,2.12,45.0,5.0,464.0,103.28,Kyrie Irving,2017,2017
33,2734.0,0.54,1.48,2.02,46.0,132.0,45.0,103.28,Devin Harris,2017,2017
270,203468.0,2.04,-0.04,2.0,47.0,32.0,239.0,103.28,CJ McCollum,2017,2017
266,203460.0,0.44,1.53,1.98,50.0,147.0,40.0,103.28,Andre Roberson,2017,2017
378,1626167.0,0.93,1.06,1.98,48.0,92.0,73.0,103.28,Myles Turner,2017,2017
477,1627855.0,1.54,0.43,1.98,49.0,51.0,145.0,103.28,Okaro White,2017,2017
256,203141.0,0.37,1.59,1.96,51.0,153.0,36.0,103.28,Mirza Teletovic,2017,2017
155,201980.0,0.11,1.83,1.94,52.0,193.0,24.0,103.28,Danny Green,2017,2017
76,200782.0,0.51,1.42,1.93,53.0,136.0,50.0,103.28,P.J. Tucker,2017,2017
295,203516.0,-0.15,2.0,1.85,54.0,252.0,17.0,103.28,James Ennis III,2017,2017
53,101133.0,-0.1,1.91,1.81,55.0,240.0,22.0,103.28,Ian Mahinmi,2017,2017
5,1938.0,1.45,0.35,1.8,56.0,55.0,160.0,103.28,Manu Ginobili,2017,2017
238,203090.0,2.0,-0.22,1.78,57.0,34.0,284.0,103.28,Maurice Harkless,2017,2017
330,203937.0,-0.37,2.13,1.77,58.0,295.0,14.0,103.28,Kyle Anderson,2017,2017
3,1891.0,0.06,1.65,1.72,59.0,206.0,29.0,103.28,Jason Terry,2017,2017
483,1627884.0,0.95,0.71,1.66,60.0,89.0,114.0,103.28,Derrick Jones Jr.,2017,2017
306,203613.0,-0.75,2.4,1.65,61.0,358.0,7.0,103.28,Jonathon Simmons,2017,2017
326,203932.0,1.79,-0.17,1.62,62.0,40.0,275.0,103.28,Aaron Gordon,2017,2017
471,1627848.0,1.89,-0.31,1.58,63.0,36.0,305.0,103.28,Shawn Long,2017,2017
273,203473.0,-0.74,2.31,1.58,64.0,355.0,9.0,103.28,Dewayne Dedmon,2017,2017
161,202322.0,2.43,-0.86,1.57,65.0,27.0,393.0,103.28,John Wall,2017,2017
42,2757.0,0.0,1.54,1.55,67.0,217.0,39.0,103.28,Beno Udrih,2017,2017
340,203954.0,-0.09,1.64,1.55,66.0,238.0,31.0,103.28,Joel Embiid,2017,2017
222,202732.0,0.25,1.28,1.53,69.0,168.0,60.0,103.28,DeAndre Liggins,2017,2017
225,203076.0,-0.45,1.98,1.53,68.0,307.0,19.0,103.28,Anthony Davis,2017,2017
40,2754.0,0.16,1.36,1.53,70.0,185.0,54.0,103.28,Tony Allen,2017,2017
441,1627763.0,1.68,-0.16,1.52,72.0,43.0,270.0,103.28,Malcolm Brogdon,2017,2017
