,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.38,0.94,6.32,1.0,1.0,83.0,103.34,Stephen Curry,2017,2017
19,2544.0,4.48,0.55,5.03,2.0,2.0,131.0,103.34,LeBron James,2017,2017
285,203497.0,1.15,3.66,4.82,3.0,74.0,1.0,103.34,Rudy Gobert,2017,2017
172,202335.0,2.95,1.69,4.64,4.0,13.0,28.0,103.34,Patrick Patterson,2017,2017
47,101108.0,2.47,1.96,4.43,5.0,26.0,20.0,103.34,Chris Paul,2017,2017
247,203109.0,2.55,1.82,4.36,6.0,24.0,25.0,103.34,Jae Crowder,2017,2017
213,202710.0,2.09,2.26,4.35,7.0,31.0,13.0,103.34,Jimmy Butler,2017,2017
116,201580.0,3.83,0.45,4.29,8.0,4.0,141.0,103.34,JaVale McGee,2017,2017
347,203999.0,3.29,0.83,4.12,9.0,9.0,92.0,103.34,Nikola Jokic,2017,2017
153,201976.0,3.12,0.99,4.11,10.0,12.0,78.0,103.34,Patrick Beverley,2017,2017
60,101161.0,1.26,2.77,4.03,11.0,69.0,4.0,103.34,Amir Johnson,2017,2017
248,203110.0,1.41,2.38,3.79,12.0,56.0,8.0,103.34,Draymond Green,2017,2017
227,203078.0,3.24,0.54,3.79,13.0,11.0,133.0,103.34,Bradley Beal,2017,2017
105,201566.0,3.68,-0.02,3.66,14.0,7.0,236.0,103.34,Russell Westbrook,2017,2017
199,202691.0,2.13,1.21,3.33,15.0,29.0,64.0,103.34,Klay Thompson,2017,2017
156,201988.0,1.65,1.52,3.18,16.0,44.0,40.0,103.34,Patty Mills,2017,2017
486,200768201942.0,2.79,0.37,3.16,17.0,16.0,157.0,103.34,DeMar DeRozan,2017,2017
485,200768201942.0,2.79,0.37,3.16,17.0,16.0,157.0,103.34,Kyle Lowry,2017,2017
271,203469.0,0.67,2.46,3.13,18.0,118.0,6.0,103.34,Cody Zeller,2017,2017
72,200768.0,1.47,1.61,3.08,19.0,52.0,33.0,103.34,Kyle Lowry,2017,2017
106,201567.0,1.85,1.17,3.03,20.0,38.0,67.0,103.34,Kevin Love,2017,2017
288,203501.0,2.79,0.24,3.03,21.0,17.0,180.0,103.34,Tim Hardaway Jr.,2017,2017
77,200794.0,1.0,2.0,3.0,22.0,83.0,19.0,103.34,Paul Millsap,2017,2017
81,201144.0,2.56,0.32,2.88,23.0,23.0,165.0,103.34,Mike Conley,2017,2017
123,201588.0,1.35,1.51,2.86,24.0,62.0,41.0,103.34,George Hill,2017,2017
203,202695.0,3.45,-0.77,2.68,25.0,8.0,374.0,103.34,Kawhi Leonard,2017,2017
79,201142.0,2.73,-0.07,2.67,27.0,19.0,248.0,103.34,Kevin Durant,2017,2017
262,203382.0,0.37,2.31,2.67,26.0,155.0,10.0,103.34,Aron Baynes,2017,2017
291,203506.0,-0.79,3.34,2.55,28.0,365.0,2.0,103.34,Victor Oladipo,2017,2017
125,201599.0,1.27,1.24,2.5,29.0,68.0,62.0,103.34,DeAndre Jordan,2017,2017
68,200752.0,0.58,1.88,2.47,30.0,130.0,23.0,103.34,Rudy Gay,2017,2017
198,202689.0,2.86,-0.4,2.46,31.0,15.0,317.0,103.34,Kemba Walker,2017,2017
299,203526.0,0.76,1.65,2.41,32.0,110.0,30.0,103.34,Raul Neto,2017,2017
168,202330.0,1.67,0.73,2.4,33.0,43.0,112.0,103.34,Gordon Hayward,2017,2017
118,201583.0,1.61,0.77,2.38,34.0,45.0,106.0,103.34,Ryan Anderson,2017,2017
209,202703.0,1.5,0.86,2.36,35.0,51.0,89.0,103.34,Nikola Mirotic,2017,2017
167,202329.0,0.22,2.13,2.35,36.0,179.0,15.0,103.34,Al-Farouq Aminu,2017,2017
166,202328.0,2.74,-0.41,2.33,37.0,18.0,319.0,103.34,Greg Monroe,2017,2017
127,201601.0,0.01,2.29,2.3,38.0,215.0,11.0,103.34,Luc Mbah a Moute,2017,2017
59,101150.0,2.56,-0.29,2.27,39.0,22.0,297.0,103.34,Lou Williams,2017,2017
0,1713.0,1.26,1.01,2.27,40.0,70.0,75.0,103.34,Vince Carter,2017,2017
169,202331.0,2.0,0.24,2.24,41.0,33.0,183.0,103.34,Paul George,2017,2017
131,201933.0,2.22,-0.04,2.17,42.0,28.0,241.0,103.34,Blake Griffin,2017,2017
416,1627736.0,0.73,1.42,2.15,43.0,113.0,51.0,103.34,Malik Beasley,2017,2017
107,201568.0,1.57,0.58,2.14,44.0,47.0,130.0,103.34,Danilo Gallinari,2017,2017
191,202681.0,3.75,-1.64,2.12,45.0,5.0,464.0,103.34,Kyrie Irving,2017,2017
33,2734.0,0.54,1.49,2.03,46.0,135.0,44.0,103.34,Devin Harris,2017,2017
270,203468.0,2.04,-0.02,2.01,47.0,32.0,237.0,103.34,CJ McCollum,2017,2017
76,200782.0,0.56,1.43,1.99,48.0,133.0,49.0,103.34,P.J. Tucker,2017,2017
378,1626167.0,0.92,1.07,1.99,49.0,93.0,72.0,103.34,Myles Turner,2017,2017
477,1627855.0,1.54,0.44,1.98,50.0,50.0,144.0,103.34,Okaro White,2017,2017
266,203460.0,0.44,1.54,1.98,51.0,151.0,39.0,103.34,Andre Roberson,2017,2017
256,203141.0,0.37,1.6,1.96,52.0,156.0,36.0,103.34,Mirza Teletovic,2017,2017
27,2585.0,0.63,1.33,1.96,53.0,125.0,55.0,103.34,Zaza Pachulia,2017,2017
155,201980.0,0.1,1.83,1.93,54.0,196.0,24.0,103.34,Danny Green,2017,2017
295,203516.0,-0.15,2.01,1.86,55.0,251.0,17.0,103.34,James Ennis III,2017,2017
53,101133.0,-0.09,1.92,1.82,56.0,238.0,21.0,103.34,Ian Mahinmi,2017,2017
5,1938.0,1.44,0.35,1.79,57.0,54.0,160.0,103.34,Manu Ginobili,2017,2017
238,203090.0,1.99,-0.22,1.78,58.0,34.0,286.0,103.34,Maurice Harkless,2017,2017
330,203937.0,-0.37,2.14,1.77,59.0,295.0,14.0,103.34,Kyle Anderson,2017,2017
3,1891.0,0.06,1.66,1.72,60.0,208.0,29.0,103.34,Jason Terry,2017,2017
147,201960.0,0.89,0.82,1.71,61.0,97.0,96.0,103.34,DeMarre Carroll,2017,2017
483,1627884.0,0.95,0.72,1.67,62.0,90.0,113.0,103.34,Derrick Jones Jr.,2017,2017
306,203613.0,-0.75,2.41,1.65,63.0,360.0,7.0,103.34,Jonathon Simmons,2017,2017
