,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.39,0.94,6.33,1.0,1.0,83.0,103.27,Stephen Curry,2017,2017
72,200768.0,3.28,1.79,5.06,2.0,11.0,25.0,103.27,Kyle Lowry,2017,2017
19,2544.0,4.49,0.56,5.05,3.0,2.0,132.0,103.27,LeBron James,2017,2017
285,203497.0,1.17,3.66,4.83,4.0,74.0,1.0,103.27,Rudy Gobert,2017,2017
47,101108.0,2.48,1.95,4.44,5.0,26.0,19.0,103.27,Chris Paul,2017,2017
213,202710.0,2.1,2.27,4.37,7.0,31.0,11.0,103.27,Jimmy Butler,2017,2017
247,203109.0,2.56,1.82,4.37,6.0,24.0,24.0,103.27,Jae Crowder,2017,2017
116,201580.0,3.83,0.45,4.28,8.0,4.0,142.0,103.27,JaVale McGee,2017,2017
172,202335.0,2.58,1.63,4.21,9.0,20.0,33.0,103.27,Patrick Patterson,2017,2017
153,201976.0,3.13,0.99,4.13,11.0,13.0,79.0,103.27,Patrick Beverley,2017,2017
347,203999.0,3.3,0.83,4.13,10.0,9.0,95.0,103.27,Nikola Jokic,2017,2017
60,101161.0,1.28,2.77,4.04,12.0,68.0,4.0,103.27,Amir Johnson,2017,2017
248,203110.0,1.42,2.38,3.81,13.0,56.0,7.0,103.27,Draymond Green,2017,2017
227,203078.0,3.25,0.54,3.79,14.0,12.0,135.0,103.27,Bradley Beal,2017,2017
105,201566.0,3.69,-0.01,3.68,15.0,7.0,234.0,103.27,Russell Westbrook,2017,2017
199,202691.0,2.14,1.2,3.34,16.0,29.0,64.0,103.27,Klay Thompson,2017,2017
156,201988.0,1.67,1.52,3.19,17.0,44.0,40.0,103.27,Patty Mills,2017,2017
288,203501.0,2.8,0.23,3.03,19.0,15.0,182.0,103.27,Tim Hardaway Jr.,2017,2017
106,201567.0,1.86,1.17,3.03,18.0,38.0,66.0,103.27,Kevin Love,2017,2017
77,200794.0,1.02,1.99,3.01,20.0,83.0,18.0,103.27,Paul Millsap,2017,2017
198,202689.0,3.1,-0.12,2.97,21.0,14.0,267.0,103.27,Kemba Walker,2017,2017
81,201144.0,2.57,0.32,2.89,22.0,23.0,166.0,103.27,Mike Conley,2017,2017
123,201588.0,1.35,1.5,2.86,23.0,63.0,43.0,103.27,George Hill,2017,2017
262,203382.0,0.38,2.31,2.68,24.0,152.0,9.0,103.27,Aron Baynes,2017,2017
203,202695.0,3.46,-0.77,2.68,25.0,8.0,373.0,103.27,Kawhi Leonard,2017,2017
79,201142.0,2.74,-0.06,2.68,26.0,17.0,246.0,103.27,Kevin Durant,2017,2017
486,201587203469.0,0.88,1.71,2.59,27.0,98.0,28.0,103.27,Cody Zeller,2017,2017
485,201587203469.0,0.88,1.71,2.59,27.0,98.0,28.0,103.27,Nicolas Batum,2017,2017
291,203506.0,-0.78,3.33,2.56,28.0,366.0,2.0,103.27,Victor Oladipo,2017,2017
125,201599.0,1.28,1.24,2.51,29.0,69.0,62.0,103.27,DeAndre Jordan,2017,2017
68,200752.0,0.6,1.9,2.49,30.0,127.0,22.0,103.27,Rudy Gay,2017,2017
168,202330.0,1.68,0.73,2.41,32.0,43.0,113.0,103.27,Gordon Hayward,2017,2017
