,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.4,0.94,6.33,1.0,1.0,82.0,103.26,Stephen Curry,2017,2017
72,200768.0,3.28,1.77,5.05,3.0,11.0,25.0,103.26,Kyle Lowry,2017,2017
19,2544.0,4.5,0.55,5.05,2.0,3.0,133.0,103.26,LeBron James,2017,2017
285,203497.0,1.17,3.65,4.82,4.0,73.0,1.0,103.26,Rudy Gobert,2017,2017
47,101108.0,2.48,1.95,4.44,5.0,26.0,19.0,103.26,Chris Paul,2017,2017
213,202710.0,2.14,2.26,4.4,6.0,29.0,13.0,103.26,Jimmy Butler,2017,2017
247,203109.0,2.56,1.82,4.38,7.0,24.0,24.0,103.26,Jae Crowder,2017,2017
116,201580.0,3.84,0.44,4.28,8.0,5.0,143.0,103.26,JaVale McGee,2017,2017
172,202335.0,2.58,1.63,4.21,9.0,20.0,33.0,103.26,Patrick Patterson,2017,2017
347,203999.0,3.3,0.85,4.14,10.0,9.0,92.0,103.26,Nikola Jokic,2017,2017
153,201976.0,3.13,1.0,4.13,11.0,13.0,78.0,103.26,Patrick Beverley,2017,2017
60,101161.0,1.27,2.76,4.03,12.0,68.0,4.0,103.26,Amir Johnson,2017,2017
105,201566.0,4.85,-0.88,3.97,13.0,2.0,396.0,103.26,Russell Westbrook,2017,2017
248,203110.0,1.43,2.39,3.81,14.0,56.0,8.0,103.26,Draymond Green,2017,2017
227,203078.0,3.26,0.54,3.8,15.0,12.0,135.0,103.26,Bradley Beal,2017,2017
199,202691.0,2.14,1.2,3.34,16.0,30.0,64.0,103.26,Klay Thompson,2017,2017
156,201988.0,1.66,1.53,3.2,17.0,44.0,39.0,103.26,Patty Mills,2017,2017
271,203469.0,0.68,2.46,3.14,18.0,116.0,6.0,103.26,Cody Zeller,2017,2017
288,203501.0,2.8,0.24,3.04,19.0,15.0,181.0,103.26,Tim Hardaway Jr.,2017,2017
106,201567.0,1.87,1.17,3.04,20.0,38.0,66.0,103.26,Kevin Love,2017,2017
77,200794.0,1.02,1.99,3.01,21.0,84.0,18.0,103.26,Paul Millsap,2017,2017
81,201144.0,2.57,0.32,2.89,22.0,23.0,165.0,103.26,Mike Conley,2017,2017
123,201588.0,1.36,1.5,2.86,23.0,61.0,42.0,103.26,George Hill,2017,2017
291,203506.0,-0.75,3.51,2.76,24.0,361.0,2.0,103.26,Victor Oladipo,2017,2017
203,202695.0,3.46,-0.79,2.68,26.0,8.0,374.0,103.26,Kawhi Leonard,2017,2017
262,203382.0,0.38,2.3,2.68,25.0,152.0,10.0,103.26,Aron Baynes,2017,2017
79,201142.0,2.75,-0.08,2.67,27.0,17.0,254.0,103.26,Kevin Durant,2017,2017
125,201599.0,1.28,1.23,2.51,28.0,66.0,62.0,103.26,DeAndre Jordan,2017,2017
