,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
135,201939.0,5.39,0.94,6.33,1.0,1.0,82.0,103.4,Stephen Curry,2017,2017
72,200768.0,3.27,1.8,5.07,2.0,11.0,26.0,103.4,Kyle Lowry,2017,2017
19,2544.0,4.48,0.57,5.05,3.0,2.0,130.0,103.4,LeBron James,2017,2017
285,203497.0,1.16,3.68,4.84,4.0,75.0,1.0,103.4,Rudy Gobert,2017,2017
47,101108.0,2.48,1.96,4.44,5.0,26.0,20.0,103.4,Chris Paul,2017,2017
213,202710.0,2.09,2.29,4.38,7.0,32.0,12.0,103.4,Jimmy Butler,2017,2017
247,203109.0,2.56,1.83,4.38,6.0,24.0,25.0,103.4,Jae Crowder,2017,2017
116,201580.0,3.84,0.45,4.29,8.0,4.0,141.0,103.4,JaVale McGee,2017,2017
172,202335.0,2.57,1.64,4.21,9.0,22.0,32.0,103.4,Patrick Patterson,2017,2017
153,201976.0,3.31,0.88,4.19,10.0,9.0,87.0,103.4,Patrick Beverley,2017,2017
347,203999.0,3.29,0.84,4.14,11.0,10.0,93.0,103.4,Nikola Jokic,2017,2017
60,101161.0,1.27,2.78,4.04,12.0,69.0,4.0,103.4,Amir Johnson,2017,2017
248,203110.0,1.42,2.38,3.81,13.0,57.0,8.0,103.4,Draymond Green,2017,2017
227,203078.0,3.25,0.55,3.8,14.0,12.0,132.0,103.4,Bradley Beal,2017,2017
105,201566.0,3.69,-0.01,3.68,15.0,7.0,235.0,103.4,Russell Westbrook,2017,2017
199,202691.0,2.13,1.21,3.34,16.0,30.0,64.0,103.4,Klay Thompson,2017,2017
156,201988.0,1.66,1.53,3.19,17.0,46.0,40.0,103.4,Patty Mills,2017,2017
271,203469.0,0.67,2.47,3.14,18.0,115.0,6.0,103.4,Cody Zeller,2017,2017
106,201567.0,1.85,1.2,3.05,19.0,39.0,65.0,103.4,Kevin Love,2017,2017
288,203501.0,2.79,0.25,3.04,20.0,15.0,179.0,103.4,Tim Hardaway Jr.,2017,2017
77,200794.0,1.01,2.0,3.01,21.0,83.0,19.0,103.4,Paul Millsap,2017,2017
81,201144.0,2.56,0.33,2.89,22.0,23.0,165.0,103.4,Mike Conley,2017,2017
123,201588.0,1.34,1.52,2.86,23.0,64.0,43.0,103.4,George Hill,2017,2017
203,202695.0,3.46,-0.77,2.69,25.0,8.0,374.0,103.4,Kawhi Leonard,2017,2017
79,201142.0,2.73,-0.04,2.69,24.0,17.0,241.0,103.4,Kevin Durant,2017,2017
262,203382.0,0.37,2.32,2.69,26.0,153.0,10.0,103.4,Aron Baynes,2017,2017
118,201583.0,2.2,0.38,2.58,27.0,29.0,155.0,103.4,Ryan Anderson,2017,2017
291,203506.0,-0.78,3.35,2.57,28.0,365.0,2.0,103.4,Victor Oladipo,2017,2017
125,201599.0,1.27,1.25,2.52,29.0,68.0,62.0,103.4,DeAndre Jordan,2017,2017
68,200752.0,0.59,1.91,2.49,30.0,129.0,23.0,103.4,Rudy Gay,2017,2017
198,202689.0,2.86,-0.39,2.48,31.0,14.0,316.0,103.4,Kemba Walker,2017,2017
168,202330.0,1.68,0.74,2.42,32.0,45.0,109.0,103.4,Gordon Hayward,2017,2017
299,203526.0,0.76,1.65,2.41,33.0,106.0,30.0,103.4,Raul Neto,2017,2017
209,202703.0,1.5,0.87,2.37,34.0,54.0,88.0,103.4,Nikola Mirotic,2017,2017
167,202329.0,0.22,2.15,2.36,35.0,177.0,15.0,103.4,Al-Farouq Aminu,2017,2017
166,202328.0,2.74,-0.4,2.34,36.0,16.0,320.0,103.4,Greg Monroe,2017,2017
59,101150.0,2.62,-0.3,2.32,37.0,19.0,302.0,103.4,Lou Williams,2017,2017
127,201601.0,0.02,2.29,2.31,38.0,213.0,11.0,103.4,Luc Mbah a Moute,2017,2017
