,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
0,541.0,2018,2018,2772201935.0,James Harden,1.59,-0.45,377.0,104.34,2.05,22.0,75.0
1,540.0,2018,2018,2772201935.0,Trevor Ariza,1.59,-0.45,377.0,104.34,2.05,22.0,75.0
2,541.0,2018,2018,2039521626157.0,Karl-Anthony Towns,2.45,0.19,209.0,104.37,2.26,19.0,37.0
3,540.0,2018,2018,2039521626157.0,Andrew Wiggins,2.45,0.19,209.0,104.37,2.26,19.0,37.0
4,540.0,2018,2018,201566203500.0,Steven Adams,3.46,1.21,56.0,104.32,2.25,18.0,11.0
5,541.0,2018,2018,201566203500.0,Russell Westbrook,3.46,1.21,56.0,104.32,2.25,18.0,11.0
6,540.0,2018,2018,203476203952.0,Andrew Wiggins,-3.27,-2.26,530.0,104.32,-1.01,460.0,534.0
7,541.0,2018,2018,203476203952.0,Gorgui Dieng,-3.27,-2.26,530.0,104.32,-1.01,460.0,534.0
8,540.0,2018,2018,202322203078.0,Bradley Beal,1.89,0.45,163.0,104.31,1.43,51.0,56.0
9,541.0,2018,2018,202322203078.0,John Wall,1.89,0.45,163.0,104.31,1.43,51.0,56.0
12,541.0,2018,2018,202322203490.0,John Wall,2.19,0.22,203.0,104.33,1.97,25.0,42.0
13,540.0,2018,2018,202322203490.0,Otto Porter Jr.,2.19,0.22,203.0,104.33,1.97,25.0,42.0
14,541.0,2018,2018,101162202322.0,John Wall,1.04,0.64,133.0,104.3,0.41,161.0,110.0
15,540.0,2018,2018,101162202322.0,Marcin Gortat,1.04,0.64,133.0,104.3,0.41,161.0,110.0
16,541.0,2018,2018,201566203460.0,Russell Westbrook,3.65,3.45,2.0,104.25,0.2,197.0,9.0
17,540.0,2018,2018,201566203460.0,Andre Roberson,3.65,3.45,2.0,104.25,0.2,197.0,9.0
22,541.0,2018,2018,201939203110.0,Stephen Curry,3.69,-0.25,332.0,104.38,3.94,2.0,7.0
23,540.0,2018,2018,201939203110.0,Draymond Green,3.69,-0.25,332.0,104.38,3.94,2.0,7.0
24,540.0,2018,2018,201587202689.0,Nicolas Batum,1.07,-0.69,425.0,104.34,1.76,34.0,108.0
25,541.0,2018,2018,201587202689.0,Kemba Walker,1.07,-0.69,425.0,104.34,1.76,34.0,108.0
26,541.0,2018,2018,101162203490.0,Marcin Gortat,2.69,1.05,74.0,104.3,1.64,40.0,28.0
