,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.23,3.63,4.86,1.0,66.0,2.0,104.35,Robert Covington,2018,2018
106,201939.0,5.6,-0.8,4.8,2.0,1.0,442.0,104.35,Stephen Curry,2018,2018
296,203954.0,2.14,2.41,4.55,3.0,20.0,8.0,104.35,Joel Embiid,2018,2018
189,203081.0,3.12,1.39,4.51,5.0,9.0,41.0,104.35,Damian Lillard,2018,2018
172,202710.0,2.0,2.52,4.51,4.0,27.0,6.0,104.35,Jimmy Butler,2018,2018
82,201569.0,3.51,0.7,4.2,6.0,6.0,124.0,104.35,Eric Gordon,2018,2018
237,203490.0,2.82,1.03,3.85,7.0,12.0,77.0,104.35,Otto Porter Jr.,2018,2018
404,1627759.0,1.38,2.31,3.69,8.0,56.0,10.0,104.35,Jaylen Brown,2018,2018
36,101108.0,3.74,-0.26,3.48,9.0,3.0,335.0,104.35,Chris Paul,2018,2018
104,201936.0,2.02,1.44,3.47,10.0,26.0,40.0,104.35,Tyreke Evans,2018,2018
103,201935.0,3.65,-0.2,3.45,11.0,4.0,324.0,104.35,James Harden,2018,2018
334,1626157.0,3.57,-0.15,3.43,12.0,5.0,309.0,104.35,Karl-Anthony Towns,2018,2018
248,203506.0,1.46,1.94,3.4,13.0,49.0,15.0,104.35,Victor Oladipo,2018,2018
158,202689.0,3.0,0.27,3.27,14.0,11.0,195.0,104.35,Kemba Walker,2018,2018
307,203999.0,2.8,0.47,3.26,15.0,13.0,160.0,104.35,Nikola Jokic,2018,2018
132,202329.0,2.07,1.12,3.2,17.0,21.0,63.0,104.35,Al-Farouq Aminu,2018,2018
185,203076.0,1.65,1.55,3.2,16.0,41.0,37.0,104.35,Anthony Davis,2018,2018
469,1628378.0,1.15,2.04,3.19,18.0,70.0,13.0,104.35,Donovan Mitchell,2018,2018
220,203460.0,-1.03,4.21,3.18,19.0,459.0,1.0,104.35,Andre Roberson,2018,2018
324,1626145.0,1.73,1.45,3.18,20.0,38.0,39.0,104.35,Tyus Jones,2018,2018
54,200782.0,2.6,0.53,3.13,21.0,15.0,147.0,104.35,P.J. Tucker,2018,2018
48,200746.0,1.73,1.32,3.05,22.0,37.0,46.0,104.35,LaMarcus Aldridge,2018,2018
53,200768.0,2.03,0.97,3.0,23.0,25.0,87.0,104.35,Kyle Lowry,2018,2018
79,201566.0,2.3,0.68,2.98,24.0,17.0,126.0,104.35,Russell Westbrook,2018,2018
436,1627832.0,1.33,1.58,2.91,25.0,59.0,33.0,104.35,Fred VanVleet,2018,2018
367,1626220.0,0.55,2.24,2.79,26.0,137.0,11.0,104.35,Royce O'Neale,2018,2018
58,201143.0,1.49,1.21,2.7,27.0,47.0,55.0,104.35,Al Horford,2018,2018
230,203482.0,2.76,-0.07,2.69,28.0,14.0,285.0,104.35,Kelly Olynyk,2018,2018
425,1627812.0,-0.38,3.06,2.68,29.0,351.0,4.0,104.35,Yogi Ferrell,2018,2018
19,2594.0,1.78,0.74,2.52,30.0,36.0,116.0,104.35,Kyle Korver,2018,2018
249,203507.0,0.87,1.64,2.51,33.0,96.0,31.0,104.35,Giannis Antetokounmpo,2018,2018
110,201950.0,0.68,1.83,2.51,31.0,117.0,19.0,104.35,Jrue Holiday,2018,2018
11,2403.0,0.76,1.75,2.51,32.0,107.0,22.0,104.35,Nene,2018,2018
483,1628395.0,1.91,0.59,2.51,34.0,29.0,140.0,104.35,Jordan Bell,2018,2018
92,201586.0,2.05,0.46,2.5,35.0,22.0,162.0,104.35,Serge Ibaka,2018,2018
187,203078.0,1.41,1.05,2.47,36.0,54.0,73.0,104.35,Bradley Beal,2018,2018
273,203914.0,1.27,1.18,2.45,37.0,63.0,57.0,104.35,Gary Harris,2018,2018
243,203500.0,1.38,1.05,2.43,38.0,55.0,74.0,104.35,Steven Adams,2018,2018
107,201942.0,1.95,0.39,2.34,40.0,28.0,170.0,104.35,DeMar DeRozan,2018,2018
308,204001.0,0.5,1.84,2.34,39.0,145.0,18.0,104.35,Kristaps Porzingis,2018,2018
159,202691.0,1.42,0.85,2.27,41.0,52.0,100.0,104.35,Klay Thompson,2018,2018
12,2544.0,4.25,-2.04,2.21,42.0,2.0,525.0,104.35,LeBron James,2018,2018
419,1627783.0,1.85,0.36,2.21,43.0,30.0,174.0,104.35,Pascal Siakam,2018,2018
453,1627885.0,1.17,1.02,2.19,44.0,69.0,78.0,104.35,Shaquille Harrison,2018,2018
475,1628384.0,1.02,1.17,2.18,45.0,82.0,59.0,104.35,OG Anunoby,2018,2018
286,203935.0,0.45,1.72,2.17,46.0,152.0,23.0,104.35,Marcus Smart,2018,2018
64,201152.0,1.04,1.07,2.11,47.0,81.0,70.0,104.35,Thaddeus Young,2018,2018
240,203497.0,-0.29,2.39,2.1,48.0,333.0,9.0,104.35,Rudy Gobert,2018,2018
136,202334.0,0.51,1.57,2.08,49.0,143.0,34.0,104.35,Ed Davis,2018,2018
196,203089.0,1.14,0.9,2.04,50.0,71.0,94.0,104.35,John Henson,2018,2018
40,101127.0,1.66,0.35,2.01,51.0,40.0,175.0,104.35,Jarrett Jack,2018,2018
244,203501.0,1.27,0.71,1.98,52.0,64.0,122.0,104.35,Tim Hardaway Jr.,2018,2018
300,203962.0,0.72,1.25,1.97,54.0,112.0,52.0,104.35,Josh Huestis,2018,2018
87,201578.0,1.08,0.89,1.97,53.0,76.0,95.0,104.35,Marreese Speights,2018,2018
