,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.24,3.64,4.88,1.0,65.0,2.0,104.29,Robert Covington,2018,2018
106,201939.0,5.61,-0.79,4.82,2.0,1.0,441.0,104.29,Stephen Curry,2018,2018
296,203954.0,2.15,2.41,4.56,3.0,21.0,8.0,104.29,Joel Embiid,2018,2018
189,203081.0,3.14,1.4,4.54,4.0,10.0,41.0,104.29,Damian Lillard,2018,2018
172,202710.0,2.0,2.52,4.52,5.0,26.0,6.0,104.29,Jimmy Butler,2018,2018
82,201569.0,3.52,0.7,4.22,6.0,6.0,123.0,104.29,Eric Gordon,2018,2018
237,203490.0,2.83,1.04,3.86,7.0,13.0,77.0,104.29,Otto Porter Jr.,2018,2018
404,1627759.0,1.39,2.32,3.71,8.0,55.0,10.0,104.29,Jaylen Brown,2018,2018
36,101108.0,3.75,-0.26,3.49,9.0,3.0,334.0,104.29,Chris Paul,2018,2018
104,201936.0,2.03,1.44,3.47,11.0,25.0,40.0,104.29,Tyreke Evans,2018,2018
103,201935.0,3.66,-0.19,3.47,10.0,4.0,322.0,104.29,James Harden,2018,2018
334,1626157.0,3.59,-0.15,3.44,12.0,5.0,309.0,104.29,Karl-Anthony Towns,2018,2018
248,203506.0,1.48,1.95,3.42,13.0,48.0,15.0,104.29,Victor Oladipo,2018,2018
158,202689.0,3.01,0.27,3.29,14.0,12.0,194.0,104.29,Kemba Walker,2018,2018
307,203999.0,2.81,0.47,3.28,15.0,14.0,160.0,104.29,Nikola Jokic,2018,2018
107,201942.0,3.3,-0.03,3.27,16.0,9.0,279.0,104.29,DeMar DeRozan,2018,2018
185,203076.0,1.66,1.55,3.22,17.0,38.0,37.0,104.29,Anthony Davis,2018,2018
132,202329.0,2.09,1.13,3.21,18.0,22.0,64.0,104.29,Al-Farouq Aminu,2018,2018
469,1628378.0,1.17,2.04,3.21,19.0,69.0,13.0,104.29,Donovan Mitchell,2018,2018
324,1626145.0,1.74,1.45,3.18,20.0,35.0,39.0,104.29,Tyus Jones,2018,2018
220,203460.0,-1.02,4.2,3.18,21.0,460.0,1.0,104.29,Andre Roberson,2018,2018
54,200782.0,2.61,0.54,3.15,22.0,16.0,147.0,104.29,P.J. Tucker,2018,2018
48,200746.0,1.74,1.32,3.07,23.0,33.0,46.0,104.29,LaMarcus Aldridge,2018,2018
79,201566.0,2.31,0.69,3.01,24.0,19.0,125.0,104.29,Russell Westbrook,2018,2018
436,1627832.0,1.3,1.59,2.89,25.0,60.0,33.0,104.29,Fred VanVleet,2018,2018
367,1626220.0,0.56,2.24,2.8,26.0,136.0,11.0,104.29,Royce O'Neale,2018,2018
58,201143.0,1.5,1.22,2.72,27.0,46.0,56.0,104.29,Al Horford,2018,2018
425,1627812.0,-0.37,3.06,2.69,28.0,346.0,4.0,104.29,Yogi Ferrell,2018,2018
230,203482.0,2.77,-0.08,2.69,29.0,15.0,286.0,104.29,Kelly Olynyk,2018,2018
53,200768.0,1.54,1.13,2.67,30.0,45.0,63.0,104.29,Kyle Lowry,2018,2018
110,201950.0,0.7,1.84,2.54,31.0,116.0,19.0,104.29,Jrue Holiday,2018,2018
19,2594.0,1.79,0.74,2.53,32.0,31.0,116.0,104.29,Kyle Korver,2018,2018
11,2403.0,0.77,1.75,2.52,33.0,105.0,22.0,104.29,Nene,2018,2018
483,1628395.0,1.92,0.59,2.51,34.0,27.0,142.0,104.29,Jordan Bell,2018,2018
187,203078.0,1.43,1.06,2.49,35.0,52.0,73.0,104.29,Bradley Beal,2018,2018
273,203914.0,1.29,1.18,2.47,36.0,62.0,58.0,104.29,Gary Harris,2018,2018
243,203500.0,1.39,1.05,2.45,37.0,54.0,75.0,104.29,Steven Adams,2018,2018
249,203507.0,0.76,1.64,2.41,38.0,106.0,31.0,104.29,Giannis Antetokounmpo,2018,2018
308,204001.0,0.51,1.85,2.36,39.0,145.0,18.0,104.29,Kristaps Porzingis,2018,2018
139,202339.0,2.33,0.02,2.35,40.0,18.0,263.0,104.29,Eric Bledsoe,2018,2018
159,202691.0,1.44,0.85,2.29,41.0,51.0,100.0,104.29,Klay Thompson,2018,2018
12,2544.0,4.27,-2.02,2.24,42.0,2.0,525.0,104.29,LeBron James,2018,2018
92,201586.0,1.6,0.6,2.2,43.0,39.0,140.0,104.29,Serge Ibaka,2018,2018
453,1627885.0,1.17,1.02,2.19,44.0,70.0,78.0,104.29,Shaquille Harrison,2018,2018
286,203935.0,0.46,1.72,2.17,45.0,152.0,23.0,104.29,Marcus Smart,2018,2018
419,1627783.0,1.74,0.4,2.14,46.0,34.0,171.0,104.29,Pascal Siakam,2018,2018
64,201152.0,1.06,1.07,2.13,47.0,80.0,70.0,104.29,Thaddeus Young,2018,2018
240,203497.0,-0.28,2.4,2.12,48.0,333.0,9.0,104.29,Rudy Gobert,2018,2018
136,202334.0,0.52,1.57,2.09,49.0,144.0,34.0,104.29,Ed Davis,2018,2018
40,101127.0,1.67,0.36,2.03,50.0,37.0,175.0,104.29,Jarrett Jack,2018,2018
475,1628384.0,0.78,1.24,2.02,51.0,103.0,53.0,104.29,OG Anunoby,2018,2018
244,203501.0,1.28,0.72,2.0,52.0,63.0,120.0,104.29,Tim Hardaway Jr.,2018,2018
300,203962.0,0.73,1.25,1.99,53.0,112.0,52.0,104.29,Josh Huestis,2018,2018
87,201578.0,1.09,0.89,1.98,54.0,75.0,94.0,104.29,Marreese Speights,2018,2018
448,1627863.0,0.7,1.28,1.98,55.0,117.0,49.0,104.29,Danuel House Jr.,2018,2018
196,203089.0,1.06,0.88,1.95,56.0,78.0,95.0,104.29,John Henson,2018,2018
