,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.24,3.64,4.87,1.0,65.0,2.0,104.29,Robert Covington,2018,2018
106,201939.0,5.6,-0.79,4.81,2.0,1.0,439.0,104.29,Stephen Curry,2018,2018
296,203954.0,2.15,2.4,4.55,3.0,20.0,8.0,104.29,Joel Embiid,2018,2018
172,202710.0,2.0,2.52,4.52,5.0,25.0,6.0,104.29,Jimmy Butler,2018,2018
189,203081.0,3.13,1.39,4.52,4.0,10.0,41.0,104.29,Damian Lillard,2018,2018
82,201569.0,3.52,0.69,4.21,6.0,6.0,124.0,104.29,Eric Gordon,2018,2018
237,203490.0,2.82,1.04,3.86,7.0,13.0,76.0,104.29,Otto Porter Jr.,2018,2018
404,1627759.0,1.38,2.22,3.6,8.0,55.0,11.0,104.29,Jaylen Brown,2018,2018
36,101108.0,3.75,-0.27,3.48,9.0,3.0,337.0,104.29,Chris Paul,2018,2018
104,201936.0,2.03,1.44,3.47,10.0,24.0,40.0,104.29,Tyreke Evans,2018,2018
103,201935.0,3.65,-0.2,3.46,11.0,4.0,323.0,104.29,James Harden,2018,2018
334,1626157.0,3.58,-0.15,3.44,12.0,5.0,310.0,104.29,Karl-Anthony Towns,2018,2018
248,203506.0,1.47,1.94,3.41,13.0,48.0,15.0,104.29,Victor Oladipo,2018,2018
307,203999.0,2.8,0.46,3.27,15.0,14.0,162.0,104.29,Nikola Jokic,2018,2018
158,202689.0,3.01,0.27,3.27,14.0,12.0,195.0,104.29,Kemba Walker,2018,2018
107,201942.0,3.29,-0.04,3.25,16.0,9.0,280.0,104.29,DeMar DeRozan,2018,2018
185,203076.0,1.66,1.55,3.21,17.0,39.0,37.0,104.29,Anthony Davis,2018,2018
469,1628378.0,1.16,2.04,3.2,19.0,69.0,13.0,104.29,Donovan Mitchell,2018,2018
132,202329.0,2.08,1.12,3.2,18.0,22.0,63.0,104.29,Al-Farouq Aminu,2018,2018
220,203460.0,-1.02,4.21,3.19,20.0,461.0,1.0,104.29,Andre Roberson,2018,2018
324,1626145.0,1.74,1.45,3.18,21.0,36.0,39.0,104.29,Tyus Jones,2018,2018
54,200782.0,2.61,0.53,3.14,22.0,16.0,148.0,104.29,P.J. Tucker,2018,2018
48,200746.0,1.74,1.32,3.06,23.0,34.0,46.0,104.29,LaMarcus Aldridge,2018,2018
79,201566.0,2.31,0.68,2.99,24.0,18.0,126.0,104.29,Russell Westbrook,2018,2018
436,1627832.0,1.3,1.59,2.89,25.0,61.0,33.0,104.29,Fred VanVleet,2018,2018
367,1626220.0,0.55,2.23,2.78,26.0,138.0,10.0,104.29,Royce O'Neale,2018,2018
425,1627812.0,-0.37,3.06,2.69,28.0,348.0,4.0,104.29,Yogi Ferrell,2018,2018
230,203482.0,2.77,-0.08,2.69,27.0,15.0,286.0,104.29,Kelly Olynyk,2018,2018
53,200768.0,1.53,1.12,2.65,29.0,46.0,64.0,104.29,Kyle Lowry,2018,2018
58,201143.0,1.46,1.16,2.62,30.0,49.0,59.0,104.29,Al Horford,2018,2018
19,2594.0,1.78,0.79,2.56,31.0,33.0,109.0,104.29,Kyle Korver,2018,2018
249,203507.0,0.88,1.64,2.52,33.0,93.0,31.0,104.29,Giannis Antetokounmpo,2018,2018
110,201950.0,0.69,1.83,2.52,32.0,116.0,20.0,104.29,Jrue Holiday,2018,2018
483,1628395.0,1.92,0.59,2.51,35.0,26.0,141.0,104.29,Jordan Bell,2018,2018
11,2403.0,0.76,1.75,2.51,34.0,105.0,22.0,104.29,Nene,2018,2018
187,203078.0,1.42,1.06,2.48,36.0,53.0,73.0,104.29,Bradley Beal,2018,2018
273,203914.0,1.28,1.18,2.46,37.0,62.0,56.0,104.29,Gary Harris,2018,2018
243,203500.0,1.39,1.04,2.43,38.0,54.0,74.0,104.29,Steven Adams,2018,2018
308,204001.0,0.51,1.85,2.35,39.0,145.0,19.0,104.29,Kristaps Porzingis,2018,2018
159,202691.0,1.43,0.85,2.28,40.0,51.0,100.0,104.29,Klay Thompson,2018,2018
453,1627885.0,1.17,1.02,2.19,41.0,68.0,79.0,104.29,Shaquille Harrison,2018,2018
92,201586.0,1.59,0.58,2.18,42.0,40.0,142.0,104.29,Serge Ibaka,2018,2018
419,1627783.0,1.74,0.39,2.13,43.0,35.0,170.0,104.29,Pascal Siakam,2018,2018
64,201152.0,1.05,1.07,2.12,44.0,79.0,70.0,104.29,Thaddeus Young,2018,2018
286,203935.0,0.42,1.69,2.11,45.0,158.0,28.0,104.29,Marcus Smart,2018,2018
240,203497.0,-0.29,2.38,2.1,46.0,335.0,9.0,104.29,Rudy Gobert,2018,2018
136,202334.0,0.52,1.57,2.09,47.0,143.0,34.0,104.29,Ed Davis,2018,2018
196,203089.0,1.15,0.9,2.05,48.0,70.0,95.0,104.29,John Henson,2018,2018
40,101127.0,1.66,0.35,2.02,49.0,38.0,176.0,104.29,Jarrett Jack,2018,2018
475,1628384.0,0.78,1.23,2.01,50.0,103.0,54.0,104.29,OG Anunoby,2018,2018
244,203501.0,1.27,0.72,1.99,51.0,64.0,121.0,104.29,Tim Hardaway Jr.,2018,2018
87,201578.0,1.08,0.89,1.98,52.0,75.0,96.0,104.29,Marreese Speights,2018,2018
300,203962.0,0.73,1.24,1.97,53.0,112.0,52.0,104.29,Josh Huestis,2018,2018
448,1627863.0,0.68,1.27,1.95,54.0,118.0,50.0,104.29,Danuel House Jr.,2018,2018
255,203526.0,0.26,1.66,1.92,55.0,187.0,29.0,104.29,Raul Neto,2018,2018
357,1626192.0,1.05,0.81,1.87,56.0,78.0,104.0,104.29,Pat Connaughton,2018,2018
214,203200.0,0.94,0.93,1.87,57.0,89.0,91.0,104.29,Justin Holiday,2018,2018
372,1626257.0,0.78,1.07,1.85,58.0,104.0,71.0,104.29,Salah Mejri,2018,2018
12,2544.0,4.24,-2.42,1.82,59.0,2.0,534.0,104.29,LeBron James,2018,2018
195,203087.0,1.68,0.11,1.79,60.0,37.0,230.0,104.29,Jeremy Lamb,2018,2018
346,1626171.0,2.22,-0.46,1.76,62.0,19.0,378.0,104.29,Bobby Portis,2018,2018
43,101141.0,0.72,1.04,1.76,61.0,113.0,75.0,104.29,Ersan Ilyasova,2018,2018
99,201601.0,0.03,1.69,1.73,63.0,232.0,26.0,104.29,Luc Mbah a Moute,2018,2018
80,201567.0,2.08,-0.36,1.72,65.0,21.0,354.0,104.29,Kevin Love,2018,2018
139,202339.0,1.8,-0.07,1.72,64.0,31.0,285.0,104.29,Eric Bledsoe,2018,2018
38,101112.0,1.82,-0.15,1.68,67.0,29.0,311.0,104.29,Channing Frye,2018,2018
224,203469.0,0.59,1.08,1.68,68.0,129.0,69.0,104.29,Cody Zeller,2018,2018
216,203382.0,-1.46,3.15,1.68,66.0,497.0,3.0,104.29,Aron Baynes,2018,2018
168,202703.0,1.81,-0.16,1.65,69.0,30.0,314.0,104.29,Nikola Mirotic,2018,2018
