,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.23,3.63,4.86,1.0,64.0,2.0,104.33,Robert Covington,2018,2018
106,201939.0,5.6,-0.79,4.81,2.0,1.0,440.0,104.33,Stephen Curry,2018,2018
296,203954.0,2.14,2.4,4.54,3.0,20.0,8.0,104.33,Joel Embiid,2018,2018
172,202710.0,2.0,2.51,4.51,5.0,25.0,6.0,104.33,Jimmy Butler,2018,2018
189,203081.0,3.12,1.39,4.51,4.0,10.0,41.0,104.33,Damian Lillard,2018,2018
82,201569.0,3.51,0.69,4.2,6.0,6.0,125.0,104.33,Eric Gordon,2018,2018
237,203490.0,2.81,1.03,3.85,7.0,13.0,78.0,104.33,Otto Porter Jr.,2018,2018
404,1627759.0,1.38,2.31,3.69,8.0,55.0,10.0,104.33,Jaylen Brown,2018,2018
36,101108.0,3.74,-0.27,3.47,9.0,3.0,337.0,104.33,Chris Paul,2018,2018
104,201936.0,2.02,1.44,3.46,10.0,24.0,40.0,104.33,Tyreke Evans,2018,2018
103,201935.0,3.65,-0.21,3.44,11.0,4.0,326.0,104.33,James Harden,2018,2018
334,1626157.0,3.57,-0.15,3.42,12.0,5.0,311.0,104.33,Karl-Anthony Towns,2018,2018
248,203506.0,1.46,1.94,3.4,13.0,48.0,15.0,104.33,Victor Oladipo,2018,2018
307,203999.0,2.8,0.46,3.26,14.0,14.0,161.0,104.33,Nikola Jokic,2018,2018
107,201942.0,3.29,-0.04,3.25,15.0,9.0,280.0,104.33,DeMar DeRozan,2018,2018
185,203076.0,1.65,1.55,3.2,16.0,38.0,37.0,104.33,Anthony Davis,2018,2018
132,202329.0,2.07,1.12,3.2,17.0,21.0,63.0,104.33,Al-Farouq Aminu,2018,2018
469,1628378.0,1.15,2.03,3.19,18.0,68.0,13.0,104.33,Donovan Mitchell,2018,2018
220,203460.0,-1.03,4.21,3.19,20.0,460.0,1.0,104.33,Andre Roberson,2018,2018
158,202689.0,2.93,0.25,3.19,19.0,12.0,194.0,104.33,Kemba Walker,2018,2018
324,1626145.0,1.73,1.45,3.18,21.0,34.0,39.0,104.33,Tyus Jones,2018,2018
54,200782.0,2.6,0.53,3.13,22.0,16.0,148.0,104.33,P.J. Tucker,2018,2018
48,200746.0,1.73,1.32,3.05,23.0,35.0,46.0,104.33,LaMarcus Aldridge,2018,2018
79,201566.0,2.3,0.68,2.98,24.0,18.0,127.0,104.33,Russell Westbrook,2018,2018
436,1627832.0,1.29,1.59,2.88,25.0,60.0,33.0,104.33,Fred VanVleet,2018,2018
367,1626220.0,0.55,2.24,2.79,26.0,139.0,11.0,104.33,Royce O'Neale,2018,2018
58,201143.0,1.49,1.21,2.7,27.0,46.0,56.0,104.33,Al Horford,2018,2018
230,203482.0,2.76,-0.07,2.69,28.0,15.0,286.0,104.33,Kelly Olynyk,2018,2018
425,1627812.0,-0.38,3.05,2.68,29.0,352.0,4.0,104.33,Yogi Ferrell,2018,2018
53,200768.0,1.52,1.12,2.64,30.0,45.0,64.0,104.33,Kyle Lowry,2018,2018
110,201950.0,0.69,1.83,2.51,33.0,117.0,19.0,104.33,Jrue Holiday,2018,2018
11,2403.0,0.76,1.75,2.51,31.0,105.0,22.0,104.33,Nene,2018,2018
19,2594.0,1.78,0.73,2.51,32.0,33.0,119.0,104.33,Kyle Korver,2018,2018
249,203507.0,0.88,1.63,2.5,34.0,94.0,31.0,104.33,Giannis Antetokounmpo,2018,2018
483,1628395.0,1.91,0.59,2.5,35.0,26.0,140.0,104.33,Jordan Bell,2018,2018
187,203078.0,1.41,1.05,2.47,36.0,53.0,73.0,104.33,Bradley Beal,2018,2018
273,203914.0,1.28,1.18,2.46,37.0,61.0,58.0,104.33,Gary Harris,2018,2018
243,203500.0,1.38,1.04,2.42,38.0,54.0,75.0,104.33,Steven Adams,2018,2018
308,204001.0,0.5,1.84,2.34,39.0,147.0,18.0,104.33,Kristaps Porzingis,2018,2018
159,202691.0,1.42,0.84,2.26,40.0,51.0,100.0,104.33,Klay Thompson,2018,2018
12,2544.0,4.25,-2.04,2.21,41.0,2.0,525.0,104.33,LeBron James,2018,2018
453,1627885.0,1.17,1.02,2.18,42.0,67.0,79.0,104.33,Shaquille Harrison,2018,2018
92,201586.0,1.59,0.59,2.17,43.0,39.0,141.0,104.33,Serge Ibaka,2018,2018
286,203935.0,0.45,1.71,2.15,44.0,155.0,24.0,104.33,Marcus Smart,2018,2018
419,1627783.0,1.73,0.4,2.13,45.0,36.0,171.0,104.33,Pascal Siakam,2018,2018
64,201152.0,1.04,1.06,2.11,46.0,79.0,71.0,104.33,Thaddeus Young,2018,2018
240,203497.0,-0.29,2.39,2.1,47.0,336.0,9.0,104.33,Rudy Gobert,2018,2018
136,202334.0,0.52,1.57,2.09,48.0,145.0,34.0,104.33,Ed Davis,2018,2018
196,203089.0,1.14,0.9,2.04,49.0,70.0,94.0,104.33,John Henson,2018,2018
40,101127.0,1.66,0.35,2.01,50.0,37.0,174.0,104.33,Jarrett Jack,2018,2018
475,1628384.0,0.78,1.23,2.01,51.0,102.0,53.0,104.33,OG Anunoby,2018,2018
87,201578.0,1.08,0.9,1.98,52.0,75.0,95.0,104.33,Marreese Speights,2018,2018
300,203962.0,0.73,1.25,1.97,54.0,111.0,52.0,104.33,Josh Huestis,2018,2018
244,203501.0,1.27,0.71,1.97,53.0,62.0,122.0,104.33,Tim Hardaway Jr.,2018,2018
448,1627863.0,0.68,1.27,1.95,55.0,118.0,49.0,104.33,Danuel House Jr.,2018,2018
195,203087.0,1.81,0.12,1.93,56.0,29.0,227.0,104.33,Jeremy Lamb,2018,2018
255,203526.0,0.26,1.66,1.92,57.0,188.0,29.0,104.33,Raul Neto,2018,2018
357,1626192.0,1.05,0.82,1.87,58.0,78.0,104.0,104.33,Pat Connaughton,2018,2018
214,203200.0,0.93,0.92,1.86,59.0,89.0,92.0,104.33,Justin Holiday,2018,2018
372,1626257.0,0.77,1.07,1.85,60.0,104.0,70.0,104.33,Salah Mejri,2018,2018
346,1626171.0,2.21,-0.45,1.76,61.0,19.0,378.0,104.33,Bobby Portis,2018,2018
43,101141.0,0.71,1.04,1.75,62.0,115.0,74.0,104.33,Ersan Ilyasova,2018,2018
139,202339.0,1.79,-0.06,1.73,63.0,31.0,283.0,104.33,Eric Bledsoe,2018,2018
99,201601.0,0.03,1.69,1.72,64.0,235.0,26.0,104.33,Luc Mbah a Moute,2018,2018
216,203382.0,-1.41,3.11,1.7,65.0,496.0,3.0,104.33,Aron Baynes,2018,2018
224,203469.0,0.61,1.08,1.69,66.0,129.0,69.0,104.33,Cody Zeller,2018,2018
168,202703.0,1.8,-0.15,1.66,68.0,30.0,310.0,104.33,Nikola Mirotic,2018,2018
38,101112.0,1.83,-0.17,1.66,67.0,28.0,316.0,104.33,Channing Frye,2018,2018
463,1628369.0,0.41,1.22,1.63,69.0,161.0,55.0,104.33,Jayson Tatum,2018,2018
371,1626246.0,1.3,0.31,1.61,70.0,58.0,187.0,104.33,Boban Marjanovic,2018,2018
184,202933.0,0.66,0.95,1.61,71.0,123.0,88.0,104.33,Julyan Stone,2018,2018
1,1717.0,1.58,0.03,1.6,73.0,41.0,264.0,104.33,Dirk Nowitzki,2018,2018
80,201567.0,2.03,-0.43,1.6,72.0,23.0,374.0,104.33,Kevin Love,2018,2018
23,2733.0,0.61,0.97,1.59,74.0,126.0,87.0,104.33,Shaun Livingston,2018,2018
287,203937.0,0.57,0.99,1.56,75.0,134.0,82.0,104.33,Kyle Anderson,2018,2018
429,1627819.0,0.55,0.99,1.53,76.0,140.0,84.0,104.33,Isaiah Taylor,2018,2018
96,201596.0,-0.27,1.77,1.5,77.0,332.0,21.0,104.33,Mario Chalmers,2018,2018
470,1628379.0,0.81,0.68,1.49,79.0,99.0,126.0,104.33,Luke Kennard,2018,2018
397,1627750.0,3.5,-2.01,1.49,78.0,7.0,524.0,104.33,Jamal Murray,2018,2018
18,2585.0,1.84,-0.38,1.46,80.0,27.0,358.0,104.33,Zaza Pachulia,2018,2018
379,1627732.0,1.02,0.44,1.45,83.0,82.0,165.0,104.33,Ben Simmons,2018,2018
145,202357.0,0.31,1.14,1.45,81.0,177.0,61.0,104.33,Nemanja Bjelica,2018,2018
202,203107.0,0.73,0.72,1.45,82.0,109.0,120.0,104.33,Tomas Satoransky,2018,2018
228,203477.0,1.13,0.31,1.44,84.0,72.0,186.0,104.33,Isaiah Canaan,2018,2018
102,201933.0,1.2,0.23,1.42,85.0,65.0,200.0,104.33,Blake Griffin,2018,2018
314,204038.0,-1.09,2.49,1.4,87.0,467.0,7.0,104.33,Langston Galloway,2018,2018
47,101181.0,1.27,0.14,1.4,86.0,63.0,224.0,104.33,Jose Calderon,2018,2018
51,200757.0,0.34,1.04,1.37,88.0,175.0,77.0,104.33,Thabo Sefolosha,2018,2018
169,202704.0,0.88,0.48,1.36,89.0,92.0,158.0,104.33,Reggie Jackson,2018,2018
396,1627749.0,-1.7,3.05,1.35,90.0,511.0,5.0,104.33,Dejounte Murray,2018,2018
68,201162.0,0.83,0.5,1.32,91.0,95.0,155.0,104.33,Jared Dudley,2018,2018
26,2738.0,-0.76,2.06,1.3,92.0,423.0,12.0,104.33,Andre Iguodala,2018,2018
498,1628412.0,0.58,0.71,1.29,94.0,132.0,121.0,104.33,Frank Mason,2018,2018
