,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.24,3.63,4.87,1.0,66.0,2.0,104.31,Robert Covington,2018,2018
106,201939.0,5.61,-0.79,4.81,2.0,1.0,441.0,104.31,Stephen Curry,2018,2018
296,203954.0,2.15,2.41,4.56,3.0,20.0,8.0,104.31,Joel Embiid,2018,2018
172,202710.0,2.0,2.52,4.52,5.0,26.0,6.0,104.31,Jimmy Butler,2018,2018
189,203081.0,3.13,1.39,4.52,4.0,10.0,41.0,104.31,Damian Lillard,2018,2018
82,201569.0,3.58,0.62,4.2,6.0,6.0,137.0,104.31,Eric Gordon,2018,2018
237,203490.0,2.82,1.04,3.86,7.0,13.0,77.0,104.31,Otto Porter Jr.,2018,2018
404,1627759.0,1.38,2.32,3.71,8.0,56.0,10.0,104.31,Jaylen Brown,2018,2018
36,101108.0,3.79,-0.32,3.48,9.0,3.0,341.0,104.31,Chris Paul,2018,2018
104,201936.0,2.03,1.44,3.47,10.0,25.0,40.0,104.31,Tyreke Evans,2018,2018
334,1626157.0,3.58,-0.14,3.44,11.0,5.0,308.0,104.31,Karl-Anthony Towns,2018,2018
248,203506.0,1.47,1.94,3.41,12.0,50.0,15.0,104.31,Victor Oladipo,2018,2018
103,201935.0,3.69,-0.29,3.4,13.0,4.0,339.0,104.31,James Harden,2018,2018
158,202689.0,3.01,0.27,3.28,14.0,12.0,194.0,104.31,Kemba Walker,2018,2018
307,203999.0,2.81,0.47,3.27,15.0,14.0,162.0,104.31,Nikola Jokic,2018,2018
107,201942.0,3.29,-0.04,3.26,16.0,9.0,279.0,104.31,DeMar DeRozan,2018,2018
185,203076.0,1.66,1.56,3.22,17.0,39.0,36.0,104.31,Anthony Davis,2018,2018
469,1628378.0,1.16,2.04,3.21,18.0,70.0,13.0,104.31,Donovan Mitchell,2018,2018
132,202329.0,2.08,1.13,3.21,19.0,21.0,63.0,104.31,Al-Farouq Aminu,2018,2018
324,1626145.0,1.74,1.45,3.19,20.0,35.0,39.0,104.31,Tyus Jones,2018,2018
220,203460.0,-1.02,4.2,3.18,21.0,460.0,1.0,104.31,Andre Roberson,2018,2018
48,200746.0,1.74,1.32,3.06,22.0,34.0,46.0,104.31,LaMarcus Aldridge,2018,2018
79,201566.0,2.31,0.69,3.0,23.0,18.0,126.0,104.31,Russell Westbrook,2018,2018
436,1627832.0,1.3,1.59,2.89,24.0,62.0,33.0,104.31,Fred VanVleet,2018,2018
54,200782.0,2.37,0.49,2.86,25.0,17.0,156.0,104.31,P.J. Tucker,2018,2018
367,1626220.0,0.55,2.24,2.8,26.0,137.0,11.0,104.31,Royce O'Neale,2018,2018
58,201143.0,1.49,1.21,2.7,27.0,47.0,56.0,104.31,Al Horford,2018,2018
425,1627812.0,-0.37,3.06,2.69,29.0,347.0,4.0,104.31,Yogi Ferrell,2018,2018
230,203482.0,2.77,-0.07,2.69,28.0,15.0,284.0,104.31,Kelly Olynyk,2018,2018
53,200768.0,1.53,1.12,2.66,30.0,46.0,64.0,104.31,Kyle Lowry,2018,2018
249,203507.0,0.89,1.64,2.53,31.0,92.0,31.0,104.31,Giannis Antetokounmpo,2018,2018
110,201950.0,0.69,1.84,2.53,32.0,117.0,19.0,104.31,Jrue Holiday,2018,2018
19,2594.0,1.79,0.74,2.52,33.0,32.0,118.0,104.31,Kyle Korver,2018,2018
483,1628395.0,1.92,0.59,2.51,34.0,27.0,141.0,104.31,Jordan Bell,2018,2018
187,203078.0,1.42,1.06,2.48,35.0,54.0,73.0,104.31,Bradley Beal,2018,2018
273,203914.0,1.28,1.18,2.47,37.0,63.0,58.0,104.31,Gary Harris,2018,2018
11,2403.0,0.74,1.73,2.47,36.0,107.0,22.0,104.31,Nene,2018,2018
243,203500.0,1.39,1.05,2.44,38.0,55.0,75.0,104.31,Steven Adams,2018,2018
308,204001.0,0.51,1.84,2.35,39.0,146.0,18.0,104.31,Kristaps Porzingis,2018,2018
159,202691.0,1.43,0.85,2.28,40.0,52.0,100.0,104.31,Klay Thompson,2018,2018
12,2544.0,4.26,-2.03,2.23,41.0,2.0,525.0,104.31,LeBron James,2018,2018
453,1627885.0,1.17,1.02,2.19,42.0,69.0,79.0,104.31,Shaquille Harrison,2018,2018
92,201586.0,1.59,0.59,2.18,43.0,40.0,142.0,104.31,Serge Ibaka,2018,2018
286,203935.0,0.45,1.71,2.17,44.0,154.0,23.0,104.31,Marcus Smart,2018,2018
419,1627783.0,1.74,0.39,2.13,45.0,36.0,172.0,104.31,Pascal Siakam,2018,2018
64,201152.0,1.05,1.06,2.11,46.0,80.0,71.0,104.31,Thaddeus Young,2018,2018
240,203497.0,-0.29,2.39,2.1,47.0,333.0,9.0,104.31,Rudy Gobert,2018,2018
136,202334.0,0.52,1.57,2.09,48.0,144.0,34.0,104.31,Ed Davis,2018,2018
196,203089.0,1.14,0.9,2.05,49.0,71.0,94.0,104.31,John Henson,2018,2018
40,101127.0,1.66,0.35,2.02,50.0,38.0,175.0,104.31,Jarrett Jack,2018,2018
475,1628384.0,0.78,1.23,2.01,51.0,103.0,54.0,104.31,OG Anunoby,2018,2018
244,203501.0,1.28,0.72,1.99,52.0,64.0,121.0,104.31,Tim Hardaway Jr.,2018,2018
300,203962.0,0.73,1.25,1.98,53.0,113.0,52.0,104.31,Josh Huestis,2018,2018
87,201578.0,1.08,0.89,1.98,54.0,76.0,95.0,104.31,Marreese Speights,2018,2018
448,1627863.0,0.69,1.27,1.95,55.0,118.0,50.0,104.31,Danuel House Jr.,2018,2018
255,203526.0,0.27,1.66,1.93,56.0,188.0,29.0,104.31,Raul Neto,2018,2018
357,1626192.0,1.05,0.82,1.87,57.0,79.0,103.0,104.31,Pat Connaughton,2018,2018
214,203200.0,0.94,0.92,1.87,58.0,89.0,92.0,104.31,Justin Holiday,2018,2018
372,1626257.0,0.77,1.07,1.85,59.0,104.0,70.0,104.31,Salah Mejri,2018,2018
195,203087.0,1.68,0.11,1.79,60.0,37.0,229.0,104.31,Jeremy Lamb,2018,2018
43,101141.0,0.72,1.05,1.77,61.0,114.0,74.0,104.31,Ersan Ilyasova,2018,2018
346,1626171.0,2.22,-0.46,1.76,62.0,19.0,377.0,104.31,Bobby Portis,2018,2018
139,202339.0,1.79,-0.06,1.73,63.0,31.0,282.0,104.31,Eric Bledsoe,2018,2018
216,203382.0,-1.4,3.13,1.72,64.0,496.0,3.0,104.31,Aron Baynes,2018,2018
224,203469.0,0.59,1.08,1.68,65.0,130.0,69.0,104.31,Cody Zeller,2018,2018
38,101112.0,1.83,-0.16,1.67,66.0,29.0,316.0,104.31,Channing Frye,2018,2018
168,202703.0,1.81,-0.15,1.66,67.0,30.0,310.0,104.31,Nikola Mirotic,2018,2018
463,1628369.0,0.41,1.22,1.64,68.0,160.0,55.0,104.31,Jayson Tatum,2018,2018
1,1717.0,1.58,0.03,1.61,72.0,42.0,263.0,104.31,Dirk Nowitzki,2018,2018
80,201567.0,2.04,-0.43,1.61,71.0,23.0,373.0,104.31,Kevin Love,2018,2018
371,1626246.0,1.3,0.31,1.61,69.0,60.0,186.0,104.31,Boban Marjanovic,2018,2018
184,202933.0,0.66,0.95,1.61,70.0,121.0,88.0,104.31,Julyan Stone,2018,2018
23,2733.0,0.62,0.97,1.59,73.0,126.0,87.0,104.31,Shaun Livingston,2018,2018
