,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
465,2772201935.0,1.55,-0.38,1.16,82.0,33.0,331.0,104.24,Trevor Ariza,2017,2017
466,2772201935.0,1.55,-0.38,1.16,82.0,33.0,331.0,104.24,James Harden,2017,2017
465,201583201935.0,1.31,0.41,1.72,42.0,45.0,130.0,104.22,Ryan Anderson,2017,2017
466,201583201935.0,1.31,0.41,1.72,42.0,45.0,130.0,104.22,James Harden,2017,2017
465,203083203484.0,-1.57,-2.04,-3.61,465.0,446.0,461.0,104.19,Andre Drummond,2017,2017
466,203083203484.0,-1.57,-2.04,-3.61,465.0,446.0,461.0,104.19,Kentavious Caldwell-Pope,2017,2017
465,101162202322.0,1.78,-1.15,0.63,132.0,21.0,425.0,104.24,Marcin Gortat,2017,2017
466,101162202322.0,1.78,-1.15,0.63,132.0,21.0,425.0,104.24,John Wall,2017,2017
465,2039521626157.0,2.75,-1.61,1.14,86.0,8.0,452.0,104.3,Andrew Wiggins,2017,2017
466,2039521626157.0,2.75,-1.61,1.14,86.0,8.0,452.0,104.3,Karl-Anthony Towns,2017,2017
465,2023311626167.0,0.77,0.88,1.65,48.0,88.0,70.0,104.19,Paul George,2017,2017
466,2023311626167.0,0.77,0.88,1.65,48.0,88.0,70.0,104.19,Myles Turner,2017,2017
465,202694203484.0,-1.71,-1.58,-3.29,464.0,452.0,451.0,104.17,Marcus Morris Sr.,2017,2017
466,202694203484.0,-1.71,-1.58,-3.29,464.0,452.0,451.0,104.17,Kentavious Caldwell-Pope,2017,2017
465,2034761626157.0,1.31,-0.27,1.04,91.0,45.0,301.0,104.23,Gorgui Dieng,2017,2017
466,2034761626157.0,1.31,-0.27,1.04,91.0,45.0,301.0,104.23,Karl-Anthony Towns,2017,2017
465,202693202322.0,0.93,0.48,1.41,71.0,71.0,118.0,104.21,Markieff Morris,2017,2017
466,202693202322.0,0.93,0.48,1.41,71.0,71.0,118.0,104.21,John Wall,2017,2017
465,2772201583.0,1.08,0.73,1.82,37.0,63.0,84.0,104.19,Ryan Anderson,2017,2017
466,2772201583.0,1.08,0.73,1.82,37.0,63.0,84.0,104.19,Trevor Ariza,2017,2017
465,201587202689.0,0.56,-0.66,-0.1,243.0,115.0,374.0,104.22,Nicolas Batum,2017,2017
466,201587202689.0,0.56,-0.66,-0.1,243.0,115.0,374.0,104.22,Kemba Walker,2017,2017
466,2544202681.0,5.09,-1.48,3.6,5.0,1.0,447.0,104.32,Kyrie Irving,2017,2017
465,2544202681.0,5.09,-1.48,3.6,5.0,1.0,447.0,104.32,LeBron James,2017,2017
466,202693203078.0,2.45,0.09,2.55,14.0,8.0,195.0,104.22,Bradley Beal,2017,2017
465,202693203078.0,2.45,0.09,2.55,14.0,8.0,195.0,104.22,Markieff Morris,2017,2017
465,2546201584.0,0.38,-1.69,-1.32,403.0,138.0,452.0,104.22,Carmelo Anthony,2017,2017
466,2546201584.0,0.38,-1.69,-1.32,403.0,138.0,452.0,104.22,Courtney Lee,2017,2017
465,2544202684.0,1.61,-1.33,0.28,180.0,34.0,439.0,104.26,LeBron James,2017,2017
466,2544202684.0,1.61,-1.33,0.28,180.0,34.0,439.0,104.26,Tristan Thompson,2017,2017
465,202693101162.0,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Markieff Morris,2017,2017
466,202693101162.0,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Marcin Gortat,2017,2017
465,201566203500.0,1.87,-0.97,0.89,108.0,18.0,416.0,104.22,Russell Westbrook,2017,2017
466,201566203500.0,1.87,-0.97,0.89,108.0,18.0,416.0,104.22,Steven Adams,2017,2017
465,203476203952.0,1.35,-1.22,0.13,203.0,45.0,433.0,104.23,Andrew Wiggins,2017,2017
466,203476203952.0,1.35,-1.22,0.13,203.0,45.0,433.0,104.23,Gorgui Dieng,2017,2017
466,202322203078.0,3.49,-0.92,2.57,13.0,6.0,410.0,104.26,John Wall,2017,2017
465,202322203078.0,3.49,-0.92,2.57,13.0,6.0,410.0,104.26,Bradley Beal,2017,2017
465,201937203952.0,2.1,-1.0,1.11,88.0,13.0,417.0,104.26,Andrew Wiggins,2017,2017
466,201937203952.0,2.1,-1.0,1.11,88.0,13.0,417.0,104.26,Ricky Rubio,2017,2017
465,202322203490.0,1.44,-0.74,0.7,124.0,41.0,385.0,104.24,Otto Porter Jr.,2017,2017
466,202322203490.0,1.44,-0.74,0.7,124.0,41.0,385.0,104.24,John Wall,2017,2017
466,201566203460.0,1.39,0.8,2.19,24.0,43.0,76.0,104.21,Russell Westbrook,2017,2017
465,201566203460.0,1.39,0.8,2.19,24.0,43.0,76.0,104.21,Andre Roberson,2017,2017
466,201952202331.0,1.92,0.04,1.96,32.0,19.0,213.0,104.22,Jeff Teague,2017,2017
465,201952202331.0,1.92,0.04,1.96,32.0,19.0,213.0,104.22,Paul George,2017,2017
465,2019371626157.0,1.69,-0.58,1.11,87.0,29.0,356.0,104.26,Karl-Anthony Towns,2017,2017
466,2019371626157.0,1.69,-0.58,1.11,87.0,29.0,356.0,104.26,Ricky Rubio,2017,2017
465,2019521626167.0,0.87,0.13,1.0,93.0,80.0,191.0,104.19,Jeff Teague,2017,2017
466,2019521626167.0,0.87,0.13,1.0,93.0,80.0,191.0,104.19,Myles Turner,2017,2017
466,201939203110.0,3.63,1.84,5.47,1.0,3.0,14.0,104.21,Draymond Green,2017,2017
465,201939203110.0,3.63,1.84,5.47,1.0,3.0,14.0,104.21,Stephen Curry,2017,2017
465,101162203490.0,0.56,-1.01,-0.45,304.0,114.0,418.0,104.23,Otto Porter Jr.,2017,2017
466,101162203490.0,0.56,-1.01,-0.45,304.0,114.0,418.0,104.23,Marcin Gortat,2017,2017
466,203078203490.0,2.66,-0.87,1.79,37.0,7.0,408.0,104.25,Bradley Beal,2017,2017
465,203078203490.0,2.66,-0.87,1.79,37.0,7.0,408.0,104.25,Otto Porter Jr.,2017,2017
465,101162203078.0,2.28,-1.22,1.06,89.0,11.0,433.0,104.26,Bradley Beal,2017,2017
466,101162203078.0,2.28,-1.22,1.06,89.0,11.0,433.0,104.26,Marcin Gortat,2017,2017
465,202083203084.0,-0.32,0.19,-0.13,249.0,286.0,178.0,104.18,Wesley Matthews,2017,2017
466,202083203084.0,-0.32,0.19,-0.13,249.0,286.0,178.0,104.18,Harrison Barnes,2017,2017
465,201937203476.0,0.67,0.17,0.84,114.0,100.0,179.0,104.21,Gorgui Dieng,2017,2017
466,201937203476.0,0.67,0.17,0.84,114.0,100.0,179.0,104.21,Ricky Rubio,2017,2017
466,202330203497.0,1.14,2.59,3.73,3.0,56.0,1.0,104.16,Rudy Gobert,2017,2017
465,202330203497.0,1.14,2.59,3.73,3.0,56.0,1.0,104.16,Gordon Hayward,2017,2017
466,200755201599.0,1.57,0.4,1.96,30.0,33.0,133.0,104.22,JJ Redick,2017,2017
465,200755201599.0,1.57,0.4,1.96,30.0,33.0,133.0,104.22,DeAndre Jordan,2017,2017
465,203460203500.0,0.34,0.01,0.35,169.0,140.0,216.0,104.18,Andre Roberson,2017,2017
466,203460203500.0,0.34,0.01,0.35,169.0,140.0,216.0,104.18,Steven Adams,2017,2017
466,201577202710.0,0.83,1.48,2.31,22.0,82.0,24.0,104.16,Robin Lopez,2017,2017
465,201577202710.0,0.83,1.48,2.31,22.0,82.0,24.0,104.16,Jimmy Butler,2017,2017
465,201152201952.0,1.62,-0.42,1.2,78.0,32.0,337.0,104.21,Thaddeus Young,2017,2017
466,201152201952.0,1.62,-0.42,1.2,78.0,32.0,337.0,104.21,Jeff Teague,2017,2017
466,202691203110.0,1.12,2.16,3.28,6.0,56.0,7.0,104.16,Klay Thompson,2017,2017
465,202691203110.0,1.12,2.16,3.28,6.0,56.0,7.0,104.16,Draymond Green,2017,2017
465,202322202693.0,0.93,0.48,1.41,71.0,71.0,118.0,104.21,Markieff Morris,2017,2017
466,202322202693.0,0.93,0.48,1.41,71.0,71.0,118.0,104.21,John Wall,2017,2017
465,2023391626164.0,1.23,-0.32,0.91,106.0,48.0,318.0,104.22,Eric Bledsoe,2017,2017
466,2023391626164.0,1.23,-0.32,0.91,106.0,48.0,318.0,104.22,Devin Booker,2017,2017
466,203076203524.0,-0.13,2.05,1.92,33.0,245.0,10.0,104.11,Anthony Davis,2017,2017
465,203076203524.0,-0.13,2.05,1.92,33.0,245.0,10.0,104.11,Solomon Hill,2017,2017
465,202689203077.0,-0.32,0.92,0.6,135.0,286.0,65.0,104.18,Michael Kidd-Gilchrist,2017,2017
466,202689203077.0,-0.32,0.92,0.6,135.0,286.0,65.0,104.18,Kemba Walker,2017,2017
466,201939202691.0,3.25,1.17,4.43,2.0,6.0,44.0,104.23,Stephen Curry,2017,2017
465,201939202691.0,3.25,1.17,4.43,2.0,6.0,44.0,104.23,Klay Thompson,2017,2017
465,202681202684.0,1.65,-2.2,-0.55,318.0,33.0,461.0,104.26,Tristan Thompson,2017,2017
466,202681202684.0,1.65,-2.2,-0.55,318.0,33.0,461.0,104.26,Kyrie Irving,2017,2017
465,201950203076.0,-0.22,1.56,1.34,71.0,266.0,21.0,104.13,Anthony Davis,2017,2017
466,201950203076.0,-0.22,1.56,1.34,71.0,266.0,21.0,104.13,Jrue Holiday,2017,2017
466,201599201933.0,2.09,1.15,3.24,7.0,15.0,46.0,104.21,DeAndre Jordan,2017,2017
465,201599201933.0,2.09,1.15,3.24,7.0,15.0,46.0,104.21,Blake Griffin,2017,2017
465,101107202689.0,0.84,-1.14,-0.29,273.0,83.0,422.0,104.22,Kemba Walker,2017,2017
466,101107202689.0,0.84,-1.14,-0.29,273.0,83.0,422.0,104.22,Marvin Williams,2017,2017
466,203503203507.0,-1.6,-0.75,-2.36,449.0,449.0,390.0,104.16,Tony Snell,2017,2017
465,203503203507.0,-1.6,-0.75,-2.36,449.0,449.0,390.0,104.16,Giannis Antetokounmpo,2017,2017
465,203081203090.0,1.6,-0.05,1.54,54.0,32.0,233.0,104.22,Damian Lillard,2017,2017
466,203081203090.0,1.6,-0.05,1.54,54.0,32.0,233.0,104.22,Maurice Harkless,2017,2017
465,202694203083.0,-1.34,-1.2,-2.54,454.0,436.0,429.0,104.16,Marcus Morris Sr.,2017,2017
466,202694203083.0,-1.34,-1.2,-2.54,454.0,436.0,429.0,104.16,Andre Drummond,2017,2017
465,203081203468.0,1.44,0.28,1.72,43.0,40.0,151.0,104.21,Damian Lillard,2017,2017
466,203081203468.0,1.44,0.28,1.72,43.0,40.0,151.0,104.21,CJ McCollum,2017,2017
465,200746202695.0,0.72,0.37,1.09,89.0,95.0,141.0,104.19,Kawhi Leonard,2017,2017
466,200746202695.0,0.72,0.37,1.09,89.0,95.0,141.0,104.19,LaMarcus Aldridge,2017,2017
465,201609202355.0,0.77,0.47,1.24,75.0,86.0,119.0,104.2,Hassan Whiteside,2017,2017
466,201609202355.0,0.77,0.47,1.24,75.0,86.0,119.0,104.2,Goran Dragic,2017,2017
465,2011521626167.0,0.23,0.41,0.65,127.0,163.0,130.0,104.18,Thaddeus Young,2017,2017
466,2011521626167.0,0.23,0.41,0.65,127.0,163.0,130.0,104.18,Myles Turner,2017,2017
466,202738203109.0,2.68,-0.02,2.66,13.0,7.0,223.0,104.27,Isaiah Thomas,2017,2017
465,202738203109.0,2.68,-0.02,2.66,13.0,7.0,223.0,104.27,Jae Crowder,2017,2017
465,202696203901.0,0.28,-0.02,0.27,181.0,154.0,223.0,104.18,Elfrid Payton,2017,2017
466,202696203901.0,0.28,-0.02,0.27,181.0,154.0,223.0,104.18,Nikola Vucevic,2017,2017
466,101108201599.0,2.12,1.18,3.3,7.0,14.0,44.0,104.2,DeAndre Jordan,2017,2017
465,101108201599.0,2.12,1.18,3.3,7.0,14.0,44.0,104.2,Chris Paul,2017,2017
466,201566203506.0,2.05,1.22,3.27,7.0,14.0,42.0,104.19,Russell Westbrook,2017,2017
465,201566203506.0,2.05,1.22,3.27,7.0,14.0,42.0,104.19,Victor Oladipo,2017,2017
465,2730203471.0,-1.13,0.59,-0.53,314.0,418.0,100.0,104.12,Dwight Howard,2017,2017
466,2730203471.0,-1.13,0.59,-0.53,314.0,418.0,100.0,104.12,Dennis Schroder,2017,2017
465,201143203109.0,0.64,0.39,1.03,90.0,105.0,136.0,104.18,Jae Crowder,2017,2017
466,201143203109.0,0.64,0.39,1.03,90.0,105.0,136.0,104.18,Al Horford,2017,2017
465,201152202331.0,1.08,0.42,1.49,61.0,62.0,128.0,104.2,Paul George,2017,2017
466,201152202331.0,1.08,0.42,1.49,61.0,62.0,128.0,104.2,Thaddeus Young,2017,2017
466,101107201587.0,-0.76,-0.78,-1.54,419.0,373.0,395.0,104.21,Marvin Williams,2017,2017
465,101107201587.0,-0.76,-0.78,-1.54,419.0,373.0,395.0,104.21,Nicolas Batum,2017,2017
465,203090203468.0,0.66,0.63,1.3,73.0,100.0,96.0,104.19,CJ McCollum,2017,2017
466,203090203468.0,0.66,0.63,1.3,73.0,100.0,96.0,104.19,Maurice Harkless,2017,2017
465,101162202693.0,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Markieff Morris,2017,2017
466,101162202693.0,0.23,0.49,0.72,122.0,164.0,117.0,104.21,Marcin Gortat,2017,2017
465,2546201565.0,-0.07,-1.1,-1.17,390.0,229.0,422.0,104.2,Carmelo Anthony,2017,2017
466,2546201565.0,-0.07,-1.1,-1.17,390.0,229.0,422.0,104.2,Derrick Rose,2017,2017
465,202693203490.0,0.17,0.28,0.45,152.0,172.0,152.0,104.19,Otto Porter Jr.,2017,2017
466,202693203490.0,0.17,0.28,0.45,152.0,172.0,152.0,104.19,Markieff Morris,2017,2017
465,200794203471.0,0.5,-0.78,-0.28,269.0,123.0,393.0,104.19,Paul Millsap,2017,2017
466,200794203471.0,0.5,-0.78,-0.28,269.0,123.0,393.0,104.19,Dennis Schroder,2017,2017
465,202699203484.0,-0.03,-1.16,-1.19,392.0,217.0,425.0,104.18,Tobias Harris,2017,2017
466,202699203484.0,-0.03,-1.16,-1.19,392.0,217.0,425.0,104.18,Kentavious Caldwell-Pope,2017,2017
465,201942202685.0,-0.56,-0.38,-0.94,364.0,337.0,331.0,104.18,Jonas Valanciunas,2017,2017
466,201942202685.0,-0.56,-0.38,-0.94,364.0,337.0,331.0,104.18,DeMar DeRozan,2017,2017
465,2039031627742.0,-0.95,-1.18,-2.12,443.0,401.0,428.0,104.21,Brandon Ingram,2017,2017
466,2039031627742.0,-0.95,-1.18,-2.12,443.0,401.0,428.0,104.21,Jordan Clarkson,2017,2017
465,201587203077.0,-1.27,0.11,-1.16,388.0,431.0,193.0,104.16,Michael Kidd-Gilchrist,2017,2017
466,201587203077.0,-1.27,0.11,-1.16,388.0,431.0,193.0,104.16,Nicolas Batum,2017,2017
465,201599201601.0,1.08,0.5,1.58,51.0,62.0,114.0,104.18,Luc Mbah a Moute,2017,2017
466,201599201601.0,1.08,0.5,1.58,51.0,62.0,114.0,104.18,DeAndre Jordan,2017,2017
465,2039331626164.0,0.47,-0.56,-0.1,242.0,126.0,356.0,104.21,T.J. Warren,2017,2017
466,2039331626164.0,0.47,-0.56,-0.1,242.0,126.0,356.0,104.21,Devin Booker,2017,2017
466,203500203506.0,1.12,1.2,2.32,20.0,59.0,42.0,104.16,Steven Adams,2017,2017
465,203500203506.0,1.12,1.2,2.32,20.0,59.0,42.0,104.16,Victor Oladipo,2017,2017
465,203095203901.0,1.15,0.24,1.39,71.0,55.0,167.0,104.19,Evan Fournier,2017,2017
466,203095203901.0,1.15,0.24,1.39,71.0,55.0,167.0,104.19,Elfrid Payton,2017,2017
466,201142202691.0,2.17,0.52,2.68,13.0,12.0,110.0,104.21,Klay Thompson,2017,2017
465,201142202691.0,2.17,0.52,2.68,13.0,12.0,110.0,104.21,Kevin Durant,2017,2017
465,201950203524.0,-0.2,1.65,1.46,66.0,260.0,20.0,104.13,Solomon Hill,2017,2017
466,201950203524.0,-0.2,1.65,1.46,66.0,260.0,20.0,104.13,Jrue Holiday,2017,2017
465,201143202738.0,1.77,-0.16,1.61,47.0,24.0,266.0,104.23,Al Horford,2017,2017
466,201143202738.0,1.77,-0.16,1.61,47.0,24.0,266.0,104.23,Isaiah Thomas,2017,2017
465,200755201933.0,1.67,-0.07,1.6,49.0,31.0,235.0,104.23,JJ Redick,2017,2017
466,200755201933.0,1.67,-0.07,1.6,49.0,31.0,235.0,104.23,Blake Griffin,2017,2017
466,201142201939.0,3.12,-0.16,2.96,12.0,6.0,265.0,104.25,Stephen Curry,2017,2017
465,201142201939.0,3.12,-0.16,2.96,12.0,6.0,265.0,104.25,Kevin Durant,2017,2017
466,203901203932.0,1.89,-0.09,1.81,37.0,19.0,239.0,104.19,Elfrid Payton,2017,2017
465,203901203932.0,1.89,-0.09,1.81,37.0,19.0,239.0,104.19,Aaron Gordon,2017,2017
466,101108201933.0,2.23,0.73,2.95,11.0,11.0,84.0,104.21,Chris Paul,2017,2017
465,101108201933.0,2.23,0.73,2.95,11.0,11.0,84.0,104.21,Blake Griffin,2017,2017
465,201569201935.0,1.16,-1.19,-0.03,229.0,56.0,428.0,104.23,James Harden,2017,2017
466,201569201935.0,1.16,-1.19,-0.03,229.0,56.0,428.0,104.23,Eric Gordon,2017,2017
465,203095203932.0,0.52,-0.42,0.11,203.0,118.0,338.0,104.18,Aaron Gordon,2017,2017
466,203095203932.0,0.52,-0.42,0.11,203.0,118.0,338.0,104.18,Evan Fournier,2017,2017
465,203084203552.0,-0.53,-0.61,-1.15,386.0,332.0,358.0,104.16,Harrison Barnes,2017,2017
466,203084203552.0,-0.53,-0.61,-1.15,386.0,332.0,358.0,104.16,Seth Curry,2017,2017
465,201567202681.0,2.34,-1.67,0.67,125.0,10.0,451.0,104.27,Kevin Love,2017,2017
466,201567202681.0,2.34,-1.67,0.67,125.0,10.0,451.0,104.27,Kyrie Irving,2017,2017
465,203507203521.0,-0.54,-0.35,-0.89,359.0,335.0,324.0,104.17,Giannis Antetokounmpo,2017,2017
466,203507203521.0,-0.54,-0.35,-0.89,359.0,335.0,324.0,104.17,Matthew Dellavedova,2017,2017
465,203145203471.0,-1.44,0.28,-1.17,389.0,443.0,152.0,104.16,Dennis Schroder,2017,2017
466,203145203471.0,-1.44,0.28,-1.17,389.0,443.0,152.0,104.16,Kent Bazemore,2017,2017
466,101108200755.0,1.95,0.12,2.07,27.0,19.0,193.0,104.22,JJ Redick,2017,2017
465,101108200755.0,1.95,0.12,2.07,27.0,19.0,193.0,104.22,Chris Paul,2017,2017
465,202699203083.0,0.37,0.17,0.54,140.0,138.0,180.0,104.17,Andre Drummond,2017,2017
466,202699203083.0,0.37,0.17,0.54,140.0,138.0,180.0,104.17,Tobias Harris,2017,2017
465,202696203095.0,-0.9,-0.34,-1.24,399.0,395.0,323.0,104.17,Nikola Vucevic,2017,2017
466,202696203095.0,-0.9,-0.34,-1.24,399.0,395.0,323.0,104.17,Evan Fournier,2017,2017
465,201144201188.0,0.87,0.04,0.91,105.0,77.0,212.0,104.22,Marc Gasol,2017,2017
466,201144201188.0,0.87,0.04,0.91,105.0,77.0,212.0,104.22,Mike Conley,2017,2017
465,201949204020.0,1.18,0.29,1.47,65.0,54.0,153.0,104.18,James Johnson,2017,2017
466,201949204020.0,1.18,0.29,1.47,65.0,54.0,153.0,104.18,Tyler Johnson,2017,2017
465,201565201584.0,0.9,-1.58,-0.69,337.0,74.0,451.0,104.23,Derrick Rose,2017,2017
466,201565201584.0,0.9,-1.58,-0.69,337.0,74.0,451.0,104.23,Courtney Lee,2017,2017
466,16261641627737.0,-0.96,-1.54,-2.49,451.0,403.0,448.0,104.22,Marquese Chriss,2017,2017
465,16261641627737.0,-0.96,-1.54,-2.49,451.0,403.0,448.0,104.22,Devin Booker,2017,2017
465,2039441626156.0,-0.8,-3.63,-4.43,465.0,380.0,466.0,104.22,Julius Randle,2017,2017
466,2039441626156.0,-0.8,-3.63,-4.43,465.0,380.0,466.0,104.22,D'Angelo Russell,2017,2017
465,2544201567.0,2.95,-1.16,1.79,38.0,6.0,427.0,104.27,LeBron James,2017,2017
466,2544201567.0,2.95,-1.16,1.79,38.0,6.0,427.0,104.27,Kevin Love,2017,2017
465,201942201960.0,-0.07,-0.5,-0.57,319.0,230.0,352.0,104.19,DeMarre Carroll,2017,2017
466,201942201960.0,-0.07,-0.5,-0.57,319.0,230.0,352.0,104.19,DeMar DeRozan,2017,2017
465,202689203469.0,1.41,1.17,2.58,13.0,41.0,44.0,104.18,Kemba Walker,2017,2017
466,202689203469.0,1.41,1.17,2.58,13.0,41.0,44.0,104.18,Cody Zeller,2017,2017
466,101107203077.0,-1.55,-0.47,-2.02,439.0,446.0,350.0,104.16,Marvin Williams,2017,2017
465,101107203077.0,-1.55,-0.47,-2.02,439.0,446.0,350.0,104.16,Michael Kidd-Gilchrist,2017,2017
465,200765202710.0,0.02,0.21,0.23,189.0,203.0,175.0,104.17,Jimmy Butler,2017,2017
466,200765202710.0,0.02,0.21,0.23,189.0,203.0,175.0,104.17,Rajon Rondo,2017,2017
465,2772201569.0,0.3,-0.59,-0.29,271.0,150.0,357.0,104.2,Trevor Ariza,2017,2017
466,2772201569.0,0.3,-0.59,-0.29,271.0,150.0,357.0,104.2,Eric Gordon,2017,2017
465,202696203932.0,0.35,-0.13,0.22,191.0,141.0,257.0,104.17,Aaron Gordon,2017,2017
466,202696203932.0,0.35,-0.13,0.22,191.0,141.0,257.0,104.17,Nikola Vucevic,2017,2017
465,203460203506.0,0.65,2.23,2.89,11.0,103.0,6.0,104.14,Andre Roberson,2017,2017
466,203460203506.0,0.65,2.23,2.89,11.0,103.0,6.0,104.14,Victor Oladipo,2017,2017
465,2730203145.0,-1.78,0.73,-1.05,382.0,454.0,84.0,104.11,Dwight Howard,2017,2017
466,2730203145.0,-1.78,0.73,-1.05,382.0,454.0,84.0,104.11,Kent Bazemore,2017,2017
465,201584204001.0,0.83,-0.76,0.07,212.0,83.0,392.0,104.21,Kristaps Porzingis,2017,2017
466,201584204001.0,0.83,-0.76,0.07,212.0,83.0,392.0,104.21,Courtney Lee,2017,2017
465,201188203210.0,0.55,-0.25,0.3,179.0,115.0,296.0,104.21,JaMychal Green,2017,2017
466,201188203210.0,0.55,-0.25,0.3,179.0,115.0,296.0,104.21,Marc Gasol,2017,2017
465,200755201601.0,0.8,-0.07,0.73,120.0,84.0,237.0,104.2,Luc Mbah a Moute,2017,2017
466,200755201601.0,0.8,-0.07,0.73,120.0,84.0,237.0,104.2,JJ Redick,2017,2017
465,202397202699.0,1.29,0.03,1.32,72.0,48.0,214.0,104.18,Tobias Harris,2017,2017
466,202397202699.0,1.29,0.03,1.32,72.0,48.0,214.0,104.18,Ish Smith,2017,2017
465,2754201188.0,0.24,-0.11,0.13,203.0,162.0,249.0,104.19,Marc Gasol,2017,2017
466,2754201188.0,0.24,-0.11,0.13,203.0,162.0,249.0,104.19,Tony Allen,2017,2017
465,202694202699.0,-0.34,-0.19,-0.53,315.0,290.0,279.0,104.15,Tobias Harris,2017,2017
466,202694202699.0,-0.34,-0.19,-0.53,315.0,290.0,279.0,104.15,Marcus Morris Sr.,2017,2017
465,202397203484.0,-0.42,-1.05,-1.47,411.0,310.0,419.0,104.2,Kentavious Caldwell-Pope,2017,2017
466,202397203484.0,-0.42,-1.05,-1.47,411.0,310.0,419.0,104.2,Ish Smith,2017,2017
465,2546204001.0,-0.21,0.17,-0.05,235.0,263.0,180.0,104.17,Carmelo Anthony,2017,2017
466,2546204001.0,-0.21,0.17,-0.05,235.0,263.0,180.0,104.17,Kristaps Porzingis,2017,2017
465,200794203145.0,-0.81,-0.24,-1.05,382.0,382.0,293.0,104.18,Paul Millsap,2017,2017
466,200794203145.0,-0.81,-0.24,-1.05,382.0,382.0,293.0,104.18,Kent Bazemore,2017,2017
465,201567202684.0,0.31,-1.39,-1.08,386.0,147.0,444.0,104.22,Tristan Thompson,2017,2017
466,201567202684.0,0.31,-1.39,-1.08,386.0,147.0,444.0,104.22,Kevin Love,2017,2017
465,203459203468.0,0.72,-0.75,-0.03,232.0,92.0,390.0,104.21,CJ McCollum,2017,2017
466,203459203468.0,0.72,-0.75,-0.03,232.0,92.0,390.0,104.21,Allen Crabbe,2017,2017
465,201587203469.0,0.08,0.62,0.69,123.0,193.0,96.0,104.17,Nicolas Batum,2017,2017
