,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
128,201939.0,4.33,1.1,5.43,1.0,1.0,54.0,104.26,Stephen Curry,2017,2017
109,201580.0,3.82,0.21,4.03,2.0,2.0,172.0,104.26,JaVale McGee,2017,2017
236,203110.0,1.4,2.32,3.71,3.0,42.0,5.0,104.26,Draymond Green,2017,2017
59,101161.0,1.44,2.19,3.63,4.0,40.0,7.0,104.26,Amir Johnson,2017,2017
272,203497.0,0.86,2.69,3.55,5.0,78.0,1.0,104.26,Rudy Gobert,2017,2017
76,201144.0,2.38,0.95,3.32,6.0,9.0,62.0,104.26,Mike Conley,2017,2017
333,203999.0,2.81,0.42,3.23,7.0,7.0,127.0,104.26,Nikola Jokic,2017,2017
18,2544.0,3.53,-0.48,3.05,8.0,5.0,352.0,104.26,LeBron James,2017,2017
330,203991.0,2.04,0.98,3.02,9.0,15.0,58.0,104.26,Clint Capela,2017,2017
278,203506.0,0.43,2.48,2.91,10.0,131.0,3.0,104.26,Victor Oladipo,2017,2017
46,101108.0,2.02,0.79,2.81,11.0,16.0,79.0,104.26,Chris Paul,2017,2017
74,201142.0,2.5,0.09,2.59,12.0,8.0,198.0,104.26,Kevin Durant,2017,2017
466,203078202322.0,3.49,-0.92,2.57,13.0,6.0,410.0,104.26,John Wall,2017,2017
465,203078202322.0,3.49,-0.92,2.57,13.0,6.0,410.0,104.26,Bradley Beal,2017,2017
118,201599.0,1.65,0.91,2.56,14.0,31.0,67.0,104.26,DeAndre Jordan,2017,2017
188,202691.0,1.25,1.28,2.52,15.0,48.0,36.0,104.26,Klay Thompson,2017,2017
363,1626169.0,1.23,1.27,2.49,16.0,49.0,37.0,104.26,Stanley Johnson,2017,2017
32,2734.0,-0.12,2.57,2.45,17.0,242.0,2.0,104.26,Devin Harris,2017,2017
213,202738.0,3.58,-1.14,2.43,18.0,4.0,422.0,104.26,Isaiah Thomas,2017,2017
1,1717.0,1.29,1.12,2.41,20.0,46.0,50.0,104.26,Dirk Nowitzki,2017,2017
235,203109.0,1.74,0.67,2.41,19.0,24.0,93.0,104.26,Jae Crowder,2017,2017
34,2738.0,1.46,0.8,2.26,21.0,39.0,78.0,104.26,Andre Iguodala,2017,2017
198,202703.0,1.71,0.49,2.2,22.0,28.0,116.0,104.26,Nikola Mirotic,2017,2017
180,202681.0,3.75,-1.56,2.19,23.0,3.0,449.0,104.26,Kyrie Irving,2017,2017
