,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
109,201580.0,4.21,0.3,4.51,1.0,1.0,151.0,104.25,JaVale McGee,2017,2017
236,203110.0,1.91,2.37,4.27,2.0,19.0,4.0,104.25,Draymond Green,2017,2017
128,201939.0,2.43,1.46,3.88,3.0,8.0,25.0,104.25,Stephen Curry,2017,2017
59,101161.0,1.43,2.18,3.62,4.0,42.0,7.0,104.25,Amir Johnson,2017,2017
272,203497.0,0.84,2.68,3.52,5.0,81.0,1.0,104.25,Rudy Gobert,2017,2017
76,201144.0,2.37,0.93,3.3,6.0,9.0,63.0,104.25,Mike Conley,2017,2017
333,203999.0,2.8,0.39,3.19,7.0,7.0,134.0,104.25,Nikola Jokic,2017,2017
188,202691.0,1.72,1.35,3.07,8.0,29.0,35.0,104.25,Klay Thompson,2017,2017
18,2544.0,3.53,-0.47,3.05,9.0,4.0,351.0,104.25,LeBron James,2017,2017
330,203991.0,2.04,0.98,3.02,10.0,15.0,58.0,104.25,Clint Capela,2017,2017
216,203078.0,3.5,-0.53,2.97,11.0,5.0,354.0,104.25,Bradley Beal,2017,2017
466,201142201939.0,3.12,-0.16,2.96,12.0,6.0,265.0,104.25,Stephen Curry,2017,2017
465,201142201939.0,3.12,-0.16,2.96,12.0,6.0,265.0,104.25,Kevin Durant,2017,2017
278,203506.0,0.43,2.47,2.9,13.0,129.0,3.0,104.25,Victor Oladipo,2017,2017
46,101108.0,2.03,0.85,2.88,14.0,16.0,72.0,104.25,Chris Paul,2017,2017
34,2738.0,1.8,0.81,2.62,15.0,23.0,76.0,104.25,Andre Iguodala,2017,2017
363,1626169.0,1.23,1.27,2.49,17.0,49.0,38.0,104.25,Stanley Johnson,2017,2017
118,201599.0,1.62,0.87,2.49,16.0,34.0,70.0,104.25,DeAndre Jordan,2017,2017
32,2734.0,-0.13,2.57,2.45,18.0,243.0,2.0,104.25,Devin Harris,2017,2017
213,202738.0,3.58,-1.15,2.43,19.0,3.0,422.0,104.25,Isaiah Thomas,2017,2017
235,203109.0,1.74,0.68,2.42,20.0,27.0,93.0,104.25,Jae Crowder,2017,2017
1,1717.0,1.29,1.12,2.4,21.0,47.0,51.0,104.25,Dirk Nowitzki,2017,2017
