,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
128,201939.0,4.32,1.11,5.44,1.0,1.0,52.0,104.27,Stephen Curry,2017,2017
109,201580.0,3.82,0.21,4.04,2.0,3.0,172.0,104.27,JaVale McGee,2017,2017
236,203110.0,1.39,2.33,3.72,3.0,42.0,5.0,104.27,Draymond Green,2017,2017
59,101161.0,1.44,2.19,3.63,4.0,40.0,7.0,104.27,Amir Johnson,2017,2017
272,203497.0,0.86,2.69,3.55,5.0,79.0,1.0,104.27,Rudy Gobert,2017,2017
76,201144.0,2.38,0.95,3.32,6.0,9.0,62.0,104.27,Mike Conley,2017,2017
333,203999.0,2.81,0.4,3.21,7.0,7.0,133.0,104.27,Nikola Jokic,2017,2017
330,203991.0,2.04,0.98,3.02,8.0,15.0,57.0,104.27,Clint Capela,2017,2017
216,203078.0,3.5,-0.53,2.97,9.0,5.0,354.0,104.27,Bradley Beal,2017,2017
278,203506.0,0.44,2.46,2.89,10.0,130.0,3.0,104.27,Victor Oladipo,2017,2017
46,101108.0,2.01,0.81,2.82,11.0,17.0,75.0,104.27,Chris Paul,2017,2017
180,202681.0,4.23,-1.66,2.58,13.0,2.0,451.0,104.27,Kyrie Irving,2017,2017
74,201142.0,2.5,0.08,2.58,12.0,8.0,200.0,104.27,Kevin Durant,2017,2017
118,201599.0,1.65,0.92,2.57,14.0,31.0,64.0,104.27,DeAndre Jordan,2017,2017
188,202691.0,1.25,1.28,2.53,15.0,49.0,35.0,104.27,Klay Thompson,2017,2017
363,1626169.0,1.23,1.28,2.5,16.0,50.0,36.0,104.27,Stanley Johnson,2017,2017
32,2734.0,-0.12,2.57,2.45,17.0,240.0,2.0,104.27,Devin Harris,2017,2017
213,202738.0,3.58,-1.14,2.44,18.0,4.0,422.0,104.27,Isaiah Thomas,2017,2017
235,203109.0,1.74,0.68,2.42,19.0,25.0,92.0,104.27,Jae Crowder,2017,2017
1,1717.0,1.29,1.12,2.41,20.0,48.0,51.0,104.27,Dirk Nowitzki,2017,2017
34,2738.0,1.45,0.81,2.27,21.0,39.0,74.0,104.27,Andre Iguodala,2017,2017
198,202703.0,1.71,0.49,2.2,22.0,28.0,116.0,104.27,Nikola Mirotic,2017,2017
48,101112.0,1.3,0.88,2.18,24.0,46.0,71.0,104.27,Channing Frye,2017,2017
3,1891.0,-0.18,2.37,2.18,23.0,256.0,4.0,104.27,Jason Terry,2017,2017
159,202330.0,1.21,0.95,2.16,25.0,51.0,61.0,104.27,Gordon Hayward,2017,2017
71,200782.0,0.87,1.25,2.12,26.0,75.0,40.0,104.27,P.J. Tucker,2017,2017
202,202710.0,0.58,1.51,2.09,27.0,111.0,22.0,104.27,Jimmy Butler,2017,2017
101,201568.0,1.95,0.07,2.02,28.0,18.0,204.0,104.27,Danilo Gallinari,2017,2017
192,202695.0,2.17,-0.18,1.99,29.0,12.0,278.0,104.27,Kawhi Leonard,2017,2017
18,2544.0,1.53,0.46,1.99,30.0,34.0,123.0,104.27,LeBron James,2017,2017
244,203141.0,0.51,1.45,1.96,32.0,121.0,25.0,104.27,Mirza Teletovic,2017,2017
106,201577.0,1.03,0.94,1.96,31.0,66.0,63.0,104.27,Robin Lopez,2017,2017
99,201566.0,2.31,-0.4,1.91,33.0,10.0,335.0,104.27,Russell Westbrook,2017,2017
69,200768.0,0.49,1.4,1.89,34.0,123.0,31.0,104.27,Kyle Lowry,2017,2017
146,201976.0,1.85,0.01,1.86,35.0,19.0,216.0,104.27,Patrick Beverley,2017,2017
122,201627.0,0.9,0.92,1.82,36.0,74.0,66.0,104.27,Anthony Morrow,2017,2017
465,2544201567.0,2.95,-1.16,1.79,38.0,6.0,427.0,104.27,LeBron James,2017,2017
111,201583.0,1.03,0.77,1.79,37.0,65.0,81.0,104.27,Ryan Anderson,2017,2017
466,2544201567.0,2.95,-1.16,1.79,38.0,6.0,427.0,104.27,Kevin Love,2017,2017
341,204060.0,1.73,0.05,1.78,39.0,26.0,211.0,104.27,Joe Ingles,2017,2017
217,203079.0,1.6,0.17,1.77,40.0,32.0,181.0,104.27,Dion Waiters,2017,2017
195,202699.0,0.37,1.38,1.75,41.0,139.0,32.0,104.27,Tobias Harris,2017,2017
133,201949.0,0.3,1.45,1.74,42.0,147.0,26.0,104.27,James Johnson,2017,2017
327,203957.0,-0.01,1.74,1.73,43.0,211.0,17.0,104.27,Dante Exum,2017,2017
317,203937.0,-0.44,2.14,1.7,44.0,313.0,9.0,104.27,Kyle Anderson,2017,2017
250,203382.0,-0.48,2.16,1.68,47.0,324.0,8.0,104.27,Aron Baynes,2017,2017
160,202331.0,1.47,0.21,1.68,46.0,38.0,173.0,104.27,Paul George,2017,2017
463,1627884.0,0.49,1.2,1.68,45.0,124.0,43.0,104.27,Derrick Jones Jr.,2017,2017
270,203493.0,0.86,0.8,1.65,48.0,80.0,79.0,104.27,Reggie Bullock,2017,2017
297,203898.0,0.35,1.25,1.61,49.0,141.0,39.0,104.27,Tyler Ennis,2017,2017
257,203468.0,0.97,0.62,1.59,50.0,68.0,96.0,104.27,CJ McCollum,2017,2017
258,203469.0,0.17,1.4,1.58,51.0,172.0,30.0,104.27,Cody Zeller,2017,2017
351,1626153.0,-0.47,2.03,1.56,52.0,319.0,10.0,104.27,Delon Wright,2017,2017
440,1627789.0,-0.09,1.65,1.56,53.0,232.0,19.0,104.27,Timothe Luwawu-Cabarrot,2017,2017
238,203114.0,0.85,0.7,1.55,54.0,81.0,89.0,104.27,Khris Middleton,2017,2017
260,203473.0,-0.23,1.77,1.54,55.0,265.0,16.0,104.27,Dewayne Dedmon,2017,2017
163,202335.0,0.96,0.56,1.53,56.0,69.0,104.0,104.27,Patrick Patterson,2017,2017
275,203501.0,0.75,0.76,1.52,57.0,88.0,82.0,104.27,Tim Hardaway Jr.,2017,2017
187,202689.0,1.65,-0.14,1.52,58.0,30.0,263.0,104.27,Kemba Walker,2017,2017
52,101133.0,-0.3,1.8,1.5,60.0,282.0,15.0,104.27,Ian Mahinmi,2017,2017
171,202355.0,1.08,0.42,1.5,59.0,62.0,129.0,104.27,Hassan Whiteside,2017,2017
141,201961.0,-0.0,1.5,1.49,61.0,208.0,24.0,104.27,Wayne Ellington,2017,2017
0,1713.0,0.66,0.82,1.49,62.0,98.0,73.0,104.27,Vince Carter,2017,2017
453,1627848.0,1.72,-0.24,1.48,63.0,27.0,296.0,104.27,Shawn Long,2017,2017
459,1627855.0,1.04,0.44,1.47,65.0,64.0,127.0,104.27,Okaro White,2017,2017
136,201952.0,1.76,-0.3,1.47,66.0,24.0,313.0,104.27,Jeff Teague,2017,2017
219,203081.0,1.71,-0.23,1.47,64.0,29.0,292.0,104.27,Damian Lillard,2017,2017
148,201988.0,0.64,0.81,1.45,67.0,103.0,77.0,104.27,Patty Mills,2017,2017
157,202328.0,1.09,0.36,1.44,68.0,60.0,143.0,104.27,Greg Monroe,2017,2017
124,201933.0,1.52,-0.1,1.42,69.0,36.0,247.0,104.27,Blake Griffin,2017,2017
254,203460.0,0.45,0.96,1.41,70.0,129.0,59.0,104.27,Andre Roberson,2017,2017
131,201943.0,1.03,0.36,1.38,71.0,67.0,142.0,104.27,Brandon Jennings,2017,2017
26,2585.0,0.82,0.5,1.32,72.0,84.0,114.0,104.27,Zaza Pachulia,2017,2017
152,202322.0,2.01,-0.71,1.3,73.0,16.0,380.0,104.27,John Wall,2017,2017
153,202323.0,0.15,1.15,1.29,74.0,179.0,47.0,104.27,Evan Turner,2017,2017
396,1627734.0,-0.99,2.22,1.24,76.0,405.0,6.0,104.27,Domantas Sabonis,2017,2017
319,203940.0,0.29,0.96,1.24,75.0,151.0,60.0,104.27,Adreian Payne,2017,2017
2,1718.0,0.63,0.59,1.23,77.0,106.0,100.0,104.27,Paul Pierce,2017,2017
413,1627751.0,-0.13,1.35,1.22,78.0,244.0,33.0,104.27,Jakob Poeltl,2017,2017
358,1626163.0,1.41,-0.22,1.19,81.0,41.0,289.0,104.27,Frank Kaminsky,2017,2017
271,203496.0,-0.71,1.9,1.19,80.0,365.0,14.0,104.27,Robert Covington,2017,2017
85,201158.0,1.29,-0.1,1.19,79.0,47.0,245.0,104.27,Marco Belinelli,2017,2017
86,201160.0,-0.07,1.24,1.17,82.0,227.0,41.0,104.27,Jason Smith,2017,2017
214,203076.0,-0.45,1.6,1.15,84.0,314.0,20.0,104.27,Anthony Davis,2017,2017
227,203090.0,1.09,0.07,1.15,83.0,61.0,206.0,104.27,Maurice Harkless,2017,2017
298,203901.0,1.18,-0.05,1.14,86.0,53.0,232.0,104.27,Elfrid Payton,2017,2017
285,203524.0,-0.41,1.55,1.14,85.0,307.0,21.0,104.27,Solomon Hill,2017,2017
53,101135.0,0.66,0.47,1.13,87.0,99.0,119.0,104.27,David Lee,2017,2017
249,203210.0,1.53,-0.42,1.11,88.0,35.0,340.0,104.27,JaMychal Green,2017,2017
16,2440.0,-0.91,1.99,1.09,89.0,399.0,11.0,104.27,Matt Barnes,2017,2017
464,1628021.0,-0.46,1.5,1.04,90.0,318.0,23.0,104.27,David Nwaba,2017,2017
423,1627763.0,1.76,-0.76,1.0,91.0,23.0,390.0,104.27,Malcolm Brogdon,2017,2017
398,1627736.0,0.29,0.71,1.0,92.0,150.0,87.0,104.27,Malik Beasley,2017,2017
121,201609.0,0.75,0.24,0.99,94.0,90.0,165.0,104.27,Goran Dragic,2017,2017
41,2757.0,-0.11,1.1,0.99,93.0,236.0,54.0,104.27,Beno Udrih,2017,2017
38,2749.0,1.11,-0.13,0.99,95.0,59.0,260.0,104.27,Jameer Nelson,2017,2017
286,203526.0,0.45,0.52,0.97,96.0,128.0,107.0,104.27,Raul Neto,2017,2017
450,1627832.0,-0.2,1.17,0.97,97.0,260.0,44.0,104.27,Fred VanVleet,2017,2017
172,202357.0,-0.37,1.33,0.96,99.0,297.0,34.0,104.27,Nemanja Bjelica,2017,2017
361,1626167.0,0.16,0.8,0.96,100.0,175.0,78.0,104.27,Myles Turner,2017,2017
391,1626257.0,0.24,0.72,0.96,98.0,160.0,85.0,104.27,Salah Mejri,2017,2017
201,202709.0,0.3,0.65,0.95,101.0,146.0,93.0,104.27,Cory Joseph,2017,2017
331,203994.0,0.03,0.92,0.94,102.0,200.0,65.0,104.27,Jusuf Nurkic,2017,2017
96,201229.0,0.47,0.46,0.93,104.0,125.0,122.0,104.27,Anthony Tolliver,2017,2017
282,203516.0,-0.5,1.43,0.93,103.0,327.0,27.0,104.27,James Ennis III,2017,2017
280,203510.0,0.34,0.57,0.91,105.0,143.0,103.0,104.27,Pierre Jackson,2017,2017
334,204001.0,0.22,0.68,0.9,107.0,165.0,91.0,104.27,Kristaps Porzingis,2017,2017
412,1627750.0,0.93,-0.03,0.9,108.0,72.0,228.0,104.27,Jamal Murray,2017,2017
