,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
128,201939.0,4.31,1.12,5.43,1.0,2.0,52.0,104.32,Stephen Curry,2017,2017
109,201580.0,3.82,0.21,4.03,2.0,3.0,173.0,104.32,JaVale McGee,2017,2017
236,203110.0,1.38,2.34,3.72,3.0,43.0,5.0,104.32,Draymond Green,2017,2017
59,101161.0,1.43,2.2,3.63,4.0,40.0,7.0,104.32,Amir Johnson,2017,2017
466,2544202681.0,5.09,-1.48,3.6,5.0,1.0,447.0,104.32,Kyrie Irving,2017,2017
465,2544202681.0,5.09,-1.48,3.6,5.0,1.0,447.0,104.32,LeBron James,2017,2017
272,203497.0,0.85,2.7,3.55,6.0,79.0,1.0,104.32,Rudy Gobert,2017,2017
76,201144.0,2.37,0.95,3.32,7.0,8.0,62.0,104.32,Mike Conley,2017,2017
333,203999.0,2.81,0.41,3.21,8.0,6.0,132.0,104.32,Nikola Jokic,2017,2017
330,203991.0,2.04,0.98,3.01,9.0,14.0,57.0,104.32,Clint Capela,2017,2017
216,203078.0,3.5,-0.53,2.96,10.0,5.0,354.0,104.32,Bradley Beal,2017,2017
278,203506.0,0.43,2.46,2.89,11.0,131.0,3.0,104.32,Victor Oladipo,2017,2017
46,101108.0,2.0,0.82,2.83,12.0,17.0,74.0,104.32,Chris Paul,2017,2017
74,201142.0,2.5,0.08,2.58,13.0,7.0,198.0,104.32,Kevin Durant,2017,2017
118,201599.0,1.64,0.93,2.57,14.0,31.0,63.0,104.32,DeAndre Jordan,2017,2017
188,202691.0,1.24,1.28,2.52,15.0,49.0,35.0,104.32,Klay Thompson,2017,2017
363,1626169.0,1.22,1.26,2.49,16.0,50.0,37.0,104.32,Stanley Johnson,2017,2017
32,2734.0,-0.13,2.57,2.45,17.0,240.0,2.0,104.32,Devin Harris,2017,2017
48,101112.0,1.59,0.84,2.43,19.0,33.0,72.0,104.32,Channing Frye,2017,2017
213,202738.0,3.57,-1.14,2.43,18.0,4.0,422.0,104.32,Isaiah Thomas,2017,2017
235,203109.0,1.74,0.68,2.42,20.0,25.0,92.0,104.32,Jae Crowder,2017,2017
1,1717.0,1.28,1.12,2.4,21.0,48.0,51.0,104.32,Dirk Nowitzki,2017,2017
34,2738.0,1.44,0.82,2.26,22.0,39.0,75.0,104.32,Andre Iguodala,2017,2017
198,202703.0,1.7,0.48,2.19,23.0,28.0,119.0,104.32,Nikola Mirotic,2017,2017
3,1891.0,-0.19,2.36,2.17,24.0,256.0,4.0,104.32,Jason Terry,2017,2017
159,202330.0,1.21,0.95,2.16,25.0,51.0,61.0,104.32,Gordon Hayward,2017,2017
71,200782.0,0.86,1.26,2.12,26.0,76.0,39.0,104.32,P.J. Tucker,2017,2017
202,202710.0,0.58,1.49,2.07,27.0,112.0,24.0,104.32,Jimmy Butler,2017,2017
101,201568.0,1.94,0.08,2.02,28.0,18.0,201.0,104.32,Danilo Gallinari,2017,2017
192,202695.0,2.16,-0.18,1.98,29.0,11.0,276.0,104.32,Kawhi Leonard,2017,2017
106,201577.0,1.02,0.92,1.95,31.0,65.0,64.0,104.32,Robin Lopez,2017,2017
244,203141.0,0.5,1.45,1.95,30.0,120.0,26.0,104.32,Mirza Teletovic,2017,2017
99,201566.0,2.3,-0.39,1.9,32.0,9.0,334.0,104.32,Russell Westbrook,2017,2017
69,200768.0,0.48,1.41,1.89,33.0,123.0,31.0,104.32,Kyle Lowry,2017,2017
146,201976.0,1.84,0.02,1.85,34.0,19.0,215.0,104.32,Patrick Beverley,2017,2017
122,201627.0,0.9,0.92,1.82,35.0,73.0,66.0,104.32,Anthony Morrow,2017,2017
111,201583.0,1.02,0.77,1.79,36.0,66.0,81.0,104.32,Ryan Anderson,2017,2017
341,204060.0,1.73,0.04,1.77,37.0,26.0,211.0,104.32,Joe Ingles,2017,2017
133,201949.0,0.28,1.48,1.76,38.0,151.0,25.0,104.32,James Johnson,2017,2017
217,203079.0,1.6,0.15,1.75,39.0,32.0,183.0,104.32,Dion Waiters,2017,2017
195,202699.0,0.36,1.37,1.73,40.0,140.0,32.0,104.32,Tobias Harris,2017,2017
