,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
128,201939.0,4.34,1.1,5.44,1.0,1.0,53.0,104.21,Stephen Curry,2017,2017
109,201580.0,3.83,0.2,4.03,2.0,2.0,173.0,104.21,JaVale McGee,2017,2017
236,203110.0,1.4,2.32,3.73,3.0,42.0,5.0,104.21,Draymond Green,2017,2017
59,101161.0,1.44,2.19,3.63,4.0,39.0,7.0,104.21,Amir Johnson,2017,2017
272,203497.0,0.87,2.69,3.56,5.0,78.0,1.0,104.21,Rudy Gobert,2017,2017
76,201144.0,2.61,0.87,3.47,6.0,8.0,71.0,104.21,Mike Conley,2017,2017
333,203999.0,2.82,0.41,3.23,7.0,7.0,129.0,104.21,Nikola Jokic,2017,2017
18,2544.0,3.54,-0.47,3.07,8.0,5.0,349.0,104.21,LeBron James,2017,2017
330,203991.0,2.05,0.97,3.02,9.0,15.0,58.0,104.21,Clint Capela,2017,2017
216,203078.0,3.51,-0.52,2.99,10.0,6.0,354.0,104.21,Bradley Beal,2017,2017
278,203506.0,0.44,2.47,2.91,11.0,132.0,3.0,104.21,Victor Oladipo,2017,2017
46,101108.0,2.02,0.8,2.82,12.0,16.0,77.0,104.21,Chris Paul,2017,2017
74,201142.0,2.51,0.07,2.58,13.0,9.0,204.0,104.21,Kevin Durant,2017,2017
118,201599.0,1.66,0.91,2.57,14.0,31.0,65.0,104.21,DeAndre Jordan,2017,2017
188,202691.0,1.26,1.27,2.53,15.0,48.0,35.0,104.21,Klay Thompson,2017,2017
363,1626169.0,1.23,1.27,2.5,16.0,49.0,37.0,104.21,Stanley Johnson,2017,2017
32,2734.0,-0.12,2.58,2.46,17.0,239.0,2.0,104.21,Devin Harris,2017,2017
213,202738.0,3.59,-1.14,2.45,18.0,4.0,423.0,104.21,Isaiah Thomas,2017,2017
235,203109.0,1.75,0.68,2.43,19.0,25.0,92.0,104.21,Jae Crowder,2017,2017
1,1717.0,1.3,1.12,2.42,20.0,47.0,50.0,104.21,Dirk Nowitzki,2017,2017
34,2738.0,1.46,0.81,2.27,21.0,38.0,75.0,104.21,Andre Iguodala,2017,2017
198,202703.0,1.71,0.49,2.2,22.0,29.0,116.0,104.21,Nikola Mirotic,2017,2017
180,202681.0,3.76,-1.55,2.2,23.0,3.0,448.0,104.21,Kyrie Irving,2017,2017
3,1891.0,-0.18,2.37,2.19,24.0,256.0,4.0,104.21,Jason Terry,2017,2017
159,202330.0,1.23,0.95,2.17,25.0,50.0,62.0,104.21,Gordon Hayward,2017,2017
71,200782.0,0.88,1.25,2.13,26.0,74.0,40.0,104.21,P.J. Tucker,2017,2017
202,202710.0,0.6,1.49,2.09,27.0,110.0,24.0,104.21,Jimmy Butler,2017,2017
48,101112.0,1.08,0.98,2.07,28.0,62.0,56.0,104.21,Channing Frye,2017,2017
101,201568.0,1.96,0.05,2.01,29.0,18.0,210.0,104.21,Danilo Gallinari,2017,2017
192,202695.0,2.18,-0.19,1.99,30.0,12.0,277.0,104.21,Kawhi Leonard,2017,2017
244,203141.0,0.51,1.45,1.96,32.0,120.0,25.0,104.21,Mirza Teletovic,2017,2017
106,201577.0,1.03,0.93,1.96,31.0,64.0,63.0,104.21,Robin Lopez,2017,2017
99,201566.0,2.32,-0.4,1.92,33.0,10.0,335.0,104.21,Russell Westbrook,2017,2017
69,200768.0,0.5,1.39,1.89,34.0,124.0,31.0,104.21,Kyle Lowry,2017,2017
146,201976.0,1.85,0.01,1.87,35.0,19.0,215.0,104.21,Patrick Beverley,2017,2017
122,201627.0,0.9,0.92,1.82,36.0,73.0,64.0,104.21,Anthony Morrow,2017,2017
341,204060.0,1.74,0.05,1.79,38.0,26.0,208.0,104.21,Joe Ingles,2017,2017
111,201583.0,1.03,0.76,1.79,37.0,65.0,82.0,104.21,Ryan Anderson,2017,2017
217,203079.0,1.61,0.16,1.77,39.0,32.0,182.0,104.21,Dion Waiters,2017,2017
195,202699.0,0.37,1.38,1.75,41.0,140.0,32.0,104.21,Tobias Harris,2017,2017
133,201949.0,0.31,1.45,1.75,40.0,148.0,26.0,104.21,James Johnson,2017,2017
327,203957.0,-0.0,1.74,1.73,42.0,212.0,17.0,104.21,Dante Exum,2017,2017
160,202331.0,1.48,0.23,1.71,43.0,37.0,168.0,104.21,Paul George,2017,2017
317,203937.0,-0.43,2.14,1.7,44.0,312.0,9.0,104.21,Kyle Anderson,2017,2017
250,203382.0,-0.48,2.17,1.69,46.0,325.0,8.0,104.21,Aron Baynes,2017,2017
463,1627884.0,0.49,1.2,1.69,45.0,125.0,42.0,104.21,Derrick Jones Jr.,2017,2017
270,203493.0,0.86,0.79,1.65,47.0,80.0,78.0,104.21,Reggie Bullock,2017,2017
297,203898.0,0.36,1.25,1.61,48.0,142.0,39.0,104.21,Tyler Ennis,2017,2017
258,203469.0,0.18,1.41,1.59,49.0,172.0,28.0,104.21,Cody Zeller,2017,2017
257,203468.0,0.98,0.61,1.59,50.0,67.0,97.0,104.21,CJ McCollum,2017,2017
0,1713.0,0.79,0.78,1.57,52.0,84.0,81.0,104.21,Vince Carter,2017,2017
440,1627789.0,-0.08,1.65,1.57,51.0,231.0,19.0,104.21,Timothe Luwawu-Cabarrot,2017,2017
351,1626153.0,-0.46,2.02,1.56,53.0,318.0,10.0,104.21,Delon Wright,2017,2017
238,203114.0,0.87,0.69,1.55,54.0,79.0,91.0,104.21,Khris Middleton,2017,2017
275,203501.0,0.76,0.78,1.54,55.0,90.0,80.0,104.21,Tim Hardaway Jr.,2017,2017
260,203473.0,-0.22,1.75,1.53,56.0,264.0,16.0,104.21,Dewayne Dedmon,2017,2017
163,202335.0,0.97,0.56,1.53,57.0,68.0,104.0,104.21,Patrick Patterson,2017,2017
187,202689.0,1.66,-0.13,1.53,58.0,30.0,259.0,104.21,Kemba Walker,2017,2017
171,202355.0,1.09,0.42,1.51,59.0,61.0,128.0,104.21,Hassan Whiteside,2017,2017
141,201961.0,0.0,1.49,1.5,60.0,209.0,23.0,104.21,Wayne Ellington,2017,2017
453,1627848.0,1.73,-0.24,1.49,62.0,27.0,293.0,104.21,Shawn Long,2017,2017
52,101133.0,-0.3,1.79,1.49,61.0,283.0,15.0,104.21,Ian Mahinmi,2017,2017
219,203081.0,1.72,-0.24,1.48,64.0,28.0,291.0,104.21,Damian Lillard,2017,2017
136,201952.0,1.77,-0.29,1.48,63.0,23.0,312.0,104.21,Jeff Teague,2017,2017
459,1627855.0,1.04,0.43,1.47,65.0,63.0,126.0,104.21,Okaro White,2017,2017
148,201988.0,0.65,0.81,1.46,66.0,102.0,76.0,104.21,Patty Mills,2017,2017
157,202328.0,1.1,0.35,1.44,67.0,59.0,142.0,104.21,Greg Monroe,2017,2017
254,203460.0,0.46,0.97,1.43,68.0,129.0,59.0,104.21,Andre Roberson,2017,2017
124,201933.0,1.53,-0.11,1.42,69.0,35.0,249.0,104.21,Blake Griffin,2017,2017
131,201943.0,1.03,0.38,1.41,70.0,66.0,138.0,104.21,Brandon Jennings,2017,2017
26,2585.0,0.82,0.51,1.33,71.0,83.0,113.0,104.21,Zaza Pachulia,2017,2017
152,202322.0,2.02,-0.7,1.32,72.0,17.0,380.0,104.21,John Wall,2017,2017
153,202323.0,0.15,1.14,1.29,73.0,179.0,48.0,104.21,Evan Turner,2017,2017
396,1627734.0,-0.98,2.23,1.25,74.0,405.0,6.0,104.21,Domantas Sabonis,2017,2017
319,203940.0,0.29,0.96,1.24,75.0,153.0,61.0,104.21,Adreian Payne,2017,2017
2,1718.0,0.64,0.59,1.23,76.0,105.0,100.0,104.21,Paul Pierce,2017,2017
413,1627751.0,-0.13,1.35,1.22,77.0,244.0,33.0,104.21,Jakob Poeltl,2017,2017
85,201158.0,1.3,-0.09,1.2,78.0,46.0,243.0,104.21,Marco Belinelli,2017,2017
271,203496.0,-0.7,1.89,1.19,80.0,365.0,14.0,104.21,Robert Covington,2017,2017
358,1626163.0,1.41,-0.22,1.19,79.0,40.0,284.0,104.21,Frank Kaminsky,2017,2017
86,201160.0,-0.07,1.24,1.18,81.0,229.0,41.0,104.21,Jason Smith,2017,2017
227,203090.0,1.09,0.07,1.16,82.0,60.0,202.0,104.21,Maurice Harkless,2017,2017
285,203524.0,-0.4,1.55,1.15,83.0,304.0,21.0,104.21,Solomon Hill,2017,2017
298,203901.0,1.19,-0.05,1.14,84.0,52.0,231.0,104.21,Elfrid Payton,2017,2017
53,101135.0,0.67,0.47,1.14,85.0,98.0,120.0,104.21,David Lee,2017,2017
214,203076.0,-0.44,1.57,1.13,86.0,313.0,20.0,104.21,Anthony Davis,2017,2017
249,203210.0,1.4,-0.31,1.1,87.0,41.0,317.0,104.21,JaMychal Green,2017,2017
16,2440.0,-0.91,2.0,1.09,88.0,397.0,11.0,104.21,Matt Barnes,2017,2017
464,1628021.0,-0.46,1.5,1.04,89.0,317.0,22.0,104.21,David Nwaba,2017,2017
423,1627763.0,1.77,-0.76,1.01,90.0,24.0,391.0,104.21,Malcolm Brogdon,2017,2017
121,201609.0,0.75,0.26,1.0,91.0,92.0,160.0,104.21,Goran Dragic,2017,2017
398,1627736.0,0.29,0.71,1.0,93.0,152.0,87.0,104.21,Malik Beasley,2017,2017
38,2749.0,1.12,-0.12,1.0,92.0,58.0,252.0,104.21,Jameer Nelson,2017,2017
41,2757.0,-0.11,1.1,0.99,94.0,236.0,54.0,104.21,Beno Udrih,2017,2017
361,1626167.0,0.16,0.82,0.98,95.0,174.0,73.0,104.21,Myles Turner,2017,2017
286,203526.0,0.45,0.52,0.97,96.0,130.0,107.0,104.21,Raul Neto,2017,2017
391,1626257.0,0.25,0.72,0.97,97.0,160.0,85.0,104.21,Salah Mejri,2017,2017
172,202357.0,-0.36,1.33,0.97,98.0,296.0,34.0,104.21,Nemanja Bjelica,2017,2017
450,1627832.0,-0.2,1.16,0.96,99.0,259.0,45.0,104.21,Fred VanVleet,2017,2017
201,202709.0,0.31,0.64,0.96,100.0,146.0,94.0,104.21,Cory Joseph,2017,2017
282,203516.0,-0.47,1.41,0.95,101.0,320.0,27.0,104.21,James Ennis III,2017,2017
96,201229.0,0.48,0.46,0.94,103.0,126.0,122.0,104.21,Anthony Tolliver,2017,2017
331,203994.0,0.03,0.91,0.94,102.0,202.0,66.0,104.21,Jusuf Nurkic,2017,2017
280,203510.0,0.34,0.57,0.91,105.0,144.0,103.0,104.21,Pierre Jackson,2017,2017
334,204001.0,0.22,0.69,0.91,104.0,165.0,89.0,104.21,Kristaps Porzingis,2017,2017
412,1627750.0,0.93,-0.04,0.9,106.0,71.0,227.0,104.21,Jamal Murray,2017,2017
167,202339.0,1.37,-0.48,0.89,107.0,43.0,351.0,104.21,Eric Bledsoe,2017,2017
127,201937.0,1.32,-0.44,0.88,108.0,45.0,342.0,104.21,Ricky Rubio,2017,2017
337,204020.0,1.18,-0.3,0.88,109.0,54.0,314.0,104.21,Tyler Johnson,2017,2017
147,201980.0,-1.13,1.98,0.86,111.0,418.0,12.0,104.21,Danny Green,2017,2017
203,202711.0,0.66,0.21,0.86,110.0,99.0,172.0,104.21,Bojan Bogdanovic,2017,2017
267,203487.0,-0.06,0.91,0.85,112.0,225.0,68.0,104.21,Michael Carter-Williams,2017,2017
368,1626174.0,0.09,0.76,0.85,113.0,192.0,83.0,104.21,Christian Wood,2017,2017
176,202397.0,0.88,-0.03,0.85,114.0,75.0,226.0,104.21,Ish Smith,2017,2017
110,201582.0,-0.36,1.19,0.83,116.0,295.0,43.0,104.21,Alexis Ajinca,2017,2017
125,201935.0,1.77,-0.94,0.83,115.0,22.0,413.0,104.21,James Harden,2017,2017
39,2754.0,0.51,0.29,0.8,117.0,121.0,150.0,104.21,Tony Allen,2017,2017
66,200755.0,1.54,-0.75,0.8,118.0,34.0,389.0,104.21,JJ Redick,2017,2017
100,201567.0,1.56,-0.81,0.75,119.0,33.0,399.0,104.21,Kevin Love,2017,2017
150,202083.0,0.84,-0.11,0.74,121.0,82.0,247.0,104.21,Wesley Matthews,2017,2017
354,1626157.0,2.15,-1.41,0.74,120.0,13.0,444.0,104.21,Karl-Anthony Towns,2017,2017
62,101181.0,-0.44,1.17,0.74,122.0,314.0,44.0,104.21,Jose Calderon,2017,2017
251,203457.0,0.1,0.6,0.7,123.0,186.0,98.0,104.21,Nerlens Noel,2017,2017
380,1626196.0,0.52,0.16,0.68,124.0,119.0,181.0,104.21,Josh Richardson,2017,2017
169,202344.0,-0.3,0.96,0.67,128.0,284.0,60.0,104.21,Trevor Booker,2017,2017
190,202693.0,0.2,0.47,0.67,125.0,169.0,119.0,104.21,Markieff Morris,2017,2017
283,203518.0,0.57,0.1,0.67,127.0,114.0,193.0,104.21,Alex Abrines,2017,2017
82,201152.0,0.76,-0.09,0.67,126.0,89.0,242.0,104.21,Thaddeus Young,2017,2017
381,1626199.0,0.24,0.41,0.66,129.0,162.0,130.0,104.21,Darrun Hilliard,2017,2017
340,204038.0,0.25,0.39,0.64,131.0,159.0,135.0,104.21,Langston Galloway,2017,2017
70,200771.0,0.65,-0.01,0.64,130.0,103.0,219.0,104.21,Sergio Rodriguez,2017,2017
83,201155.0,0.1,0.53,0.62,132.0,189.0,106.0,104.21,Rodney Stuckey,2017,2017
312,203930.0,0.46,0.16,0.61,133.0,128.0,184.0,104.21,Sean Kilpatrick,2017,2017
50,101123.0,-0.09,0.7,0.61,134.0,234.0,88.0,104.21,Gerald Green,2017,2017
422,1627762.0,0.33,0.27,0.6,135.0,145.0,153.0,104.21,Joel Bolomboy,2017,2017
87,201162.0,-0.84,1.41,0.57,136.0,387.0,29.0,104.21,Jared Dudley,2017,2017
43,2772.0,0.87,-0.3,0.57,137.0,76.0,315.0,104.21,Trevor Ariza,2017,2017
388,1626246.0,0.7,-0.14,0.56,138.0,95.0,262.0,104.21,Boban Marjanovic,2017,2017
174,202389.0,-0.71,1.26,0.55,139.0,366.0,38.0,104.21,Timofey Mozgov,2017,2017
120,201601.0,0.11,0.43,0.54,140.0,183.0,127.0,104.21,Luc Mbah a Moute,2017,2017
5,1938.0,0.61,-0.09,0.53,142.0,109.0,239.0,104.21,Manu Ginobili,2017,2017
433,1627781.0,-0.62,1.14,0.53,141.0,344.0,47.0,104.21,Malachi Richardson,2017,2017
225,203087.0,1.85,-1.33,0.52,143.0,20.0,438.0,104.21,Jeremy Lamb,2017,2017
170,202348.0,1.81,-1.31,0.5,144.0,21.0,436.0,104.21,Jordan Crawford,2017,2017
137,201954.0,0.63,-0.14,0.5,145.0,106.0,261.0,104.21,Darren Collison,2017,2017
9,2200.0,0.48,0.01,0.49,146.0,127.0,216.0,104.21,Pau Gasol,2017,2017
291,203584.0,1.17,-0.7,0.48,147.0,55.0,379.0,104.21,Troy Daniels,2017,2017
294,203894.0,1.37,-0.9,0.47,148.0,44.0,408.0,104.21,Shabazz Napier,2017,2017
10,2207.0,0.54,-0.09,0.46,152.0,116.0,241.0,104.21,Joe Johnson,2017,2017
57,101145.0,0.77,-0.32,0.46,151.0,87.0,320.0,104.21,Monta Ellis,2017,2017
104,201572.0,0.21,0.24,0.46,150.0,166.0,163.0,104.21,Brook Lopez,2017,2017
243,203138.0,-0.69,1.15,0.46,149.0,361.0,46.0,104.21,Hollis Thompson,2017,2017
209,202722.0,-0.41,0.84,0.44,154.0,306.0,72.0,104.21,Davis Bertans,2017,2017
140,201960.0,-0.16,0.59,0.44,153.0,251.0,99.0,104.21,DeMarre Carroll,2017,2017
161,202332.0,0.12,0.31,0.43,155.0,182.0,146.0,104.21,Cole Aldrich,2017,2017
324,203952.0,2.21,-1.79,0.42,156.0,11.0,454.0,104.21,Andrew Wiggins,2017,2017
364,1626170.0,0.1,0.3,0.4,159.0,188.0,148.0,104.21,Jerian Grant,2017,2017
156,202326.0,0.13,0.26,0.4,160.0,181.0,155.0,104.21,DeMarcus Cousins,2017,2017
13,2225.0,-0.58,0.98,0.4,158.0,339.0,57.0,104.21,Tony Parker,2017,2017
377,1626191.0,0.51,-0.11,0.4,157.0,122.0,250.0,104.21,Chris McCullough,2017,2017
116,201588.0,0.13,0.24,0.38,162.0,180.0,165.0,104.21,George Hill,2017,2017
315,203934.0,-0.14,0.52,0.38,161.0,246.0,108.0,104.21,Lamar Patterson,2017,2017
304,203915.0,0.05,0.32,0.36,163.0,198.0,145.0,104.21,Spencer Dinwiddie,2017,2017
348,1626148.0,0.37,-0.0,0.36,164.0,141.0,218.0,104.21,Anthony Brown,2017,2017
194,202697.0,0.3,0.05,0.35,165.0,149.0,207.0,104.21,Iman Shumpert,2017,2017
168,202340.0,0.18,0.16,0.35,167.0,171.0,180.0,104.21,Avery Bradley,2017,2017
220,203082.0,1.52,-1.17,0.35,166.0,36.0,428.0,104.21,Terrence Ross,2017,2017
226,203089.0,-0.05,0.39,0.34,169.0,223.0,133.0,104.21,John Henson,2017,2017
11,2210.0,0.04,0.3,0.34,171.0,201.0,147.0,104.21,Richard Jefferson,2017,2017
173,202362.0,0.4,-0.06,0.34,168.0,136.0,233.0,104.21,Lance Stephenson,2017,2017
