,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
128,201939.0,4.34,1.1,5.44,1.0,1.0,54.0,104.15,Stephen Curry,2017,2017
109,201580.0,3.83,0.19,4.02,2.0,2.0,179.0,104.15,JaVale McGee,2017,2017
236,203110.0,1.4,2.33,3.73,3.0,42.0,5.0,104.15,Draymond Green,2017,2017
59,101161.0,1.45,2.18,3.63,4.0,40.0,6.0,104.15,Amir Johnson,2017,2017
272,203497.0,0.87,2.68,3.55,5.0,78.0,1.0,104.15,Rudy Gobert,2017,2017
76,201144.0,2.39,0.93,3.32,6.0,10.0,65.0,104.15,Mike Conley,2017,2017
333,203999.0,2.81,0.42,3.23,7.0,8.0,129.0,104.15,Nikola Jokic,2017,2017
278,203506.0,0.44,2.65,3.09,8.0,131.0,2.0,104.15,Victor Oladipo,2017,2017
18,2544.0,3.55,-0.49,3.06,9.0,5.0,352.0,104.15,LeBron James,2017,2017
330,203991.0,2.05,0.97,3.02,10.0,15.0,59.0,104.15,Clint Capela,2017,2017
216,203078.0,3.52,-0.53,2.98,11.0,6.0,354.0,104.15,Bradley Beal,2017,2017
46,101108.0,2.02,0.79,2.82,12.0,17.0,80.0,104.15,Chris Paul,2017,2017
74,201142.0,2.51,0.06,2.57,13.0,9.0,206.0,104.15,Kevin Durant,2017,2017
118,201599.0,1.66,0.91,2.57,14.0,31.0,69.0,104.15,DeAndre Jordan,2017,2017
188,202691.0,1.26,1.26,2.52,15.0,48.0,36.0,104.15,Klay Thompson,2017,2017
363,1626169.0,1.24,1.26,2.5,16.0,49.0,37.0,104.15,Stanley Johnson,2017,2017
213,202738.0,3.59,-1.15,2.45,18.0,4.0,422.0,104.15,Isaiah Thomas,2017,2017
32,2734.0,-0.11,2.56,2.45,17.0,238.0,3.0,104.15,Devin Harris,2017,2017
235,203109.0,1.76,0.67,2.43,19.0,25.0,94.0,104.15,Jae Crowder,2017,2017
1,1717.0,1.3,1.12,2.42,20.0,46.0,51.0,104.15,Dirk Nowitzki,2017,2017
34,2738.0,1.46,0.81,2.27,21.0,39.0,76.0,104.15,Andre Iguodala,2017,2017
198,202703.0,1.72,0.49,2.2,22.0,29.0,116.0,104.15,Nikola Mirotic,2017,2017
3,1891.0,-0.17,2.36,2.18,24.0,256.0,4.0,104.15,Jason Terry,2017,2017
180,202681.0,3.76,-1.57,2.18,23.0,3.0,450.0,104.15,Kyrie Irving,2017,2017
159,202330.0,1.22,0.94,2.16,25.0,50.0,64.0,104.15,Gordon Hayward,2017,2017
71,200782.0,0.89,1.24,2.13,26.0,74.0,40.0,104.15,P.J. Tucker,2017,2017
202,202710.0,0.61,1.48,2.09,27.0,111.0,23.0,104.15,Jimmy Butler,2017,2017
48,101112.0,1.09,0.98,2.07,28.0,60.0,58.0,104.15,Channing Frye,2017,2017
101,201568.0,1.96,0.05,2.01,29.0,18.0,208.0,104.15,Danilo Gallinari,2017,2017
192,202695.0,2.18,-0.2,1.97,30.0,12.0,281.0,104.15,Kawhi Leonard,2017,2017
244,203141.0,0.52,1.44,1.96,32.0,121.0,25.0,104.15,Mirza Teletovic,2017,2017
106,201577.0,1.05,0.91,1.96,31.0,63.0,66.0,104.15,Robin Lopez,2017,2017
69,200768.0,0.51,1.38,1.88,33.0,123.0,30.0,104.15,Kyle Lowry,2017,2017
146,201976.0,1.86,0.01,1.87,34.0,19.0,216.0,104.15,Patrick Beverley,2017,2017
122,201627.0,0.91,0.95,1.86,35.0,73.0,63.0,104.15,Anthony Morrow,2017,2017
111,201583.0,1.04,0.76,1.79,36.0,65.0,84.0,104.15,Ryan Anderson,2017,2017
341,204060.0,1.74,0.04,1.78,37.0,26.0,211.0,104.15,Joe Ingles,2017,2017
217,203079.0,1.61,0.15,1.77,38.0,32.0,186.0,104.15,Dion Waiters,2017,2017
133,201949.0,0.31,1.44,1.75,40.0,145.0,24.0,104.15,James Johnson,2017,2017
195,202699.0,0.38,1.38,1.75,39.0,138.0,31.0,104.15,Tobias Harris,2017,2017
327,203957.0,-0.01,1.74,1.73,41.0,211.0,16.0,104.15,Dante Exum,2017,2017
254,203460.0,0.57,1.14,1.72,42.0,112.0,47.0,104.15,Andre Roberson,2017,2017
317,203937.0,-0.43,2.13,1.71,43.0,312.0,8.0,104.15,Kyle Anderson,2017,2017
160,202331.0,1.48,0.22,1.7,44.0,38.0,171.0,104.15,Paul George,2017,2017
463,1627884.0,0.5,1.19,1.69,45.0,125.0,43.0,104.15,Derrick Jones Jr.,2017,2017
250,203382.0,-0.47,2.16,1.69,46.0,324.0,7.0,104.15,Aron Baynes,2017,2017
270,203493.0,0.86,0.8,1.66,47.0,80.0,79.0,104.15,Reggie Bullock,2017,2017
297,203898.0,0.36,1.25,1.61,48.0,140.0,39.0,104.15,Tyler Ennis,2017,2017
99,201566.0,3.0,-1.4,1.6,49.0,7.0,443.0,104.15,Russell Westbrook,2017,2017
258,203469.0,0.18,1.41,1.59,50.0,171.0,27.0,104.15,Cody Zeller,2017,2017
