,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
451,2772201935.0,2.86,-1.89,0.97,90.0,3.0,445.0,103.53,James Harden,2017,2017
450,2772201935.0,2.86,-1.89,0.97,90.0,3.0,445.0,103.53,Trevor Ariza,2017,2017
451,201583201935.0,2.36,-0.39,1.97,40.0,14.0,312.0,103.52,James Harden,2017,2017
450,201583201935.0,2.36,-0.39,1.97,40.0,14.0,312.0,103.52,Ryan Anderson,2017,2017
451,2039521626157.0,1.82,-0.98,0.84,106.0,22.0,400.0,103.48,Karl-Anthony Towns,2017,2017
450,2039521626157.0,1.82,-0.98,0.84,106.0,22.0,400.0,103.48,Andrew Wiggins,2017,2017
450,201566203500.0,1.54,1.11,2.65,17.0,33.0,45.0,103.43,Russell Westbrook,2017,2017
451,201566203500.0,1.54,1.11,2.65,17.0,33.0,45.0,103.43,Steven Adams,2017,2017
450,203476203952.0,1.38,-0.09,1.29,67.0,47.0,247.0,103.44,Andrew Wiggins,2017,2017
451,203476203952.0,1.38,-0.09,1.29,67.0,47.0,247.0,103.44,Gorgui Dieng,2017,2017
451,202322203078.0,1.32,0.87,2.19,27.0,48.0,70.0,103.44,Bradley Beal,2017,2017
450,202322203078.0,1.32,0.87,2.19,27.0,48.0,70.0,103.44,John Wall,2017,2017
450,201937203952.0,0.25,-0.46,-0.21,260.0,159.0,324.0,103.45,Andrew Wiggins,2017,2017
451,201937203952.0,0.25,-0.46,-0.21,260.0,159.0,324.0,103.45,Ricky Rubio,2017,2017
451,202322203490.0,1.27,0.81,2.08,36.0,53.0,80.0,103.45,John Wall,2017,2017
450,202322203490.0,1.27,0.81,2.08,36.0,53.0,80.0,103.45,Otto Porter Jr.,2017,2017
451,101162202322.0,1.44,0.3,1.74,48.0,41.0,157.0,103.45,Marcin Gortat,2017,2017
450,101162202322.0,1.44,0.3,1.74,48.0,41.0,157.0,103.45,John Wall,2017,2017
451,201566203460.0,1.54,0.63,2.17,29.0,31.0,104.0,103.42,Russell Westbrook,2017,2017
450,201566203460.0,1.54,0.63,2.17,29.0,31.0,104.0,103.42,Andre Roberson,2017,2017
450,201952202331.0,0.43,-0.14,0.29,171.0,135.0,261.0,103.44,Paul George,2017,2017
451,201952202331.0,0.43,-0.14,0.29,171.0,135.0,261.0,103.44,Jeff Teague,2017,2017
450,2019371626157.0,0.44,-0.87,-0.43,283.0,134.0,386.0,103.44,Karl-Anthony Towns,2017,2017
451,2019371626157.0,0.44,-0.87,-0.43,283.0,134.0,386.0,103.44,Ricky Rubio,2017,2017
450,2019521626167.0,1.41,-0.1,1.31,67.0,43.0,247.0,103.43,Jeff Teague,2017,2017
451,2019521626167.0,1.41,-0.1,1.31,67.0,43.0,247.0,103.43,Myles Turner,2017,2017
451,201939203110.0,3.12,1.15,4.27,2.0,2.0,42.0,103.47,Stephen Curry,2017,2017
450,201939203110.0,3.12,1.15,4.27,2.0,2.0,42.0,103.47,Draymond Green,2017,2017
450,201587202689.0,1.81,0.31,2.12,30.0,21.0,152.0,103.47,Nicolas Batum,2017,2017
451,201587202689.0,1.81,0.31,2.12,30.0,21.0,152.0,103.47,Kemba Walker,2017,2017
451,101162203490.0,0.71,1.51,2.22,27.0,91.0,17.0,103.44,Marcin Gortat,2017,2017
450,101162203490.0,0.71,1.51,2.22,27.0,91.0,17.0,103.44,Otto Porter Jr.,2017,2017
450,2034761626157.0,1.68,-0.13,1.55,55.0,27.0,255.0,103.44,Karl-Anthony Towns,2017,2017
451,2034761626157.0,1.68,-0.13,1.55,55.0,27.0,255.0,103.44,Gorgui Dieng,2017,2017
451,2023311626167.0,1.3,0.3,1.61,52.0,49.0,155.0,103.44,Myles Turner,2017,2017
450,2023311626167.0,1.3,0.3,1.61,52.0,49.0,155.0,103.44,Paul George,2017,2017
