,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
69,200768.0,3.5,0.85,4.35,1.0,1.0,74.0,103.46,Kyle Lowry,2017,2017
166,202335.0,2.38,1.5,3.88,2.0,13.0,17.0,103.46,Patrick Patterson,2017,2017
129,201939.0,3.28,0.52,3.8,3.0,2.0,122.0,103.46,Stephen Curry,2017,2017
147,201976.0,2.57,1.03,3.6,4.0,7.0,56.0,103.46,Patrick Beverley,2017,2017
46,101108.0,1.82,1.54,3.36,5.0,22.0,15.0,103.46,Chris Paul,2017,2017
117,201588.0,1.5,1.81,3.31,6.0,39.0,9.0,103.46,George Hill,2017,2017
19,2544.0,2.57,0.7,3.27,7.0,8.0,93.0,103.46,LeBron James,2017,2017
189,202691.0,2.39,0.88,3.26,8.0,12.0,71.0,103.46,Klay Thompson,2017,2017
150,201988.0,1.7,1.46,3.17,9.0,26.0,21.0,103.46,Patty Mills,2017,2017
234,203109.0,1.84,1.26,3.1,11.0,20.0,30.0,103.46,Jae Crowder,2017,2017
100,201567.0,1.55,1.55,3.1,10.0,31.0,13.0,103.46,Kevin Love,2017,2017
74,200794.0,0.25,2.8,3.05,12.0,160.0,1.0,103.46,Paul Millsap,2017,2017
99,201566.0,2.13,0.91,3.04,13.0,16.0,67.0,103.46,Russell Westbrook,2017,2017
202,202710.0,1.72,1.21,2.93,14.0,25.0,37.0,103.46,Jimmy Butler,2017,2017
121,201601.0,0.51,2.33,2.83,15.0,114.0,2.0,103.46,Luc Mbah a Moute,2017,2017
235,203110.0,1.68,1.11,2.79,16.0,27.0,48.0,103.46,Draymond Green,2017,2017
57,101150.0,2.62,0.09,2.71,17.0,5.0,202.0,103.46,Lou Williams,2017,2017
264,203484.0,1.39,1.13,2.52,18.0,44.0,45.0,103.46,Kentavious Caldwell-Pope,2017,2017
271,203497.0,0.54,1.96,2.51,19.0,111.0,7.0,103.46,Rudy Gobert,2017,2017
76,201142.0,2.03,0.47,2.5,20.0,18.0,125.0,103.46,Kevin Durant,2017,2017
207,202720.0,0.43,1.97,2.41,21.0,134.0,6.0,103.46,Jon Leuer,2017,2017
