,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
69,200768.0,3.5,0.84,4.34,1.0,1.0,74.0,103.43,Kyle Lowry,2017,2017
166,202335.0,2.38,1.5,3.88,2.0,13.0,18.0,103.43,Patrick Patterson,2017,2017
129,201939.0,3.28,0.51,3.79,3.0,2.0,122.0,103.43,Stephen Curry,2017,2017
147,201976.0,2.57,1.03,3.59,4.0,7.0,57.0,103.43,Patrick Beverley,2017,2017
46,101108.0,1.81,1.53,3.35,5.0,22.0,16.0,103.43,Chris Paul,2017,2017
117,201588.0,1.48,1.81,3.29,6.0,39.0,9.0,103.43,George Hill,2017,2017
19,2544.0,2.57,0.69,3.26,7.0,8.0,93.0,103.43,LeBron James,2017,2017
189,202691.0,2.38,0.87,3.25,8.0,12.0,71.0,103.43,Klay Thompson,2017,2017
150,201988.0,1.7,1.46,3.16,9.0,26.0,22.0,103.43,Patty Mills,2017,2017
234,203109.0,1.83,1.26,3.09,10.0,20.0,31.0,103.43,Jae Crowder,2017,2017
100,201567.0,1.54,1.55,3.09,11.0,33.0,14.0,103.43,Kevin Love,2017,2017
74,200794.0,0.24,2.8,3.03,12.0,161.0,1.0,103.43,Paul Millsap,2017,2017
99,201566.0,2.12,0.9,3.02,13.0,16.0,68.0,103.43,Russell Westbrook,2017,2017
202,202710.0,1.71,1.2,2.91,14.0,25.0,38.0,103.43,Jimmy Butler,2017,2017
121,201601.0,0.5,2.32,2.82,15.0,119.0,3.0,103.43,Luc Mbah a Moute,2017,2017
235,203110.0,1.68,1.11,2.78,16.0,27.0,49.0,103.43,Draymond Green,2017,2017
57,101150.0,2.62,0.08,2.7,17.0,5.0,204.0,103.43,Lou Williams,2017,2017
161,202329.0,0.16,2.37,2.52,18.0,174.0,2.0,103.43,Al-Farouq Aminu,2017,2017
264,203484.0,1.38,1.12,2.5,19.0,45.0,47.0,103.43,Kentavious Caldwell-Pope,2017,2017
271,203497.0,0.54,1.96,2.5,20.0,112.0,7.0,103.43,Rudy Gobert,2017,2017
76,201142.0,2.03,0.46,2.48,21.0,18.0,125.0,103.43,Kevin Durant,2017,2017
207,202720.0,0.44,1.97,2.41,22.0,135.0,6.0,103.43,Jon Leuer,2017,2017
65,200752.0,0.58,1.75,2.34,23.0,108.0,12.0,103.43,Rudy Gay,2017,2017
274,203501.0,2.09,0.24,2.32,24.0,17.0,170.0,103.43,Tim Hardaway Jr.,2017,2017
292,203613.0,0.5,1.77,2.27,25.0,120.0,11.0,103.43,Jonathon Simmons,2017,2017
257,203469.0,0.76,1.47,2.23,26.0,86.0,20.0,103.43,Cody Zeller,2017,2017
278,203507.0,1.08,1.1,2.18,29.0,61.0,50.0,103.43,Giannis Antetokounmpo,2017,2017
210,202732.0,0.95,1.23,2.18,27.0,70.0,35.0,103.43,DeAndre Liggins,2017,2017
80,201147.0,1.23,0.95,2.18,28.0,54.0,64.0,103.43,Corey Brewer,2017,2017
160,202328.0,2.6,-0.47,2.13,30.0,6.0,326.0,103.43,Greg Monroe,2017,2017
125,201933.0,1.52,0.58,2.1,32.0,35.0,113.0,103.43,Blake Griffin,2017,2017
280,203512.0,1.54,0.56,2.1,31.0,31.0,116.0,103.43,Lucas Nogueira,2017,2017
63,200746.0,1.28,0.81,2.09,35.0,52.0,80.0,103.43,LaMarcus Aldridge,2017,2017
149,201980.0,1.54,0.55,2.09,33.0,34.0,117.0,103.43,Danny Green,2017,2017
5,1938.0,1.28,0.81,2.09,34.0,53.0,79.0,103.43,Manu Ginobili,2017,2017
345,1626149.0,2.41,-0.36,2.04,36.0,11.0,306.0,103.43,Montrezl Harrell,2017,2017
330,203999.0,1.77,0.23,1.99,37.0,24.0,171.0,103.43,Nikola Jokic,2017,2017
193,202695.0,2.2,-0.21,1.99,38.0,15.0,281.0,103.43,Kawhi Leonard,2017,2017
102,201569.0,0.67,1.27,1.94,39.0,95.0,29.0,103.43,Eric Gordon,2017,2017
116,201587.0,1.33,0.58,1.91,40.0,47.0,112.0,103.43,Nicolas Batum,2017,2017
