,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
69,200768.0,3.5,0.83,4.33,1.0,1.0,75.0,103.42,Kyle Lowry,2017,2017
166,202335.0,2.38,1.49,3.87,2.0,12.0,17.0,103.42,Patrick Patterson,2017,2017
129,201939.0,3.28,0.51,3.78,3.0,2.0,122.0,103.42,Stephen Curry,2017,2017
46,101108.0,1.99,1.71,3.69,4.0,19.0,13.0,103.42,Chris Paul,2017,2017
147,201976.0,2.56,1.01,3.58,5.0,8.0,56.0,103.42,Patrick Beverley,2017,2017
451,200755201601.0,1.18,2.33,3.51,6.0,55.0,3.0,103.42,JJ Redick,2017,2017
450,200755201601.0,1.18,2.33,3.51,6.0,55.0,3.0,103.42,Luc Mbah a Moute,2017,2017
117,201588.0,1.49,1.81,3.29,7.0,38.0,9.0,103.42,George Hill,2017,2017
189,202691.0,2.38,0.87,3.25,9.0,13.0,72.0,103.42,Klay Thompson,2017,2017
19,2544.0,2.57,0.69,3.25,8.0,7.0,94.0,103.42,LeBron James,2017,2017
150,201988.0,1.7,1.45,3.15,10.0,26.0,21.0,103.42,Patty Mills,2017,2017
100,201567.0,1.54,1.54,3.09,12.0,31.0,14.0,103.42,Kevin Love,2017,2017
234,203109.0,1.83,1.25,3.09,11.0,21.0,30.0,103.42,Jae Crowder,2017,2017
74,200794.0,0.24,2.79,3.04,13.0,160.0,1.0,103.42,Paul Millsap,2017,2017
99,201566.0,2.12,0.89,3.0,14.0,16.0,70.0,103.42,Russell Westbrook,2017,2017
202,202710.0,1.71,1.19,2.9,15.0,25.0,37.0,103.42,Jimmy Butler,2017,2017
235,203110.0,1.68,1.1,2.78,16.0,27.0,48.0,103.42,Draymond Green,2017,2017
57,101150.0,2.62,0.08,2.7,17.0,5.0,203.0,103.42,Lou Williams,2017,2017
161,202329.0,0.15,2.36,2.52,18.0,172.0,2.0,103.42,Al-Farouq Aminu,2017,2017
271,203497.0,0.54,1.95,2.49,20.0,112.0,7.0,103.42,Rudy Gobert,2017,2017
264,203484.0,1.38,1.11,2.49,19.0,44.0,46.0,103.42,Kentavious Caldwell-Pope,2017,2017
76,201142.0,2.02,0.45,2.47,21.0,18.0,125.0,103.42,Kevin Durant,2017,2017
207,202720.0,0.44,1.97,2.4,22.0,134.0,6.0,103.42,Jon Leuer,2017,2017
65,200752.0,0.58,1.75,2.32,23.0,108.0,12.0,103.42,Rudy Gay,2017,2017
125,201933.0,1.63,0.68,2.32,25.0,28.0,97.0,103.42,Blake Griffin,2017,2017
274,203501.0,2.08,0.23,2.32,24.0,17.0,168.0,103.42,Tim Hardaway Jr.,2017,2017
292,203613.0,0.49,1.77,2.27,26.0,119.0,11.0,103.42,Jonathon Simmons,2017,2017
257,203469.0,0.76,1.47,2.23,27.0,85.0,19.0,103.42,Cody Zeller,2017,2017
210,202732.0,0.95,1.23,2.18,28.0,72.0,33.0,103.42,DeAndre Liggins,2017,2017
80,201147.0,1.22,0.95,2.17,30.0,54.0,63.0,103.42,Corey Brewer,2017,2017
278,203507.0,1.08,1.1,2.17,29.0,63.0,49.0,103.42,Giannis Antetokounmpo,2017,2017
160,202328.0,2.59,-0.47,2.12,31.0,6.0,324.0,103.42,Greg Monroe,2017,2017
280,203512.0,1.54,0.56,2.1,32.0,34.0,116.0,103.42,Lucas Nogueira,2017,2017
5,1938.0,1.28,0.81,2.09,34.0,51.0,80.0,103.42,Manu Ginobili,2017,2017
149,201980.0,1.54,0.55,2.09,33.0,32.0,118.0,103.42,Danny Green,2017,2017
63,200746.0,1.28,0.8,2.08,35.0,52.0,82.0,103.42,LaMarcus Aldridge,2017,2017
345,1626149.0,2.39,-0.36,2.03,36.0,11.0,305.0,103.42,Montrezl Harrell,2017,2017
193,202695.0,2.2,-0.22,1.98,37.0,15.0,282.0,103.42,Kawhi Leonard,2017,2017
330,203999.0,1.75,0.22,1.97,38.0,24.0,172.0,103.42,Nikola Jokic,2017,2017
102,201569.0,0.66,1.27,1.93,39.0,97.0,28.0,103.42,Eric Gordon,2017,2017
116,201587.0,1.32,0.58,1.91,40.0,46.0,113.0,103.42,Nicolas Batum,2017,2017
26,2585.0,0.48,1.38,1.86,41.0,125.0,25.0,103.42,Zaza Pachulia,2017,2017
215,203078.0,0.73,1.12,1.85,42.0,91.0,45.0,103.42,Bradley Beal,2017,2017
119,201599.0,0.92,0.92,1.84,43.0,74.0,67.0,103.42,DeAndre Jordan,2017,2017
314,203935.0,1.13,0.67,1.8,44.0,60.0,99.0,103.42,Marcus Smart,2017,2017
248,203382.0,0.76,1.03,1.79,45.0,87.0,55.0,103.42,Aron Baynes,2017,2017
390,1627098.0,0.0,1.78,1.78,46.0,217.0,10.0,103.42,Malcolm Delaney,2017,2017
371,1626181.0,1.59,0.17,1.76,47.0,30.0,184.0,103.42,Norman Powell,2017,2017
305,203918.0,0.45,1.23,1.69,48.0,132.0,34.0,103.42,Rodney Hood,2017,2017
281,203516.0,0.48,1.18,1.66,49.0,121.0,38.0,103.42,James Ennis III,2017,2017
285,203526.0,0.37,1.27,1.64,50.0,141.0,29.0,103.42,Raul Neto,2017,2017
252,203460.0,0.48,1.16,1.64,51.0,122.0,41.0,103.42,Andre Roberson,2017,2017
188,202689.0,1.88,-0.28,1.6,52.0,20.0,293.0,103.42,Kemba Walker,2017,2017
58,101161.0,0.63,0.97,1.6,53.0,100.0,61.0,103.42,Amir Johnson,2017,2017
0,1713.0,0.84,0.73,1.57,54.0,77.0,87.0,103.42,Vince Carter,2017,2017
