,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
69,200768.0,3.48,0.83,4.31,1.0,1.0,76.0,103.51,Kyle Lowry,2017,2017
166,202335.0,2.38,1.49,3.87,2.0,11.0,19.0,103.51,Patrick Patterson,2017,2017
129,201939.0,3.26,0.51,3.78,3.0,2.0,121.0,103.51,Stephen Curry,2017,2017
46,101108.0,1.8,1.55,3.35,4.0,23.0,15.0,103.51,Chris Paul,2017,2017
117,201588.0,1.48,1.81,3.29,5.0,39.0,9.0,103.51,George Hill,2017,2017
19,2544.0,2.55,0.7,3.26,6.0,7.0,93.0,103.51,LeBron James,2017,2017
189,202691.0,2.37,0.87,3.24,7.0,12.0,70.0,103.51,Klay Thompson,2017,2017
150,201988.0,1.69,1.46,3.15,8.0,26.0,22.0,103.51,Patty Mills,2017,2017
100,201567.0,1.53,1.55,3.08,9.0,32.0,14.0,103.51,Kevin Love,2017,2017
234,203109.0,1.82,1.26,3.08,10.0,21.0,30.0,103.51,Jae Crowder,2017,2017
74,200794.0,0.24,2.8,3.04,11.0,162.0,1.0,103.51,Paul Millsap,2017,2017
99,201566.0,2.11,0.89,3.01,12.0,16.0,67.0,103.51,Russell Westbrook,2017,2017
202,202710.0,1.7,1.2,2.9,13.0,25.0,37.0,103.51,Jimmy Butler,2017,2017
121,201601.0,0.49,2.31,2.8,14.0,118.0,4.0,103.51,Luc Mbah a Moute,2017,2017
235,203110.0,1.66,1.11,2.77,15.0,27.0,49.0,103.51,Draymond Green,2017,2017
57,101150.0,2.6,0.09,2.7,16.0,5.0,202.0,103.51,Lou Williams,2017,2017
147,201976.0,1.04,1.57,2.61,17.0,64.0,13.0,103.51,Patrick Beverley,2017,2017
161,202329.0,0.15,2.38,2.53,18.0,176.0,2.0,103.51,Al-Farouq Aminu,2017,2017
264,203484.0,1.37,1.12,2.49,19.0,46.0,47.0,103.51,Kentavious Caldwell-Pope,2017,2017
271,203497.0,0.52,1.95,2.48,20.0,112.0,7.0,103.51,Rudy Gobert,2017,2017
76,201142.0,2.01,0.46,2.46,21.0,19.0,125.0,103.51,Kevin Durant,2017,2017
207,202720.0,0.43,1.97,2.4,22.0,136.0,6.0,103.51,Jon Leuer,2017,2017
65,200752.0,0.57,1.75,2.32,23.0,109.0,12.0,103.51,Rudy Gay,2017,2017
274,203501.0,2.07,0.24,2.31,24.0,17.0,167.0,103.51,Tim Hardaway Jr.,2017,2017
80,201147.0,1.38,0.89,2.27,25.0,44.0,68.0,103.51,Corey Brewer,2017,2017
292,203613.0,0.49,1.78,2.27,26.0,120.0,11.0,103.51,Jonathon Simmons,2017,2017
345,1626149.0,2.65,-0.39,2.27,27.0,4.0,310.0,103.51,Montrezl Harrell,2017,2017
257,203469.0,0.76,1.48,2.24,28.0,87.0,20.0,103.51,Cody Zeller,2017,2017
210,202732.0,0.94,1.24,2.18,29.0,73.0,33.0,103.51,DeAndre Liggins,2017,2017
278,203507.0,1.06,1.11,2.17,30.0,63.0,50.0,103.51,Giannis Antetokounmpo,2017,2017
160,202328.0,2.58,-0.47,2.12,31.0,6.0,324.0,103.51,Greg Monroe,2017,2017
125,201933.0,1.51,0.59,2.1,32.0,35.0,113.0,103.51,Blake Griffin,2017,2017
280,203512.0,1.53,0.57,2.1,33.0,33.0,115.0,103.51,Lucas Nogueira,2017,2017
63,200746.0,1.27,0.81,2.08,36.0,54.0,81.0,103.51,LaMarcus Aldridge,2017,2017
5,1938.0,1.27,0.81,2.08,35.0,53.0,79.0,103.51,Manu Ginobili,2017,2017
149,201980.0,1.53,0.55,2.08,34.0,31.0,118.0,103.51,Danny Green,2017,2017
102,201569.0,0.86,1.17,2.03,37.0,76.0,40.0,103.51,Eric Gordon,2017,2017
330,203999.0,1.75,0.23,1.99,38.0,24.0,168.0,103.51,Nikola Jokic,2017,2017
193,202695.0,2.19,-0.22,1.98,39.0,15.0,282.0,103.51,Kawhi Leonard,2017,2017
116,201587.0,1.31,0.6,1.91,40.0,49.0,110.0,103.51,Nicolas Batum,2017,2017
26,2585.0,0.47,1.39,1.85,41.0,126.0,26.0,103.51,Zaza Pachulia,2017,2017
215,203078.0,0.72,1.12,1.85,42.0,92.0,46.0,103.51,Bradley Beal,2017,2017
112,201583.0,2.02,-0.17,1.85,43.0,18.0,271.0,103.51,Ryan Anderson,2017,2017
66,200755.0,1.53,0.3,1.83,44.0,34.0,157.0,103.51,JJ Redick,2017,2017
451,201935201976.0,2.34,-0.53,1.81,45.0,13.0,332.0,103.51,James Harden,2017,2017
450,201935201976.0,2.34,-0.53,1.81,45.0,13.0,332.0,103.51,Patrick Beverley,2017,2017
314,203935.0,1.12,0.68,1.8,46.0,60.0,97.0,103.51,Marcus Smart,2017,2017
248,203382.0,0.75,1.03,1.79,47.0,88.0,56.0,103.51,Aron Baynes,2017,2017
390,1627098.0,-0.01,1.79,1.78,48.0,220.0,10.0,103.51,Malcolm Delaney,2017,2017
371,1626181.0,1.58,0.17,1.75,49.0,29.0,185.0,103.51,Norman Powell,2017,2017
305,203918.0,0.44,1.23,1.68,50.0,134.0,34.0,103.51,Rodney Hood,2017,2017
281,203516.0,0.48,1.19,1.67,51.0,121.0,38.0,103.51,James Ennis III,2017,2017
285,203526.0,0.37,1.28,1.65,52.0,142.0,29.0,103.51,Raul Neto,2017,2017
252,203460.0,0.47,1.15,1.63,53.0,125.0,43.0,103.51,Andre Roberson,2017,2017
58,101161.0,0.62,0.98,1.6,54.0,100.0,60.0,103.51,Amir Johnson,2017,2017
188,202689.0,1.87,-0.29,1.58,55.0,20.0,293.0,103.51,Kemba Walker,2017,2017
0,1713.0,0.84,0.73,1.57,56.0,78.0,88.0,103.51,Vince Carter,2017,2017
324,203954.0,0.01,1.54,1.55,57.0,216.0,16.0,103.51,Joel Embiid,2017,2017
268,203490.0,0.8,0.73,1.53,58.0,82.0,89.0,103.51,Otto Porter Jr.,2017,2017
273,203500.0,0.47,1.05,1.52,59.0,128.0,55.0,103.51,Steven Adams,2017,2017
359,1626167.0,1.08,0.39,1.47,60.0,61.0,137.0,103.51,Myles Turner,2017,2017
260,203476.0,0.47,0.98,1.45,61.0,127.0,59.0,103.51,Gorgui Dieng,2017,2017
429,1627785.0,1.03,0.37,1.4,62.0,65.0,142.0,103.51,Isaiah Whitehead,2017,2017
13,2225.0,1.21,0.15,1.37,63.0,55.0,188.0,103.51,Tony Parker,2017,2017
162,202330.0,0.82,0.51,1.34,64.0,80.0,122.0,103.51,Gordon Hayward,2017,2017
246,203200.0,0.74,0.58,1.33,65.0,89.0,114.0,103.51,Justin Holiday,2017,2017
394,1627736.0,0.58,0.73,1.32,66.0,106.0,87.0,103.51,Malik Beasley,2017,2017
119,201599.0,0.66,0.65,1.31,67.0,98.0,100.0,103.51,DeAndre Jordan,2017,2017
219,203082.0,1.6,-0.35,1.24,68.0,28.0,304.0,103.51,Terrence Ross,2017,2017
141,201960.0,1.0,0.23,1.23,69.0,67.0,172.0,103.51,DeMarre Carroll,2017,2017
184,202684.0,0.05,1.15,1.21,71.0,203.0,42.0,103.51,Tristan Thompson,2017,2017
9,2200.0,1.01,0.2,1.21,70.0,66.0,176.0,103.51,Pau Gasol,2017,2017
39,2754.0,-0.06,1.25,1.19,73.0,230.0,32.0,103.51,Tony Allen,2017,2017
8,2199.0,1.41,-0.22,1.19,72.0,41.0,283.0,103.51,Tyson Chandler,2017,2017
108,201578.0,1.5,-0.33,1.17,74.0,36.0,299.0,103.51,Marreese Speights,2017,2017
54,101139.0,0.74,0.4,1.14,75.0,90.0,136.0,103.51,CJ Miles,2017,2017
374,1626191.0,0.48,0.64,1.12,76.0,122.0,102.0,103.51,Chris McCullough,2017,2017
110,201580.0,0.8,0.31,1.11,77.0,83.0,155.0,103.51,JaVale McGee,2017,2017
418,1627763.0,0.49,0.6,1.09,78.0,119.0,109.0,103.51,Malcolm Brogdon,2017,2017
259,203473.0,-0.38,1.47,1.09,79.0,291.0,21.0,103.51,Dewayne Dedmon,2017,2017
101,201568.0,0.69,0.39,1.07,80.0,94.0,138.0,103.51,Danilo Gallinari,2017,2017
