,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
166,202335.0,2.74,1.53,4.26,1.0,3.0,16.0,103.49,Patrick Patterson,2017,2017
129,201939.0,3.27,0.51,3.78,2.0,1.0,121.0,103.49,Stephen Curry,2017,2017
147,201976.0,2.56,1.01,3.58,3.0,7.0,57.0,103.49,Patrick Beverley,2017,2017
46,101108.0,1.81,1.53,3.34,4.0,24.0,15.0,103.49,Chris Paul,2017,2017
117,201588.0,1.48,1.82,3.3,5.0,41.0,9.0,103.49,George Hill,2017,2017
19,2544.0,2.56,0.68,3.24,6.0,8.0,94.0,103.49,LeBron James,2017,2017
189,202691.0,2.37,0.87,3.24,7.0,12.0,71.0,103.49,Klay Thompson,2017,2017
150,201988.0,1.69,1.46,3.15,8.0,30.0,21.0,103.49,Patty Mills,2017,2017
234,203109.0,1.83,1.25,3.07,9.0,22.0,31.0,103.49,Jae Crowder,2017,2017
100,201567.0,1.53,1.53,3.07,10.0,33.0,14.0,103.49,Kevin Love,2017,2017
74,200794.0,0.24,2.8,3.04,11.0,159.0,1.0,103.49,Paul Millsap,2017,2017
99,201566.0,2.12,0.89,3.01,12.0,16.0,69.0,103.49,Russell Westbrook,2017,2017
202,202710.0,1.7,1.19,2.9,13.0,29.0,38.0,103.49,Jimmy Butler,2017,2017
450,200768201942.0,2.33,0.49,2.82,14.0,13.0,123.0,103.49,Kyle Lowry,2017,2017
451,200768201942.0,2.33,0.49,2.82,14.0,13.0,123.0,103.49,DeMar DeRozan,2017,2017
121,201601.0,0.5,2.32,2.81,15.0,116.0,3.0,103.49,Luc Mbah a Moute,2017,2017
235,203110.0,1.67,1.1,2.77,16.0,31.0,49.0,103.49,Draymond Green,2017,2017
57,101150.0,2.6,0.08,2.68,17.0,5.0,204.0,103.49,Lou Williams,2017,2017
161,202329.0,0.15,2.36,2.51,18.0,172.0,2.0,103.49,Al-Farouq Aminu,2017,2017
