,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
69,200768.0,3.5,0.83,4.33,1.0,1.0,74.0,103.39,Kyle Lowry,2017,2017
166,202335.0,2.38,1.49,3.87,2.0,12.0,17.0,103.39,Patrick Patterson,2017,2017
129,201939.0,3.28,0.5,3.78,3.0,2.0,123.0,103.39,Stephen Curry,2017,2017
147,201976.0,2.57,1.02,3.59,4.0,8.0,55.0,103.39,Patrick Beverley,2017,2017
46,101108.0,1.81,1.53,3.34,5.0,22.0,15.0,103.39,Chris Paul,2017,2017
117,201588.0,1.49,1.8,3.3,6.0,39.0,9.0,103.39,George Hill,2017,2017
19,2544.0,2.58,0.69,3.26,7.0,7.0,93.0,103.39,LeBron James,2017,2017
189,202691.0,2.38,0.86,3.24,8.0,13.0,71.0,103.39,Klay Thompson,2017,2017
150,201988.0,1.7,1.45,3.15,9.0,26.0,21.0,103.39,Patty Mills,2017,2017
100,201567.0,1.54,1.54,3.08,11.0,34.0,13.0,103.39,Kevin Love,2017,2017
234,203109.0,1.83,1.25,3.08,10.0,20.0,30.0,103.39,Jae Crowder,2017,2017
74,200794.0,0.25,2.78,3.03,12.0,160.0,1.0,103.39,Paul Millsap,2017,2017
99,201566.0,2.12,0.89,3.01,13.0,16.0,67.0,103.39,Russell Westbrook,2017,2017
202,202710.0,1.71,1.19,2.9,14.0,25.0,37.0,103.39,Jimmy Butler,2017,2017
121,201601.0,0.5,2.31,2.82,15.0,119.0,3.0,103.39,Luc Mbah a Moute,2017,2017
235,203110.0,1.67,1.1,2.77,16.0,27.0,46.0,103.39,Draymond Green,2017,2017
57,101150.0,2.62,0.08,2.7,17.0,5.0,204.0,103.39,Lou Williams,2017,2017
207,202720.0,0.52,2.07,2.58,18.0,114.0,6.0,103.39,Jon Leuer,2017,2017
161,202329.0,0.15,2.36,2.51,19.0,175.0,2.0,103.39,Al-Farouq Aminu,2017,2017
271,203497.0,0.54,1.95,2.49,20.0,112.0,7.0,103.39,Rudy Gobert,2017,2017
76,201142.0,2.03,0.45,2.48,21.0,18.0,126.0,103.39,Kevin Durant,2017,2017
65,200752.0,0.58,1.75,2.33,22.0,109.0,12.0,103.39,Rudy Gay,2017,2017
274,203501.0,2.09,0.23,2.32,23.0,17.0,169.0,103.39,Tim Hardaway Jr.,2017,2017
292,203613.0,0.5,1.76,2.26,24.0,121.0,11.0,103.39,Jonathon Simmons,2017,2017
257,203469.0,0.76,1.46,2.23,25.0,85.0,19.0,103.39,Cody Zeller,2017,2017
80,201147.0,1.23,0.95,2.18,26.0,53.0,62.0,103.39,Corey Brewer,2017,2017
210,202732.0,0.94,1.23,2.18,27.0,71.0,33.0,103.39,DeAndre Liggins,2017,2017
278,203507.0,1.08,1.09,2.17,28.0,62.0,49.0,103.39,Giannis Antetokounmpo,2017,2017
160,202328.0,2.59,-0.48,2.12,29.0,6.0,325.0,103.39,Greg Monroe,2017,2017
280,203512.0,1.54,0.56,2.1,30.0,32.0,117.0,103.39,Lucas Nogueira,2017,2017
149,201980.0,1.54,0.55,2.09,31.0,31.0,119.0,103.39,Danny Green,2017,2017
125,201933.0,1.52,0.57,2.09,32.0,35.0,115.0,103.39,Blake Griffin,2017,2017
