,player 1,1_ID,player 2,2_ID,rapm1,orapm1,drapm1,rapm2,orapm2,drapm2,rapm_pair,orapm_pair,drapm_pair,rapm_pair_test,orapm_pair_test,drapm_pair_test
0,Trevor Ariza,2772,James Harden,201935,0.37,1.41,-1.04,1.48,3.29,-1.81,1.34,3.05,-1.71,1.59,2.05,-0.45
1,Andrew Wiggins,203952,Karl-Anthony Towns,1626157,0.29,2.55,-2.26,1.25,2.71,-1.46,1.84,3.67,-1.83,2.45,2.26,0.19
2,Russell Westbrook,201566,Steven Adams,203500,3.69,3.7,-0.01,0.56,0.61,-0.05,2.6,2.94,-0.34,3.46,2.25,1.21
3,Gorgui Dieng,203476,Andrew Wiggins,203952,1.09,-0.04,1.13,0.29,2.55,-2.26,1.37,2.05,-0.68,-3.27,-1.01,-2.26
4,John Wall,202322,Bradley Beal,203078,1.6,2.44,-0.84,3.81,3.26,0.55,3.61,3.7,-0.09,1.89,1.43,0.45
5,Ricky Rubio,201937,Andrew Wiggins,203952,-0.2,0.32,-0.52,0.29,2.55,-2.26,0.59,1.77,-1.18,0.0,-0.17,0.17
6,John Wall,202322,Otto Porter Jr.,203490,1.6,2.44,-0.84,0.83,0.69,0.13,2.01,1.81,0.2,2.19,1.97,0.22
7,Marcin Gortat,101162,John Wall,202322,0.18,0.78,-0.6,1.6,2.44,-0.84,1.43,2.09,-0.67,1.04,0.41,0.64
8,Russell Westbrook,201566,Andre Roberson,203460,3.69,3.7,-0.01,2.0,0.45,1.54,3.27,2.45,0.82,3.65,0.2,3.45
9,Jeff Teague,201952,Paul George,202331,0.37,1.05,-0.68,2.27,2.02,0.25,1.81,1.85,-0.05,-0.0,0.35,-0.35
10,Ricky Rubio,201937,Karl-Anthony Towns,1626157,-0.2,0.32,-0.52,1.25,2.71,-1.46,0.6,1.57,-0.97,-0.0,0.16,-0.16
11,Stephen Curry,201939,Draymond Green,203110,6.34,5.4,0.94,3.82,1.43,2.39,6.78,4.62,2.16,3.69,3.94,-0.25
12,Nicolas Batum,201587,Kemba Walker,202689,0.83,1.02,-0.19,2.48,2.88,-0.39,1.74,2.08,-0.34,1.07,1.76,-0.69
13,Marcin Gortat,101162,Otto Porter Jr.,203490,0.18,0.78,-0.6,0.83,0.69,0.13,1.05,0.44,0.61,2.69,1.64,1.05
14,Gorgui Dieng,203476,Karl-Anthony Towns,1626157,1.09,-0.04,1.13,1.25,2.71,-1.46,2.4,2.13,0.26,0.51,1.26,-0.75
15,Paul George,202331,Myles Turner,1626167,2.27,2.02,0.25,2.0,0.93,1.07,2.81,1.8,1.01,0.0,-0.0,0.0
16,Bradley Beal,203078,Otto Porter Jr.,203490,3.81,3.26,0.55,0.83,0.69,0.13,3.59,2.72,0.87,3.91,2.87,1.04
