,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
0,451,2772 201935,2.86,-1.89,0.97,90.0,3.0,445.0,103.53,James Harden,2017,2017
2,451,201583 201935,2.36,-0.39,1.97,40.0,14.0,312.0,103.52,James Harden,2017,2017
4,451,203952 1626157,1.82,-0.98,0.84,106.0,22.0,400.0,103.48,Karl-Anthony Towns,2017,2017
6,450,201566 203500,1.54,1.11,2.65,17.0,33.0,45.0,103.43,Russell Westbrook,2017,2017
8,450,203476 203952,1.38,-0.09,1.29,67.0,47.0,247.0,103.44,Andrew Wiggins,2017,2017
10,451,202322 203078,1.32,0.87,2.19,27.0,48.0,70.0,103.44,Bradley Beal,2017,2017
12,450,201937 203952,0.25,-0.46,-0.21,260.0,159.0,324.0,103.45,Andrew Wiggins,2017,2017
14,451,202322 203490,1.27,0.81,2.08,36.0,53.0,80.0,103.45,John Wall,2017,2017
16,451,101162 202322,1.44,0.3,1.74,48.0,41.0,157.0,103.45,Marcin Gortat,2017,2017
18,451,201566 203460,1.54,0.63,2.17,29.0,31.0,104.0,103.42,Russell Westbrook,2017,2017
20,450,201952 202331,0.43,-0.14,0.29,171.0,135.0,261.0,103.44,Paul George,2017,2017
22,450,201937 1626157,0.44,-0.87,-0.43,283.0,134.0,386.0,103.44,Karl-Anthony Towns,2017,2017
24,450,201952 1626167,1.41,-0.1,1.31,67.0,43.0,247.0,103.43,Jeff Teague,2017,2017
26,451,201939 203110,3.12,1.15,4.27,2.0,2.0,42.0,103.47,Stephen Curry,2017,2017
28,450,201587 202689,1.81,0.31,2.12,30.0,21.0,152.0,103.47,Nicolas Batum,2017,2017
30,451,101162 203490,0.71,1.51,2.22,27.0,91.0,17.0,103.44,Marcin Gortat,2017,2017
32,450,203476 1626157,1.68,-0.13,1.55,55.0,27.0,255.0,103.44,Karl-Anthony Towns,2017,2017
34,451,202331 1626167,1.3,0.3,1.61,52.0,49.0,155.0,103.44,Myles Turner,2017,2017
36,451,203078 203490,1.15,1.81,2.96,14.0,58.0,9.0,103.42,Bradley Beal,2017,2017
