,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
0,485,2772 201935,3.05,-1.71,1.34,87.0,13.0,467.0,103.4,Trevor Ariza,2017,2017
2,485,203952 1626157,3.67,-1.83,1.84,55.0,8.0,474.0,103.42,Andrew Wiggins,2017,2017
4,485,201566 203500,2.94,-0.34,2.6,28.0,13.0,309.0,103.33,Russell Westbrook,2017,2017
6,485,203476 203952,2.05,-0.68,1.37,86.0,31.0,360.0,103.32,Andrew Wiggins,2017,2017
8,486,202322 203078,3.7,-0.09,3.61,15.0,7.0,258.0,103.36,Bradley Beal,2017,2017
10,485,201937 203952,1.77,-1.18,0.59,152.0,41.0,439.0,103.36,Andrew Wiggins,2017,2017
12,485,202322 203490,1.81,0.2,2.01,47.0,38.0,191.0,103.34,Otto Porter Jr.,2017,2017
14,485,101162 202322,2.09,-0.67,1.43,79.0,31.0,357.0,103.34,John Wall,2017,2017
16,486,201566 203460,2.45,0.82,3.27,16.0,26.0,96.0,103.32,Russell Westbrook,2017,2017
18,485,201952 202331,1.85,-0.05,1.81,55.0,38.0,241.0,103.33,Paul George,2017,2017
20,485,201937 1626157,1.57,-0.97,0.6,148.0,47.0,410.0,103.35,Karl-Anthony Towns,2017,2017
22,485,201952 1626167,1.7,0.09,1.79,57.0,42.0,215.0,103.29,Jeff Teague,2017,2017
24,486,201939 203110,4.62,2.16,6.78,1.0,1.0,13.0,103.33,Stephen Curry,2017,2017
26,485,201587 202689,2.08,-0.34,1.74,58.0,31.0,310.0,103.35,Nicolas Batum,2017,2017
28,485,101162 203490,0.44,0.61,1.05,110.0,148.0,125.0,103.32,Otto Porter Jr.,2017,2017
30,485,203476 1626157,2.13,0.26,2.4,34.0,29.0,175.0,103.32,Karl-Anthony Towns,2017,2017
32,485,202331 1626167,1.8,1.01,2.81,24.0,40.0,74.0,103.31,Paul George,2017,2017
