,Unnamed: 0,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
0,0,541.0,2018,2018,2772 201935,James Harden,1.59,-0.45,377.0,104.34,2.05,22.0,75.0
2,2,541.0,2018,2018,203952 1626157,Karl-Anthony Towns,2.45,0.19,209.0,104.37,2.26,19.0,37.0
4,4,540.0,2018,2018,201566 203500,Steven Adams,3.46,1.21,56.0,104.32,2.25,18.0,11.0
6,6,540.0,2018,2018,203476 203952,Andrew Wiggins,-3.27,-2.26,530.0,104.32,-1.01,460.0,534.0
8,8,540.0,2018,2018,202322 203078,Bradley Beal,1.89,0.45,163.0,104.31,1.43,51.0,56.0
10,12,541.0,2018,2018,202322 203490,John Wall,2.19,0.22,203.0,104.33,1.97,25.0,42.0
12,14,541.0,2018,2018,101162 202322,John Wall,1.04,0.64,133.0,104.3,0.41,161.0,110.0
14,16,541.0,2018,2018,201566 203460,Russell Westbrook,3.65,3.45,2.0,104.25,0.2,197.0,9.0
16,22,541.0,2018,2018,201939 203110,Stephen Curry,3.69,-0.25,332.0,104.38,3.94,2.0,7.0
18,24,540.0,2018,2018,201587 202689,Nicolas Batum,1.07,-0.69,425.0,104.34,1.76,34.0,108.0
20,26,541.0,2018,2018,101162 203490,Marcin Gortat,2.69,1.05,74.0,104.3,1.64,40.0,28.0
22,32,541.0,2018,2018,203078 203490,Bradley Beal,3.91,1.04,74.0,104.31,2.87,13.0,7.0
24,34,541.0,2018,2018,101162 203078,Bradley Beal,1.65,1.24,53.0,104.29,0.41,159.0,67.0
26,36,540.0,2018,2018,201583 201935,Ryan Anderson,1.9,-1.37,503.0,104.38,3.27,9.0,58.0
28,38,540.0,2018,2018,202083 203084,Wesley Matthews,-3.04,-2.24,531.0,104.31,-0.8,431.0,530.0
30,44,541.0,2018,2018,203460 203500,Andre Roberson,3.47,3.49,2.0,104.24,-0.02,249.0,11.0
32,46,540.0,2018,2018,2772 201583,Trevor Ariza,-1.04,-0.55,398.0,104.31,-0.5,370.0,421.0
34,58,541.0,2018,2018,202691 203110,Klay Thompson,1.79,1.06,72.0,104.31,0.73,112.0,59.0
36,60,540.0,2018,2018,202322 202693,John Wall,-1.01,-0.92,457.0,104.31,-0.09,276.0,418.0
38,66,540.0,2018,2018,202689 203077,Michael Kidd-Gilchrist,1.47,0.6,138.0,104.32,0.87,95.0,80.0
40,70,541.0,2018,2018,201939 202691,Klay Thompson,3.81,-0.55,399.0,104.4,4.36,1.0,7.0
42,72,540.0,2018,2018,202693 203078,Markieff Morris,0.39,-0.12,301.0,104.3,0.51,145.0,191.0
44,76,541.0,2018,2018,201950 203076,Jrue Holiday,3.84,2.45,8.0,104.28,1.39,53.0,8.0
46,78,540.0,2018,2018,201599 201933,Blake Griffin,0.86,-0.24,332.0,104.31,1.11,73.0,133.0
48,80,540.0,2018,2018,101107 202689,Marvin Williams,0.79,0.08,242.0,104.33,0.71,113.0,141.0
