,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
0,87.0,0.4,-0.85,-0.45,92.0,72.0,108.0,95.93,Dikembe Mutombo,2008,2008
6,224.0,-1.29,3.38,2.08,62.0,125.0,32.0,95.93,Eddie Jones,2008,2008
16,353.0,-0.0,5.04,5.04,30.0,84.0,15.0,95.93,Darrell Armstrong,2008,2008
25,467.0,2.82,-1.52,1.3,70.0,29.0,123.0,95.93,Jason Kidd,2008,2008
34,693.0,-2.93,1.93,-1.0,105.0,163.0,52.0,95.93,Joe Smith,2008,2008
44,699.0,8.63,-3.81,4.82,35.0,2.0,155.0,95.93,Brent Barry,2008,2008
54,711.0,-0.26,4.0,3.74,40.0,93.0,22.0,95.93,Jerry Stackhouse,2008,2008
64,714.0,5.19,0.28,5.46,22.0,8.0,85.0,95.93,Michael Finley,2008,2008
74,757.0,2.56,-1.23,1.33,69.0,31.0,116.0,95.93,Damon Stoudamire,2008,2008
82,923.0,-0.53,0.88,0.35,81.0,103.0,70.0,95.93,Donyell Marshall,2008,2008
86,965.0,1.58,1.82,3.4,44.0,47.0,55.0,95.93,Derek Fisher,2008,2008
94,977.0,-3.65,3.69,0.04,86.0,167.0,27.0,95.93,Kobe Bryant,2008,2008
104,980.0,-2.0,-0.0,-2.01,126.0,142.0,91.0,95.93,Zydrunas Ilgauskas,2008,2008
112,1112.0,2.86,0.43,3.29,45.0,28.0,81.0,95.93,Ben Wallace,2008,2008
121,1477.0,2.8,-1.83,0.97,76.0,30.0,131.0,95.93,Bruce Bowen,2008,2008
131,1495.0,-5.09,-4.32,-9.42,177.0,177.0,164.0,95.93,Tim Duncan,2008,2008
141,1498.0,2.07,-3.51,-1.44,116.0,40.0,150.0,95.93,Antonio Daniels,2008,2008
149,1502.0,-4.83,2.06,-2.76,137.0,175.0,47.0,95.93,Adonal Foyle,2008,2008
159,1503.0,1.59,-2.18,-0.59,94.0,46.0,139.0,95.93,Tracy McGrady,2008,2008
169,1506.0,-1.88,0.51,-1.37,114.0,138.0,77.0,95.93,Austin Croshere,2008,2008
177,1515.0,3.56,3.76,7.32,10.0,17.0,24.0,95.93,Anthony Parker,2008,2008
185,1607.0,-2.0,5.76,3.75,38.0,143.0,10.0,95.93,Troy Hudson,2008,2008
191,1712.0,-0.08,-0.57,-0.65,95.0,90.0,101.0,95.93,Antawn Jamison,2008,2008
200,1713.0,3.25,0.5,3.74,39.0,21.0,79.0,95.93,Vince Carter,2008,2008
209,1716.0,-0.99,2.02,1.03,75.0,116.0,50.0,95.93,Larry Hughes,2008,2008
219,1717.0,3.19,2.08,5.27,26.0,23.0,45.0,95.93,Dirk Nowitzki,2008,2008
227,1719.0,1.03,1.19,2.22,59.0,58.0,62.0,95.93,Bonzi Wells,2008,2008
237,1723.0,-3.18,-1.23,-4.41,149.0,165.0,115.0,95.93,Matt Harpring,2008,2008
243,1725.0,0.94,-2.14,-1.2,107.0,61.0,137.0,95.93,Rasho Nesterovic,2008,2008
249,1727.0,0.34,8.48,8.82,3.0,75.0,2.0,95.93,Pat Garrity,2008,2008
259,1733.0,-3.93,-3.96,-7.89,173.0,169.0,158.0,95.93,Al Harrington,2008,2008
269,1740.0,7.16,-2.2,4.96,32.0,4.0,140.0,95.93,Rashard Lewis,2008,2008
277,1747.0,0.97,-5.22,-4.25,147.0,60.0,172.0,95.93,Rafer Alston,2008,2008
284,1800.0,-1.0,-4.98,-5.98,165.0,118.0,171.0,95.93,Damon Jones,2008,2008
292,1884.0,0.21,7.7,7.91,7.0,77.0,3.0,95.93,Baron Davis,2008,2008
302,1889.0,-0.42,-5.54,-5.96,164.0,96.0,173.0,95.93,Andre Miller,2008,2008
312,1891.0,1.75,1.13,2.88,51.0,44.0,64.0,95.93,Jason Terry,2008,2008
322,1902.0,-9.98,0.87,-9.11,176.0,182.0,71.0,95.93,Jeff Foster,2008,2008
330,1905.0,4.59,0.9,5.49,21.0,10.0,69.0,95.93,Andrei Kirilenko,2008,2008
334,1913.0,0.06,-1.33,-1.27,111.0,81.0,118.0,95.93,Michael Ruffin,2008,2008
338,1916.0,-1.94,7.16,5.22,28.0,140.0,6.0,95.93,Calvin Booth,2008,2008
344,1921.0,3.46,4.58,8.04,5.0,18.0,17.0,95.93,Gordan Giricek,2008,2008
350,1922.0,1.88,-2.88,-1.01,106.0,43.0,144.0,95.93,Francisco Elson,2008,2008
360,1938.0,-2.32,0.39,-1.93,123.0,147.0,82.0,95.93,Manu Ginobili,2008,2008
370,1956.0,-6.48,-0.7,-7.18,171.0,180.0,104.0,95.93,Ira Newble,2008,2008
376,2031.0,-4.48,-3.63,-8.11,174.0,171.0,152.0,95.93,Stromile Swift,2008,2008
386,2034.0,0.35,-1.57,-1.22,109.0,74.0,124.0,95.93,Mike Miller,2008,2008
396,2036.0,-2.06,-0.99,-3.05,139.0,144.0,112.0,95.93,Chris Mihm,2008,2008
404,2038.0,0.81,0.09,0.9,78.0,64.0,89.0,95.93,Joel Przybilla,2008,2008
414,2039.0,1.26,-0.31,0.95,77.0,55.0,98.0,95.93,Keyon Dooling,2008,2008
424,2045.0,-0.79,-0.04,-0.83,99.0,112.0,93.0,95.93,Hedo Turkoglu,2008,2008
426,2046.0,0.48,7.54,8.02,6.0,71.0,4.0,95.93,Desmond Mason,2008,2008
434,2048.0,-1.5,3.48,1.98,64.0,128.0,31.0,95.93,Jamaal Magloire,2008,2008
442,2052.0,-1.11,8.86,7.75,8.0,121.0,1.0,95.93,DeShawn Stevenson,2008,2008
448,2072.0,-1.79,-7.05,-8.84,175.0,137.0,178.0,95.93,Michael Redd,2008,2008
458,2078.0,-2.88,-3.02,-5.9,163.0,160.0,146.0,95.93,Jason Hart,2008,2008
466,2124.0,0.65,-1.59,-0.94,103.0,66.0,125.0,95.93,Malik Allen,2008,2008
471,2198.0,0.13,0.31,0.44,80.0,79.0,83.0,95.93,Kwame Brown,2008,2008
479,2200.0,1.65,-4.71,-3.06,140.0,45.0,167.0,95.93,Pau Gasol,2008,2008
489,2203.0,-1.1,4.61,3.51,42.0,120.0,16.0,95.93,Shane Battier,2008,2008
495,2205.0,-1.68,6.69,5.0,31.0,133.0,7.0,95.93,DeSagana Diop,2008,2008
503,2210.0,-1.57,0.25,-1.32,112.0,129.0,86.0,95.93,Richard Jefferson,2008,2008
512,2215.0,-1.58,-3.9,-5.47,160.0,130.0,157.0,95.93,Jason Collins,2008,2008
518,2217.0,0.14,-4.85,-4.71,151.0,78.0,168.0,95.93,Brendan Haywood,2008,2008
526,2223.0,-0.29,-9.54,-9.82,179.0,94.0,182.0,95.93,Samuel Dalembert,2008,2008
534,2224.0,1.5,-0.62,0.88,79.0,51.0,103.0,95.93,Jamaal Tinsley,2008,2008
542,2225.0,-0.55,-1.44,-1.98,125.0,105.0,121.0,95.93,Tony Parker,2008,2008
552,2229.0,-2.65,1.93,-0.72,97.0,157.0,53.0,95.93,Mike James,2008,2008
562,2230.0,-2.35,-4.32,-6.66,170.0,151.0,163.0,95.93,Maurice Evans,2008,2008
568,2239.0,3.21,-3.04,0.17,83.0,22.0,147.0,95.93,Trenton Hassell,2008,2008
576,2240.0,0.6,-4.12,-3.52,144.0,68.0,159.0,95.93,Gilbert Arenas,2008,2008
586,2246.0,-7.25,4.01,-3.24,143.0,181.0,21.0,95.93,Mehmet Okur,2008,2008
592,2250.0,-1.49,-6.13,-7.62,172.0,127.0,175.0,95.93,Bobby Simmons,2008,2008
602,2260.0,-0.19,1.38,1.19,74.0,92.0,61.0,95.93,Jarron Collins,2008,2008
604,2294.0,1.28,1.89,3.16,46.0,54.0,54.0,95.93,Charlie Bell,2008,2008
