,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
0,1713.0,1.27,1.01,2.28,39.0,70.0,76.0,103.28,Vince Carter,2017,2017
10,1717.0,0.42,0.72,1.13,104.0,151.0,114.0,103.28,Dirk Nowitzki,2017,2017
20,1718.0,0.14,0.77,0.91,120.0,189.0,107.0,103.28,Paul Pierce,2017,2017
30,1891.0,0.07,1.66,1.73,59.0,204.0,29.0,103.28,Jason Terry,2017,2017
40,1897.0,-0.96,-0.31,-1.27,386.0,390.0,302.0,103.28,Metta World Peace,2017,2017
50,1938.0,1.45,0.35,1.81,56.0,54.0,160.0,103.28,Manu Ginobili,2017,2017
60,2034.0,-0.37,-0.22,-0.59,317.0,300.0,286.0,103.28,Mike Miller,2017,2017
70,2037.0,0.5,-1.03,-0.52,310.0,138.0,416.0,103.28,Jamal Crawford,2017,2017
80,2199.0,0.75,0.04,0.79,131.0,110.0,222.0,103.28,Tyson Chandler,2017,2017
90,2200.0,1.34,-0.16,1.18,99.0,66.0,272.0,103.28,Pau Gasol,2017,2017
100,2207.0,0.84,-0.54,0.3,190.0,99.0,333.0,103.28,Joe Johnson,2017,2017
110,2210.0,0.59,0.35,0.95,119.0,130.0,159.0,103.28,Richard Jefferson,2017,2017
120,2216.0,-0.17,0.1,-0.07,250.0,258.0,213.0,103.28,Zach Randolph,2017,2017
130,2225.0,0.54,0.61,1.15,102.0,133.0,124.0,103.28,Tony Parker,2017,2017
140,2365.0,0.75,-0.29,0.46,165.0,109.0,298.0,103.28,Chris Andersen,2017,2017
150,2399.0,-2.63,0.71,-1.92,439.0,479.0,117.0,103.28,Mike Dunleavy,2017,2017
160,2403.0,-0.53,0.81,0.28,194.0,323.0,96.0,103.28,Nene,2017,2017
170,2440.0,-0.68,0.81,0.13,217.0,349.0,97.0,103.28,Matt Barnes,2017,2017
180,2449.0,-0.31,-1.18,-1.49,407.0,283.0,437.0,103.28,Luis Scola,2017,2017
190,2544.0,4.5,0.57,5.06,3.0,2.0,131.0,103.28,LeBron James,2017,2017
200,2546.0,0.73,-0.95,-0.22,272.0,112.0,407.0,103.28,Carmelo Anthony,2017,2017
210,2548.0,-1.15,-0.02,-1.16,376.0,411.0,235.0,103.28,Dwyane Wade,2017,2017
220,2555.0,-1.08,0.17,-0.91,355.0,405.0,197.0,103.28,Nick Collison,2017,2017
230,2561.0,-0.98,1.02,0.05,229.0,391.0,74.0,103.28,David West,2017,2017
240,2563.0,0.07,-0.08,-0.01,238.0,206.0,252.0,103.28,Dahntay Jones,2017,2017
242,2564.0,-0.93,-0.79,-1.72,425.0,386.0,374.0,103.28,Boris Diaw,2017,2017
252,2571.0,0.5,0.01,0.5,161.0,141.0,231.0,103.28,Leandro Barbosa,2017,2017
262,2585.0,0.64,1.33,1.97,51.0,125.0,55.0,103.28,Zaza Pachulia,2017,2017
272,2592.0,-1.04,-1.22,-2.25,453.0,399.0,440.0,103.28,James Jones,2017,2017
282,2594.0,-0.94,-2.3,-3.24,477.0,387.0,479.0,103.28,Kyle Korver,2017,2017
292,2617.0,-1.65,-0.21,-1.86,436.0,450.0,283.0,103.28,Udonis Haslem,2017,2017
300,2730.0,-2.73,1.48,-1.25,384.0,482.0,45.0,103.28,Dwight Howard,2017,2017
310,2733.0,-1.95,0.79,-1.15,375.0,463.0,100.0,103.28,Shaun Livingston,2017,2017
320,2734.0,0.55,1.49,2.04,45.0,132.0,44.0,103.28,Devin Harris,2017,2017
330,2736.0,-0.62,0.79,0.16,212.0,338.0,102.0,103.28,Luol Deng,2017,2017
340,2738.0,1.41,0.21,1.61,63.0,59.0,189.0,103.28,Andre Iguodala,2017,2017
350,2743.0,-1.92,0.35,-1.57,414.0,462.0,161.0,103.28,Kris Humphries,2017,2017
360,2744.0,-0.87,-0.46,-1.34,395.0,375.0,326.0,103.28,Al Jefferson,2017,2017
370,2747.0,-0.1,-0.68,-0.78,340.0,243.0,357.0,103.28,JR Smith,2017,2017
380,2749.0,0.98,0.41,1.39,84.0,88.0,151.0,103.28,Jameer Nelson,2017,2017
390,2754.0,0.19,1.39,1.57,67.0,183.0,52.0,103.28,Tony Allen,2017,2017
